samples,fundamental_matrix
00c6d2c2ce.jpg 01894c8dd8.jpg,-3.82713120e-07 1.34831620e-05 -2.81814963e-03 -7.53579366e-06 1.06791772e-05 8.31623053e-04 1.83686092e-03 -8.04430303e-03 1.00000000e+00
00c6d2c2ce.jpg 01b3d7b95d.jpg,-1.18301570e-06 5.29327159e-06 -2.42171921e-03 3.18367805e-06 -7.40184909e-06 8.11335549e-03 9.67331763e-04 -6.54999845e-03 1.46197881e+00
00c6d2c2ce.jpg 02876260bc.jpg,-6.38244154e-07 4.47805033e-06 -2.27101986e-03 2.89941003e-07 1.69517009e-05 -2.74338190e-03 3.53271313e-04 -1.28414098e-02 3.31749477e+00
00c6d2c2ce.jpg 04abe82b8a.jpg,2.33088461e-07 3.79602090e-06 -4.79241372e-04 6.18526030e-07 1.59111247e-05 -9.51600848e-04 -1.01799180e-03 -1.06449430e-02 2.41841669e+00
00c6d2c2ce.jpg 04f9659a91.jpg,-5.55683440e-07 -1.30213932e-05 4.75649559e-03 2.27325734e-05 1.44133103e-05 -9.96346771e-03 -4.43101108e-03 -2.72332692e-03 1.91139856e+00
00c6d2c2ce.jpg 0564153f45.jpg,-4.73677984e-08 1.47993634e-06 -6.57785712e-04 -2.81540841e-06 5.30374098e-06 -4.47486674e-03 1.22753269e-03 3.37627834e-03 -4.31671201e-01
00c6d2c2ce.jpg 05f9c454ab.jpg,3.20480724e-06 -2.75332639e-05 6.24805715e-03 1.49299090e-05 -4.64819269e-06 -5.44703237e-03 -4.55234475e-03 1.42391966e-02 -1.92314467e+00
00c6d2c2ce.jpg 085a3dbcc8.jpg,-1.37952182e-06 -7.69026712e-06 3.22223696e-03 9.61325044e-06 -1.45140658e-05 -6.17098316e-03 -1.35472936e-03 1.07267236e-02 -1.20603144e+00
00c6d2c2ce.jpg 08fe9a860b.jpg,-5.32348237e-07 -7.06073180e-06 2.55927449e-03 5.58268857e-06 -5.94997301e-06 4.58226081e-03 -1.43653028e-03 -1.16032163e-04 -5.32152045e-01
00c6d2c2ce.jpg 0916e425cd.jpg,-3.36806414e-06 2.07441534e-05 -6.33699256e-03 -1.56322536e-05 -2.45216162e-06 1.45880077e-02 7.02387004e-03 -9.40739661e-03 -1.87125352e+00
00c6d2c2ce.jpg 09f11c86c0.jpg,-4.08482807e-07 -7.21233449e-06 3.90151121e-03 1.06157850e-05 2.24513743e-05 -3.11858573e-02 -3.93567758e-03 1.64961102e-02 1.00000000e+00
00c6d2c2ce.jpg 0bcbe30ad7.jpg,1.85074806e-07 4.32286634e-06 -1.79712086e-03 -2.38533246e-06 3.29456883e-06 -5.71346792e-03 1.03245872e-03 3.08337277e-03 2.66391445e-01
00c6d2c2ce.jpg 10313defe5.jpg,1.56434280e-07 -4.01735138e-06 1.96181546e-03 2.45260024e-06 -4.77999815e-06 5.22732101e-03 -1.03970191e-03 -5.55489303e-04 -1.08349326e+00
00c6d2c2ce.jpg 106ae9a281.jpg,1.18470276e-08 3.00311416e-08 -3.56691207e-05 -1.59907681e-06 4.05198981e-06 2.91431980e-03 2.36951452e-04 -5.27402562e-03 6.63799114e-01
00c6d2c2ce.jpg 10723d3097.jpg,4.21723452e-08 1.53954018e-07 1.87838397e-05 2.43224169e-06 6.35116324e-06 2.26901178e-03 -9.98285455e-04 -6.36813588e-03 8.32888542e-01
00c6d2c2ce.jpg 11b01e714d.jpg,-3.27381085e-07 -4.68189816e-06 1.33506657e-03 4.95953306e-06 -2.32450850e-06 1.84742531e-03 -7.30095514e-04 -3.32878462e-03 8.34202018e-01
00c6d2c2ce.jpg 14bb77c3a0.jpg,1.15461140e-06 -4.77998304e-06 2.73496785e-03 7.32756489e-06 2.76079824e-06 2.53591655e-03 -3.94139528e-03 -6.80050449e-03 1.01635483e+00
00c6d2c2ce.jpg 15fd8a95b9.jpg,-3.17549407e-06 -1.44043419e-05 5.26810623e-03 -4.28234768e-06 -2.75608307e-06 7.48974132e-03 9.01680713e-04 2.04164503e-03 -1.54323663e+00
00c6d2c2ce.jpg 19039087b6.jpg,2.19228101e-08 1.03778376e-06 1.60334537e-05 3.06377696e-07 1.43828961e-05 3.43045683e-04 -1.27219751e-04 -7.65257666e-03 1.51739702e+00
00c6d2c2ce.jpg 1c96827f13.jpg,-2.33544324e-07 -7.90603999e-07 4.45211833e-05 4.55086904e-06 3.87649506e-07 3.79123652e-03 -9.27205555e-04 -5.73840398e-03 9.83174713e-01
00c6d2c2ce.jpg 1d01561316.jpg,5.22406518e-08 6.83863590e-07 -5.73224588e-04 -1.28680521e-06 -8.72491758e-06 9.76666781e-03 6.57756588e-04 -4.72705885e-03 -6.73077059e-02
00c6d2c2ce.jpg 1d1b5032bc.jpg,7.47754137e-08 4.11077798e-07 -5.06115898e-04 -2.53230584e-06 1.33397366e-05 -4.96793882e-04 7.04364828e-04 -5.04258288e-03 1.00000000e+00
00c6d2c2ce.jpg 1da4c6a376.jpg,-9.29972884e-06 -9.86781503e-05 2.51803442e-02 1.43921350e-04 -3.35050037e-05 1.64811354e-02 -2.19860441e-02 -8.39791104e-03 1.00000000e+00
00c6d2c2ce.jpg 1fadb9a833.jpg,-3.07633148e-07 7.70179045e-07 2.58771462e-04 4.71197929e-06 -5.69799180e-06 -6.00498357e-03 -1.96424803e-04 6.89694200e-03 -1.97875781e+00
00c6d2c2ce.jpg 1fc19f3e75.jpg,1.34808850e-07 1.18429500e-06 -1.59150907e-05 -2.46029732e-06 3.38751583e-07 -4.20133574e-03 -9.26920041e-05 4.54112178e-03 -1.08485397e+00
00c6d2c2ce.jpg 20ae956e79.jpg,1.66488528e-07 -9.46699674e-07 -2.46026888e-04 1.37611532e-06 1.84774742e-06 -6.50728523e-03 -4.29632586e-04 3.22581475e-03 2.72829094e-01
00c6d2c2ce.jpg 2132b7e7e1.jpg,-9.95069733e-08 7.16291722e-08 1.81886416e-04 -3.78752570e-06 1.42245707e-05 1.60315251e-04 2.12741586e-03 -9.94300319e-03 1.05875753e+00
00c6d2c2ce.jpg 2195b15c5d.jpg,-1.64798703e-08 -3.04084596e-06 1.16241361e-03 1.04684688e-05 2.30106965e-05 -1.66027560e-02 -2.25915495e-03 1.86422541e-03 1.00000000e+00
00c6d2c2ce.jpg 250a04e375.jpg,-2.85968092e-07 -8.66608130e-06 3.42599828e-03 3.78122811e-06 2.80720876e-06 1.95630115e-03 -1.26488012e-03 -1.82197876e-03 -2.81145446e-01
00c6d2c2ce.jpg 2535d50bc9.jpg,7.10883372e-07 6.78807680e-06 -2.97726815e-03 -5.51038263e-06 3.23117002e-06 2.72547153e-03 1.82668604e-03 -6.29438907e-03 1.00000000e+00
00c6d2c2ce.jpg 2555595ec9.jpg,2.35900384e-07 4.43484996e-06 -2.02734154e-03 -1.48221367e-06 3.91804422e-06 4.93963077e-03 1.50186970e-04 -9.42157478e-03 1.71383523e+00
00c6d2c2ce.jpg 25c423933b.jpg,-3.87859967e-07 1.77310805e-06 -1.46515614e-03 -2.46902489e-06 -2.73613272e-06 -2.65227227e-03 1.29918875e-03 5.00655845e-03 -3.02057175e-01
00c6d2c2ce.jpg 264463e295.jpg,-1.90864256e-07 2.85167583e-06 -9.48930987e-04 -3.88450701e-06 -1.38997400e-05 1.07510995e-02 7.12831807e-04 -2.88897639e-03 3.00432643e-01
00c6d2c2ce.jpg 2769895fe5.jpg,3.28974489e-08 -2.11588330e-06 8.84372698e-04 3.46961498e-06 -5.84396214e-06 3.95457003e-03 -1.35011367e-03 -1.85356446e-03 1.57665358e-01
00c6d2c2ce.jpg 2b1d9b02db.jpg,-4.19381723e-08 -1.39809829e-07 -2.38799929e-04 1.25819348e-06 -2.21579226e-06 4.71342167e-03 3.37116295e-04 -3.30966214e-03 2.24493263e-01
00c6d2c2ce.jpg 30a6e6f0c7.jpg,-7.90012504e-08 -4.65364768e-07 4.35979656e-04 -1.04925256e-06 6.37291206e-07 5.12994292e-03 -3.11364677e-06 -4.96391587e-03 4.96293833e-01
00c6d2c2ce.jpg 330faa6924.jpg,3.13751394e-08 3.79786383e-07 2.08360702e-04 1.27826207e-07 -3.44115243e-06 7.24236192e-03 -2.66577267e-04 -4.13237629e-03 -6.09734589e-01
00c6d2c2ce.jpg 3543ed3f47.jpg,9.46486529e-07 9.59083504e-06 -5.00846172e-03 -9.28446227e-06 -1.81471042e-05 1.88415488e-02 1.77356160e-03 -7.83134922e-03 9.07333316e-01
00c6d2c2ce.jpg 35d2fe356a.jpg,-3.73074298e-09 -5.82522489e-06 2.39713384e-03 4.69351423e-06 6.12355909e-06 2.67618282e-03 -8.49613179e-04 -4.55497867e-03 9.36273862e-01
00c6d2c2ce.jpg 39f1d0ce5a.jpg,4.61090344e-07 -6.28040673e-06 1.91162247e-03 -4.69331230e-08 -5.13275825e-06 6.36913423e-03 3.29215946e-04 -2.55100637e-03 -8.33434359e-01
00c6d2c2ce.jpg 39f28705d1.jpg,2.37390413e-07 -4.15943371e-06 1.28639223e-03 5.15346663e-06 2.52216570e-07 1.66666594e-03 -1.38850331e-03 -2.37837983e-03 2.20979353e-01
00c6d2c2ce.jpg 3a1700755e.jpg,1.68432399e-06 9.67345203e-06 -2.64156173e-03 -2.85640056e-06 -1.82360566e-06 7.53281201e-03 -1.25901584e-03 -7.48243800e-03 1.92185595e+00
00c6d2c2ce.jpg 3ef87bdd26.jpg,5.15194490e-08 -1.71538437e-06 6.11482680e-04 2.70933373e-06 -2.48225653e-05 1.14572480e-02 -5.64321460e-04 1.75818761e-03 -1.30624365e+00
00c6d2c2ce.jpg 3fc04503bf.jpg,6.40473145e-07 -2.32266126e-06 1.45014516e-03 -6.45484245e-06 1.92869656e-05 -1.35959039e-02 1.43145286e-03 3.87284327e-03 1.00000000e+00
00c6d2c2ce.jpg 40252ddcaf.jpg,-3.63314628e-08 6.84231318e-07 -2.87639704e-04 -5.13662830e-07 1.48947393e-06 -8.39567363e-03 -2.04086171e-06 3.64458741e-03 1.89124717e+00
00c6d2c2ce.jpg 42b8a0e8fb.jpg,-5.03378654e-07 -6.27947933e-06 3.01876020e-03 2.19380175e-06 4.49299239e-05 -2.83041372e-02 -4.64835548e-04 -1.33623370e-02 9.31121386e+00
00c6d2c2ce.jpg 46b6bc4e2b.jpg,1.69542464e-07 2.47659909e-06 -1.06589686e-03 -4.07235854e-07 2.46704923e-06 2.89619999e-03 -3.12554048e-04 -6.12323696e-03 1.90281941e+00
00c6d2c2ce.jpg 47ed93c1ae.jpg,5.11866957e-07 4.15114862e-06 -1.07223697e-03 -1.26854749e-06 6.63932165e-07 5.21801570e-03 -8.52269310e-04 -7.70038942e-03 1.60089704e+00
00c6d2c2ce.jpg 485c4119a8.jpg,1.80279484e-06 1.37363768e-05 -5.90338719e-03 -2.65283351e-06 6.64365030e-06 4.00560581e-03 -4.31222722e-04 -1.09073671e-02 2.74056841e+00
00c6d2c2ce.jpg 491ee4b64b.jpg,-4.50222592e-07 -6.09335380e-06 2.29265123e-03 9.12286767e-06 8.74205360e-06 -2.67141745e-03 -2.99870317e-03 -4.62137533e-03 1.54514700e+00
00c6d2c2ce.jpg 4922d95904.jpg,5.58594139e-07 5.28194284e-06 -2.08397656e-03 1.74441288e-06 5.94281040e-06 -1.01328166e-03 -1.67923476e-03 -1.02194143e-02 3.31798787e+00
00c6d2c2ce.jpg 4b2d7d9fc5.jpg,1.18258021e-08 -6.49808279e-06 2.23564368e-03 4.33324557e-06 -6.19940573e-06 3.74146881e-03 -1.40575251e-03 -1.78599721e-04 -4.61878906e-01
00c6d2c2ce.jpg 4b3d3042e5.jpg,5.55905180e-07 7.18662230e-06 -2.01603681e-03 -5.75094629e-06 -3.00680898e-06 9.16769764e-03 3.27521179e-04 -1.07200423e-02 1.26235272e+00
00c6d2c2ce.jpg 4ba156fecf.jpg,-1.35007218e-06 8.35294055e-06 -3.22304341e-03 -8.92617279e-06 -2.05344911e-06 -1.51778407e-03 3.77551106e-03 2.49115002e-03 8.13260895e-02
00c6d2c2ce.jpg 4bfe92ba9d.jpg,-5.65916723e-08 3.62416780e-07 -1.27233835e-04 6.44987834e-06 1.51926436e-05 -4.66542301e-03 -2.23036801e-03 -9.84773682e-03 3.17182366e+00
00c6d2c2ce.jpg 4d04ace04f.jpg,-1.07917531e-07 -3.25418735e-06 1.15052414e-03 2.39713613e-06 -9.79045438e-06 7.52956261e-03 -5.84972952e-04 -1.40577154e-04 -8.17654162e-01
00c6d2c2ce.jpg 4d4e343866.jpg,2.65429411e-07 -3.29446884e-06 5.71298962e-04 8.99360420e-07 -1.75497885e-06 5.34602093e-03 2.94159995e-04 -3.43647587e-03 7.10926529e-01
00c6d2c2ce.jpg 4d91339fcd.jpg,-4.43250569e-07 5.79982006e-06 -1.89380214e-03 -5.13990242e-06 2.86837144e-06 6.36499503e-03 2.38891565e-03 -7.76364971e-03 -1.29336889e-01
