samples,fundamental_matrix
00b4e41b02.jpg 00fc2a25a4.jpg,6.01144341e-08 7.02953668e-07 -2.69066965e-04 -3.22171046e-07 -6.02100569e-07 -4.94642374e-03 4.72684724e-04 4.34663654e-03 2.67417425e-01
00b4e41b02.jpg 029ae90f0d.jpg,-2.24994559e-07 4.49568055e-06 -1.08097626e-03 -1.26498636e-06 1.78886494e-05 1.87682915e-05 4.06087872e-04 -7.79210027e-03 1.68525812e+00
00b4e41b02.jpg 0516f45e3b.jpg,-2.06080725e-07 -1.40739363e-06 -6.09814428e-04 2.58702176e-06 1.15075285e-06 3.83888122e-03 6.91286151e-04 -4.09929035e-03 7.56802954e-03
00b4e41b02.jpg 057cd47de2.jpg,-4.39054029e-07 2.04271818e-06 1.39429181e-02 -2.15551486e-06 -1.53697176e-09 2.85541278e-04 -1.35000319e-02 -6.68398295e-04 -2.68876727e+00
00b4e41b02.jpg 0a188a80c8.jpg,8.70734071e-06 1.54589364e-05 -8.92047812e-03 -3.01022944e-05 1.68350268e-06 3.76054113e-03 9.76199946e-03 -4.41690434e-03 6.81910988e-01
00b4e41b02.jpg 0aaebd6e79.jpg,-3.04766106e-06 -2.76442152e-05 9.79469798e-03 2.09132705e-05 3.68892828e-07 -2.88823737e-03 -8.82870310e-03 6.24901314e-03 -9.56705933e-01
00b4e41b02.jpg 0bc544ad13.jpg,2.07059715e-06 -9.09526538e-06 4.47960160e-03 1.44748852e-05 9.79873973e-08 -6.71923384e-04 -6.58180930e-03 1.31836451e-03 -3.79086316e-01
00b4e41b02.jpg 0be65b0484.jpg,-3.31338809e-06 -2.85195059e-06 -9.08340946e-03 -5.15010995e-07 -9.82075801e-09 3.90589599e-05 1.15312214e-02 1.46138432e-03 3.28105424e+00
00b4e41b02.jpg 0d684b0748.jpg,-2.87111778e-05 -5.05335145e-05 -1.49603480e-03 4.09975768e-05 1.86498904e-06 -4.76532950e-03 1.71441952e-02 2.09362662e-02 -1.37469599e-02
00b4e41b02.jpg 1021074bcf.jpg,-2.60491258e-08 9.35147790e-07 2.42505797e-04 -6.17812963e-07 -2.09672179e-06 4.96255668e-03 7.64718400e-05 -3.96148801e-03 -7.51447400e-01
00b4e41b02.jpg 127062d2ba.jpg,8.75803132e-07 -6.08277014e-06 2.50477589e-03 9.27058523e-06 6.55597938e-06 1.71671865e-03 -3.56309693e-03 -4.28765537e-03 -4.18755693e-02
00b4e41b02.jpg 17da2730fd.jpg,6.42858486e-05 3.57714520e-05 -2.08487474e-02 -2.98138074e-05 -3.88927424e-07 3.05378505e-03 -1.19030905e-02 -1.42238031e-02 6.96378436e+00
00b4e41b02.jpg 18b82dbcb7.jpg,6.22812359e-06 2.15610018e-05 -1.41949939e-02 -2.16997840e-05 -2.76270724e-08 2.21124299e-03 6.25490246e-03 -9.10415892e-03 5.09560121e+00
00b4e41b02.jpg 1e0e95662c.jpg,2.34586275e-06 4.36404186e-05 -1.21974618e-02 -3.27670063e-05 1.19383851e-06 3.17043804e-03 8.41339651e-03 -2.44600956e-02 5.79826986e+00
00b4e41b02.jpg 211b6ac0ff.jpg,3.64142522e-05 1.12646765e-05 1.27277930e-02 -1.69515496e-05 1.14146843e-07 2.82596225e-03 -3.26632397e-02 -5.08018763e-03 -3.21113628e+00
00b4e41b02.jpg 23003e81a1.jpg,1.11306381e-06 7.64631759e-07 1.23866092e-02 7.03642813e-07 -9.49871847e-09 -1.93666308e-04 -1.31966908e-02 -2.40076864e-04 -3.17657891e+00
00b4e41b02.jpg 240d882550.jpg,2.25234958e-08 2.09724540e-06 -1.62808640e-02 -1.56730815e-06 1.26100634e-09 1.28823756e-04 1.60567646e-02 -9.33946127e-04 5.82926365e+00
00b4e41b02.jpg 27a5606fef.jpg,-7.78350571e-07 1.53240563e-05 -2.07093270e-03 -1.31508517e-05 9.82482732e-06 8.72954487e-03 3.03571413e-03 -1.56883965e-02 3.40438116e-01
00b4e41b02.jpg 281d118c80.jpg,2.79897963e-05 3.23523878e-05 -1.71137973e-02 -4.15484560e-05 1.03149491e-06 4.99219425e-03 6.86913091e-03 -1.65427576e-02 5.98700972e+00
00b4e41b02.jpg 2879ddb83b.jpg,-1.06603476e-06 1.11419868e-06 -6.89023127e-03 -2.40881424e-06 3.22411004e-08 3.79145367e-04 7.67068564e-03 -3.73201210e-04 5.28587463e-01
00b4e41b02.jpg 28a78e86d3.jpg,-2.94837267e-07 -2.89866898e-06 1.86101467e-03 2.78670131e-06 3.61924540e-07 2.93344973e-03 -1.93997392e-03 -2.76756785e-03 -1.32473829e-01
00b4e41b02.jpg 29858d4e6a.jpg,1.16037238e-06 -4.46388586e-05 -1.04407320e-02 3.82351219e-05 1.63969386e-07 -3.69887205e-03 8.32096924e-03 1.28298318e-02 2.15499028e+00
00b4e41b02.jpg 2add5c763f.jpg,-1.70829383e-06 6.62611949e-06 -1.92529872e-03 -4.68878798e-06 -7.39715378e-06 8.12688849e-03 3.10259293e-03 -5.16673298e-03 -1.03316207e-01
00b4e41b02.jpg 2d84cb2506.jpg,-2.47614939e-06 1.11211078e-05 -3.55879414e-03 -5.24289012e-06 3.35250250e-06 3.63094204e-03 3.36872942e-03 -8.80548391e-03 1.34470168e+00
00b4e41b02.jpg 2f7b9ecd0f.jpg,3.45639737e-07 -4.06393700e-06 1.09219685e-03 1.34364601e-06 3.28095891e-06 2.17443594e-03 -2.19083112e-04 -6.18540518e-03 2.58912949e-01
00b4e41b02.jpg 32113e6795.jpg,5.02699600e-07 2.12533083e-05 -6.46465877e-03 -1.99910456e-05 -5.10607392e-07 2.95490237e-03 8.14085333e-03 -4.72426090e-03 2.80577129e-01
00b4e41b02.jpg 38bfc3747f.jpg,-5.56648372e-07 -6.69423703e-07 -1.52008544e-02 -8.09425696e-08 -2.72305478e-09 -4.68688121e-05 1.57774640e-02 4.99158670e-04 8.41265346e+00
00b4e41b02.jpg 396848c68c.jpg,1.38542414e-06 2.01418007e-05 -1.40540059e-02 -1.05350544e-05 -1.04466246e-07 1.28550638e-03 1.33853807e-02 -1.12377690e-02 6.21041011e+00
00b4e41b02.jpg 3a51536036.jpg,-8.94765918e-09 -1.17729006e-05 4.87877632e-03 1.55754645e-05 8.31187920e-07 -1.85137975e-03 -7.62165131e-03 2.47353241e-03 -2.87441835e-01
00b4e41b02.jpg 3bcec0c457.jpg,8.91838781e-07 1.20795437e-05 4.82958778e-03 -1.58739945e-05 1.50968414e-07 2.43981496e-03 -7.12466358e-03 -4.81173096e-03 -9.09805503e-01
00b4e41b02.jpg 3e1dcd65ef.jpg,-4.19534588e-07 -4.20672972e-06 -2.86509445e-04 6.04060490e-06 -4.00100340e-07 6.45320508e-03 -7.11203949e-04 -6.06948355e-03 -5.26240329e-01
00b4e41b02.jpg 3e5a2bc706.jpg,-4.90571192e-08 -3.04992560e-06 1.14073116e-03 2.84578798e-06 -1.55511699e-06 4.99120147e-03 -1.28671272e-03 -3.34197360e-03 -6.43863647e-01
00b4e41b02.jpg 3fc8d023ed.jpg,-1.02269879e-05 -2.15129442e-05 1.35296380e-02 2.80934463e-05 1.12226621e-07 -4.11731093e-03 -1.08731638e-02 6.50168246e-03 -2.07367839e+00
00b4e41b02.jpg 42d5f072b3.jpg,2.06641581e-09 -2.89107793e-06 1.58721740e-03 3.22037384e-06 -7.89301760e-06 -4.76200738e-03 -1.50890124e-03 8.08872224e-03 -1.88034002e-01
00b4e41b02.jpg 445c2cec91.jpg,-2.82927696e-07 -4.17066902e-06 7.64627974e-04 5.37853275e-06 -8.94013816e-07 3.41504014e-03 -1.57226449e-03 -3.08581605e-03 -2.48921340e-01
00b4e41b02.jpg 46846b566a.jpg,1.07703783e-07 -2.09944918e-06 -6.74811753e-04 8.51130725e-07 -5.96707464e-06 8.02946866e-03 1.95771703e-04 -2.95414172e-03 -1.42415320e-01
00b4e41b02.jpg 49428821e5.jpg,7.26188011e-07 2.48935937e-05 -9.91810843e-03 -2.25390489e-05 7.39720457e-08 3.28522477e-03 1.09284061e-02 -8.80279661e-03 1.86242171e+00
00b4e41b02.jpg 4bfd55fa0a.jpg,-3.99715530e-07 -5.81770311e-06 2.09108643e-03 1.59675082e-05 2.18081218e-05 -1.79913528e-02 -5.68506199e-03 -2.97523805e-03 4.91507806e+00
00b4e41b02.jpg 4d07c8b45b.jpg,-5.95501435e-06 -5.29714558e-07 -3.99989341e-03 3.07044097e-07 -9.95218366e-10 -5.25237495e-05 7.41963535e-03 2.22157479e-04 9.81359404e-01
00b4e41b02.jpg 4f7b49c8ce.jpg,-1.97871085e-05 5.13153545e-05 -1.82816691e-02 -6.12948175e-05 3.06932524e-08 6.90961837e-03 3.10395993e-02 -2.36774766e-02 5.96116189e+00
00b4e41b02.jpg 516af3b5f8.jpg,-4.44616770e-07 6.96207199e-06 -2.55406442e-03 -5.18071707e-06 -4.05242626e-06 7.75200083e-03 2.87563219e-03 -5.99829200e-03 -6.70492314e-01
00b4e41b02.jpg 51cfd1b85d.jpg,1.74068958e-07 -2.26188109e-06 1.22498301e-03 1.31249807e-05 2.77883795e-05 4.42906944e-02 -2.93560400e-03 -5.12105927e-02 1.00000000e+00
00b4e41b02.jpg 5376825820.jpg,1.26229774e-07 -2.42860593e-06 1.02055833e-03 1.33536940e-06 3.93835238e-06 -9.24947144e-03 -8.05350532e-04 4.26479993e-03 1.08611657e+00
00b4e41b02.jpg 53f403e2b8.jpg,-1.33847002e-06 -8.26911887e-06 8.30684707e-04 6.40020237e-06 6.79717287e-06 2.86843885e-03 -2.12712369e-03 -2.20330700e-03 -9.64980100e-01
00b4e41b02.jpg 54954b15b2.jpg,3.82365160e-07 -1.63098377e-05 -4.82942901e-03 1.81481591e-05 1.02259293e-06 -8.16129417e-03 4.53883173e-03 1.09194278e-02 1.00000000e+00
00b4e41b02.jpg 5837ed56a7.jpg,-1.22850128e-07 -1.72069846e-05 4.34310555e-03 1.98563572e-05 1.79509200e-06 -1.14283485e-02 -5.17100573e-03 1.50338175e-02 -8.75193850e-01
00b4e41b02.jpg 5bda21c41f.jpg,2.45126057e-06 -2.15378792e-06 -1.50986361e-02 1.82130976e-06 2.27605159e-09 -2.15853592e-04 1.38420981e-02 7.33726688e-04 3.27822250e+00
00b4e41b02.jpg 5caa979d5b.jpg,5.26401677e-08 2.30990007e-06 -7.78902286e-04 -1.17790324e-06 2.90710038e-05 -1.64962890e-02 1.86835222e-04 -1.28333861e-03 1.21862638e+00
00b4e41b02.jpg 5cb3f127aa.jpg,2.15988121e-08 2.29990839e-06 -3.74723233e-04 -1.43058196e-06 2.02404841e-06 4.59521678e-03 3.47445186e-04 -6.26199081e-03 -3.59982494e-01
00b4e41b02.jpg 5d23a37583.jpg,-2.38995164e-07 2.00409264e-05 -7.73379530e-03 -1.42015545e-05 -1.29851462e-08 1.63649055e-03 6.88408393e-03 -3.74175501e-03 6.58232341e-01
00b4e41b02.jpg 6192ec9324.jpg,-3.33719531e-06 1.91147175e-05 -2.89780780e-03 -1.81404791e-05 1.28033916e-05 6.97740901e-03 1.36045384e-02 -2.00590160e-02 -2.62374338e+00
00b4e41b02.jpg 637032dfa2.jpg,-1.06976787e-05 2.86937446e-05 -9.98053667e-03 -1.87447944e-05 5.78281585e-09 1.91780596e-03 1.54146542e-02 -8.86757409e-03 1.84411379e+00
00b4e41b02.jpg 66313a7309.jpg,-2.04469665e-05 1.66069599e-05 -5.68846056e-03 -1.66747664e-05 -4.34338868e-07 2.84286030e-03 2.01212732e-02 -5.46789454e-03 -2.23057518e-01
