samples,fundamental_matrix
00b301b3ec.jpg 021e6c9c14.jpg,4.87849414e-07 2.74646913e-06 -1.85699065e-03 1.87778844e-06 -1.09877908e-06 -6.08328604e-03 -1.84633381e-04 4.77623562e-03 1.72336034e-01
00b301b3ec.jpg 03896ed818.jpg,-1.30182444e-07 -4.00534216e-06 2.68888351e-03 3.31977366e-06 1.91063191e-06 4.47644304e-03 -1.87361431e-03 -3.94651052e-03 -4.36127591e-01
00b301b3ec.jpg 0743136120.jpg,5.64273459e-09 1.54496150e-06 -7.49592575e-04 -6.19436887e-07 -2.28953495e-06 5.58180940e-03 4.54540404e-04 -3.00695115e-03 -1.94709421e+00
00b301b3ec.jpg 0785630927.jpg,-1.22168895e-07 -3.61086313e-06 1.99761177e-03 4.56871976e-06 -5.37467639e-06 5.47937951e-03 -3.70090027e-03 -2.39421709e-03 -5.85007183e-01
00b301b3ec.jpg 08ff69157c.jpg,2.08742585e-06 1.25163692e-05 -6.56743080e-03 -1.03574810e-06 -3.19782049e-06 5.52168753e-03 -1.59262181e-03 -1.09043061e-02 3.99296127e+00
00b301b3ec.jpg 0cad025b68.jpg,8.30749956e-07 -7.54886007e-06 5.01839367e-03 6.13021321e-06 9.27343153e-07 2.54677552e-03 -3.20457747e-03 -1.51976642e-03 -7.01088772e-01
00b301b3ec.jpg 0f383a0286.jpg,2.83427616e-07 7.52570616e-06 -4.13876813e-03 -7.11898090e-06 -4.50035442e-07 -4.89372593e-03 3.23224840e-03 4.03477957e-03 1.09212291e-02
00b301b3ec.jpg 0f7ab73b37.jpg,-6.14881329e-08 -1.03385575e-06 7.40923661e-04 1.25053674e-06 9.60957880e-07 5.10242229e-03 -9.85992109e-04 -4.57555948e-03 -1.85018718e-01
00b301b3ec.jpg 107b468ab1.jpg,-7.87318671e-09 -4.18772752e-07 2.50547591e-05 -9.25404009e-07 -5.55310384e-08 4.90792446e-03 -1.04935880e-04 -4.56112414e-03 3.74676370e-01
00b301b3ec.jpg 110a064c75.jpg,-9.80276553e-08 5.27779906e-06 -2.52661001e-03 -7.27021188e-06 -6.94412796e-07 1.18041014e-02 2.95888717e-03 -1.08224399e-02 8.37017335e-01
00b301b3ec.jpg 121d328ee3.jpg,1.19691229e-06 1.84103554e-05 -9.39938158e-03 -1.05219395e-05 -1.20169401e-06 4.49595928e-03 8.38500432e-03 -1.70410471e-03 -2.28824077e+00
00b301b3ec.jpg 1269bd1fc7.jpg,-4.11499873e-06 6.31118382e-05 -2.53573114e-02 -6.70879458e-05 1.13377652e-06 9.99318669e-03 2.47452698e-02 -1.35869145e-02 1.73888496e+00
00b301b3ec.jpg 14510551ff.jpg,2.17127532e-06 7.21736759e-06 -5.78747005e-04 -8.09610620e-06 6.15438476e-07 -2.25564339e-03 2.01140615e-04 1.08684774e-03 -1.20675102e-01
00b301b3ec.jpg 156511618e.jpg,1.57538170e-07 2.41103536e-06 -1.20313957e-03 9.57219308e-06 1.65344904e-05 -6.72441151e-03 -3.26909636e-03 -9.66685876e-03 4.34977393e+00
00b301b3ec.jpg 17b4bab1ac.jpg,3.10430132e-06 -5.99617010e-05 2.37950871e-02 7.04951308e-05 1.92618594e-08 -7.27266916e-03 -2.68578937e-02 5.23554531e-03 6.62260870e-01
00b301b3ec.jpg 18e1330c13.jpg,-1.09378328e-05 4.27204352e-05 -1.33312036e-02 -5.24195601e-05 1.17274136e-05 -4.27267958e-03 2.01560536e-02 -2.42795090e-03 1.00000000e+00
00b301b3ec.jpg 1a362b55ff.jpg,-1.64578035e-07 -2.43241932e-06 9.54857765e-04 -1.15667654e-06 1.82016530e-06 4.63705137e-03 8.67543576e-05 -4.18201411e-03 9.57372916e-02
00b301b3ec.jpg 1d739b4f0a.jpg,1.75890794e-07 3.05362400e-06 -5.16708166e-04 1.44415239e-06 4.50498498e-07 -5.17108484e-03 -1.56177412e-04 2.53587667e-03 6.56709385e-01
00b301b3ec.jpg 20af24b579.jpg,1.43391053e-06 1.19376814e-05 -5.98712766e-03 -1.43028937e-06 -8.30843020e-06 8.80975698e-03 -5.59612841e-04 -6.06810820e-03 1.22551334e+00
00b301b3ec.jpg 23ce3e6aa2.jpg,6.66844419e-07 -5.28025960e-07 4.83315855e-04 -1.04838313e-06 -2.60412193e-05 1.44021028e-02 -6.02997410e-04 2.04764637e-03 -1.32300026e+00
00b301b3ec.jpg 23dd63ea8a.jpg,1.47277813e-07 7.06970093e-07 -5.85559677e-04 -8.94525781e-07 -1.99872935e-07 2.97724398e-03 7.21483016e-05 -4.01873965e-03 3.30778906e-01
00b301b3ec.jpg 2474df0dfd.jpg,7.70205851e-07 1.59842341e-05 -8.52265310e-03 -2.03877509e-05 -4.44504457e-06 -4.10001224e-03 4.82789158e-03 -3.26876864e-03 3.34179694e+00
00b301b3ec.jpg 24b53d1d28.jpg,-1.71780263e-07 3.00034092e-07 -1.59372580e-04 4.59411629e-06 9.79458051e-06 1.08292407e-03 -5.81525538e-04 -9.85201691e-03 1.39958207e+00
