samples,fundamental_matrix
00fb0e0257.jpg 02f4a93aca.jpg,-5.57490067e-07 3.50012880e-06 -2.23413618e-03 -1.64461550e-06 8.90427463e-06 5.92102250e-03 1.73857574e-03 -1.02194056e-02 8.39946691e-01
00fb0e0257.jpg 03fd83ce5d.jpg,-1.42861024e-06 -4.89103058e-05 4.48097670e-03 4.80501397e-05 5.26214456e-07 -2.04637511e-02 -4.24932987e-03 2.08993992e-02 1.50758346e-01
00fb0e0257.jpg 04a2fabfc2.jpg,3.80294611e-08 2.91779477e-05 -1.56657834e-02 -2.89105170e-05 -1.01481771e-07 1.07568563e-02 1.39335556e-02 -1.09903510e-02 7.37390831e-01
00fb0e0257.jpg 05ea181229.jpg,5.17027236e-07 2.79435595e-05 -1.78163392e-02 -2.67504728e-05 -1.03730298e-06 1.07108533e-03 1.21980895e-02 -5.98857755e-03 3.62955320e+00
00fb0e0257.jpg 0a7b6f72a4.jpg,1.07987281e-07 7.27409002e-07 -5.27590849e-04 -8.66820436e-06 -8.62375932e-07 1.25057528e-02 4.59975845e-03 -7.86043457e-03 -2.32085597e+00
00fb0e0257.jpg 0bef9c16fa.jpg,1.10083810e-07 -7.06379469e-07 1.05927942e-04 -5.00912490e-06 -1.40246416e-07 1.15262572e-02 2.11188998e-03 -6.43806965e-03 -1.56970644e+00
00fb0e0257.jpg 0dd3e7024e.jpg,2.54267843e-07 4.23853442e-05 -7.73508673e-03 -4.08903629e-05 -3.45351569e-07 1.67477333e-02 -7.77492994e-04 -1.60969787e-02 3.21546467e+00
00fb0e0257.jpg 0dff91d359.jpg,1.60923834e-08 1.34953611e-05 -6.72143662e-03 -1.47784695e-05 -4.31246969e-07 -3.78236794e-04 6.42467155e-03 2.79627789e-03 -1.13502056e+00
00fb0e0257.jpg 0f756c42a8.jpg,1.24542023e-07 1.99836542e-05 -1.07480275e-02 -1.82623892e-05 6.24809219e-07 5.69163014e-03 1.41242132e-02 -5.73602284e-03 -1.58756783e+00
00fb0e0257.jpg 0fcce75a30.jpg,-5.48336950e-07 -3.27583591e-06 1.13670621e-03 8.18714043e-06 6.47688252e-07 4.40921666e-03 -3.49150678e-03 -7.31760475e-03 1.23905149e+00
00fb0e0257.jpg 0ffb94c002.jpg,-3.18934448e-08 -3.68033631e-06 1.81977152e-03 6.75499620e-06 -1.61505392e-06 3.86353261e-03 -4.01428453e-03 -4.95364168e-03 6.51162507e-01
00fb0e0257.jpg 10c6e6e603.jpg,-4.66920114e-07 1.61090171e-05 -8.02547036e-03 -1.32685925e-05 5.26737646e-07 4.67819110e-03 1.52165922e-02 -4.92423445e-03 -3.16603480e+00
00fb0e0257.jpg 13a718186f.jpg,3.50353378e-07 3.61459764e-05 -1.91184734e-02 -3.36827319e-05 1.65214396e-07 1.31762540e-02 1.82456468e-02 -1.40049525e-02 1.69644956e-01
00fb0e0257.jpg 154ab516af.jpg,-3.07930732e-08 6.69177127e-06 -3.54195689e-03 -7.12389684e-06 1.36516685e-06 -2.86440833e-03 4.51547103e-03 3.85753680e-03 -6.77663287e-01
00fb0e0257.jpg 155882d22f.jpg,-1.42087955e-08 2.04859843e-06 -1.04595447e-03 1.80223515e-07 -1.02999142e-06 6.21587134e-03 -6.37557621e-05 -6.81184688e-03 -1.71250615e-01
