samples,fundamental_matrix
003bcabfaa.jpg 00430c4b15.jpg,-2.86285523e-06 1.47407706e-05 -3.07550961e-03 -1.79781773e-05 4.23184439e-06 1.50674680e-02 8.37031826e-03 -1.37240000e-02 -2.44056893e+00
003bcabfaa.jpg 0052357f77.jpg,-2.61500476e-07 3.22971956e-06 -3.92319461e-04 -1.52478938e-06 4.31573302e-06 1.73419970e-03 5.81950229e-04 -1.11635925e-02 1.97464890e+00
003bcabfaa.jpg 0258e59120.jpg,2.62087462e-08 2.73430745e-08 -4.33300818e-04 -3.37082713e-07 8.09875695e-06 2.84839026e-03 1.47233174e-04 -1.04858348e-02 9.96087440e-01
003bcabfaa.jpg 03d8e10d3d.jpg,3.00548509e-07 -1.35964747e-06 2.67447787e-04 1.29647185e-05 -2.70463353e-06 -3.35951620e-04 -3.83999854e-03 -6.20055989e-03 1.58537915e+00
003bcabfaa.jpg 047de4ea74.jpg,-4.77672399e-07 -1.71065510e-06 1.21368421e-03 3.72290609e-06 4.71849818e-07 -3.98169853e-03 -1.52302360e-03 1.28354328e-03 1.00000000e+00
003bcabfaa.jpg 07a70df82c.jpg,8.02955084e-08 4.29171171e-06 -1.52312129e-03 4.64553263e-06 -7.72406553e-07 5.29212651e-03 -2.08631066e-03 -6.33366023e-03 1.28811124e-01
003bcabfaa.jpg 0cf06486b4.jpg,1.75933947e-07 -6.81587013e-06 1.43111307e-03 5.28595077e-07 1.56399741e-05 4.44982029e-04 -7.53888882e-05 -1.18524121e-02 9.63446763e-01
003bcabfaa.jpg 0f4cdd97fb.jpg,4.88559707e-08 -1.09565359e-06 4.23119585e-04 1.66631597e-06 -3.27865978e-06 6.08777975e-03 -2.84453399e-04 -5.40312730e-03 4.20131311e-01
003bcabfaa.jpg 118fb60213.jpg,-2.60419071e-08 -1.70176810e-06 4.20127196e-04 1.75750160e-06 -8.43248290e-07 4.76476183e-03 -5.89521690e-04 -4.69940572e-03 -1.72017852e-01
003bcabfaa.jpg 12f0ae779a.jpg,2.18141025e-05 -8.68276723e-05 2.23114371e-02 1.24296497e-04 -1.44980436e-04 6.35863058e-02 -3.00513722e-02 -5.50710905e-02 1.00000000e+00
003bcabfaa.jpg 1399cddc1d.jpg,8.60230493e-10 -1.47821481e-06 4.03976449e-04 2.63754254e-06 6.33401366e-06 4.30919979e-03 -7.44588115e-04 -8.63105985e-03 6.44475629e-01
003bcabfaa.jpg 165913ddc4.jpg,9.23793310e-08 7.05086613e-06 -1.92837915e-03 -5.07484298e-06 5.72903777e-06 7.36707486e-03 1.51548047e-03 -1.24892509e-02 5.02864402e-01
003bcabfaa.jpg 16ed01de8a.jpg,-7.33330535e-08 -5.03114254e-06 1.21081468e-03 4.44358995e-06 2.23519236e-06 2.92626054e-03 -1.20814289e-03 -5.78384536e-03 5.09355488e-01
003bcabfaa.jpg 196883c4ca.jpg,-5.80331462e-07 -5.69855818e-06 1.76313588e-03 7.34688232e-06 3.25666733e-06 2.70883237e-03 -3.01857776e-03 -6.74417712e-03 8.51356856e-01
003bcabfaa.jpg 19b5faf260.jpg,-2.95431053e-07 -3.87602774e-06 1.02220290e-03 3.38226529e-06 4.60794681e-06 -5.64874283e-03 -4.61092665e-04 5.11546152e-03 -1.04323078e-01
003bcabfaa.jpg 1c2d57a372.jpg,-2.96044629e-07 3.80154804e-06 -1.73139825e-03 -6.19076157e-06 -5.84090924e-06 -1.24227291e-03 2.06741251e-03 4.32606364e-03 -5.58414120e-01
003bcabfaa.jpg 1e32dfaf9a.jpg,-3.16481840e-08 -5.50929370e-06 2.02250411e-03 2.51178757e-06 1.91771196e-06 2.39310905e-03 -1.92963583e-03 -9.05821804e-03 1.00000000e+00
003bcabfaa.jpg 1f099ce55a.jpg,-7.73031233e-08 4.25688403e-06 -1.60953626e-03 -4.18218397e-06 -1.84128567e-07 -3.35351183e-03 1.70366539e-03 4.57632185e-03 -2.69008111e-01
003bcabfaa.jpg 1f1c38b742.jpg,1.41176861e-08 3.63229648e-07 -9.65405187e-05 -2.62917777e-06 -2.18422443e-06 -1.93600177e-03 1.10925735e-03 6.74265655e-03 -9.54138616e-01
003bcabfaa.jpg 20c0137f9f.jpg,6.05840798e-08 -1.22827139e-06 5.38635315e-04 3.61330203e-07 2.10315618e-06 2.69753640e-03 1.63005578e-05 -6.00692904e-03 4.54940622e-01
003bcabfaa.jpg 2150cb5198.jpg,2.18500874e-07 5.38694008e-06 -1.69131492e-03 5.03006169e-06 -8.86600068e-06 5.15802077e-03 -1.89686558e-03 -5.49334888e-03 9.87228545e-01
003bcabfaa.jpg 215418947b.jpg,9.34423037e-08 -2.16405554e-07 -1.36882111e-04 5.25387824e-06 -1.98580669e-05 -6.35223140e-03 -5.50660696e-04 6.78125475e-03 -1.55642329e-01
003bcabfaa.jpg 21f218b925.jpg,-1.27899047e-06 1.24955194e-05 -6.27521664e-03 -1.87576202e-05 5.17293678e-06 1.65166519e-02 1.17694563e-02 -1.22228892e-02 -4.89152685e+00
003bcabfaa.jpg 278e3574d5.jpg,1.72049521e-07 4.69799730e-06 -4.39974311e-04 3.48183601e-06 1.24674618e-05 3.26759223e-03 -5.32235509e-04 -9.62442297e-03 6.37787150e-01
003bcabfaa.jpg 27c1a0b7ae.jpg,-2.75416205e-08 1.48738844e-06 -5.60969149e-04 -2.22047491e-06 1.43447733e-05 -8.47972455e-03 4.04036816e-04 3.68811642e-04 5.06059582e-01
003bcabfaa.jpg 280c695d15.jpg,-1.09053531e-07 1.16877644e-06 -8.07239116e-04 1.92876406e-06 3.50391900e-06 5.61754792e-03 -7.02955962e-04 -7.19724537e-03 7.32488106e-02
003bcabfaa.jpg 28e6eec54b.jpg,-1.17029169e-07 2.71748192e-06 -1.17449703e-03 -3.25074716e-06 -2.39879901e-07 -5.18643537e-03 1.26073941e-03 4.93711964e-03 2.56251815e-01
003bcabfaa.jpg 294300c420.jpg,-2.43959484e-07 1.16032229e-05 -3.57764574e-03 -3.28583422e-06 -2.42566080e-07 8.63813446e-03 1.29848333e-03 -1.10902070e-02 6.47421916e-01
003bcabfaa.jpg 2a0befa763.jpg,-2.99119741e-10 -3.44904230e-06 8.64296256e-04 9.89484225e-07 8.17486460e-08 4.37995888e-03 -2.79549991e-04 -3.81012017e-03 -2.86978104e-01
003bcabfaa.jpg 2bcad49ce4.jpg,4.93785133e-08 -1.34673938e-06 4.00240932e-04 4.71939667e-06 5.93980437e-06 -4.20160989e-04 -2.96366305e-03 -1.11608054e-02 2.39798884e+00
003bcabfaa.jpg 2c813ffdee.jpg,-3.18496779e-08 -2.64459656e-06 9.88596545e-04 -2.22441393e-06 7.25799183e-06 5.48213513e-03 6.53288925e-04 -5.01611076e-03 -6.54918430e-01
003bcabfaa.jpg 2d621d2c2a.jpg,-2.39678049e-07 6.29762292e-07 5.23139737e-04 -7.63624530e-07 1.08063220e-05 -6.50866576e-03 -3.30920733e-04 2.19645108e-03 -5.10489098e-01
003bcabfaa.jpg 2f2da565a0.jpg,-1.41128830e-08 9.22166750e-07 -4.01095240e-04 -1.73309814e-06 -2.01924598e-06 1.18513875e-02 6.50746320e-04 -4.73626032e-03 -1.53710066e+00
003bcabfaa.jpg 2fbb598067.jpg,1.56038421e-07 -3.42082989e-06 1.41252269e-03 3.41270755e-06 2.55732586e-09 3.43316085e-03 -1.32602557e-03 -4.13003381e-03 1.81459278e-01
003bcabfaa.jpg 32212da3de.jpg,-1.10666586e-08 2.06691398e-06 -7.97176789e-04 2.81922692e-06 2.29632894e-06 4.60306972e-03 -1.25726111e-03 -7.25185632e-03 2.84541478e-01
003bcabfaa.jpg 32821c0522.jpg,1.78277591e-07 4.58020837e-06 -1.16009337e-03 4.92912740e-07 1.93101629e-05 -7.65743174e-04 -5.34071137e-04 -1.55879700e-02 2.78947068e+00
003bcabfaa.jpg 333e263a38.jpg,-7.90336979e-08 -2.99291070e-06 6.86613631e-04 3.53276394e-06 2.79312927e-06 1.38182455e-03 -1.06375759e-03 -4.99689603e-03 6.01494725e-01
003bcabfaa.jpg 3343baec6b.jpg,-1.91867565e-07 -9.03008652e-06 2.68726491e-03 2.04712751e-06 9.31666744e-06 2.68858569e-04 -7.26125674e-04 -5.03087320e-03 4.78662484e-01
003bcabfaa.jpg 33ce571a49.jpg,-2.83620915e-07 3.22348582e-06 -6.19297072e-04 -2.36993666e-06 1.07920422e-07 6.73626665e-03 1.19468917e-03 -6.58444263e-03 -4.96501447e-01
003bcabfaa.jpg 33d9afb392.jpg,-1.14023227e-07 -3.55723058e-06 8.67766994e-04 1.62479129e-06 7.69759153e-07 4.31293758e-03 -4.55914860e-04 -3.68635179e-03 -5.07457304e-02
003bcabfaa.jpg 33f8631b6d.jpg,9.87615306e-08 3.00673923e-06 -1.01789103e-03 -9.90529997e-06 -6.76097251e-06 1.34983725e-02 3.48984314e-03 -7.60629945e-03 -1.75414057e+00
003bcabfaa.jpg 34c5dff244.jpg,4.10369784e-07 5.52345476e-06 -1.98299880e-03 3.86656574e-06 -1.74633011e-06 3.57443863e-03 -1.88183085e-03 -7.49098182e-03 1.71190654e+00
003bcabfaa.jpg 3518bf0edc.jpg,-1.03833136e-09 2.25148238e-06 -1.08024243e-03 -4.49847159e-07 4.74543764e-06 4.38548560e-03 1.97479500e-04 -7.60069433e-03 7.59916471e-01
003bcabfaa.jpg 36edacdb4d.jpg,-9.67086857e-08 -1.01451812e-06 9.52681683e-05 1.51346493e-06 8.84024509e-06 6.10151174e-04 -5.58724158e-04 -9.03275269e-03 1.49736866e+00
003bcabfaa.jpg 3878eddc83.jpg,-2.29899058e-07 5.30686151e-06 -1.62704289e-03 -1.43825250e-06 -2.36859117e-06 5.25539053e-03 8.17122963e-04 -5.32805890e-03 -8.98401463e-02
003bcabfaa.jpg 39f95411a7.jpg,-8.93623047e-08 -6.30525216e-06 1.24691863e-03 1.24292772e-05 -5.03633947e-06 -9.41899708e-04 -3.00101088e-03 -3.06296232e-03 1.06422141e+00
003bcabfaa.jpg 3af8750007.jpg,1.65720608e-06 3.16517904e-05 -7.72361477e-03 -3.22941336e-05 1.16276440e-05 2.29880084e-02 1.21759766e-02 -2.53682716e-02 -4.40906218e+00
003bcabfaa.jpg 3b46531e8e.jpg,1.20386465e-06 1.00230388e-05 -4.51800700e-03 -8.55007248e-06 -3.45693985e-06 9.40874731e-03 2.52914937e-03 -8.28201893e-03 3.32505693e-01
003bcabfaa.jpg 3cce3f2502.jpg,-8.96217146e-08 3.53479264e-06 -1.35631017e-03 -4.61756244e-06 3.30410187e-07 -5.82064385e-03 1.70370693e-03 5.41703063e-03 1.95775377e-01
003bcabfaa.jpg 3e1d975e4b.jpg,-1.50934636e-07 3.24746140e-06 -7.71490870e-04 1.29239556e-06 -2.05338034e-06 5.37561838e-03 9.96659816e-05 -7.31994589e-03 7.56696578e-01
003bcabfaa.jpg 4226517c6d.jpg,1.82583886e-10 -8.74797439e-07 5.50302203e-04 8.72151980e-07 -1.62530351e-08 -4.82433273e-03 -5.48458906e-04 4.82809885e-03 -2.50461342e-03
003bcabfaa.jpg 434e8fee0b.jpg,-3.75524744e-08 -1.51043083e-06 4.66119818e-04 -1.51517112e-06 -4.94252867e-06 7.65295218e-03 3.62666713e-04 -2.49322484e-03 -1.09955623e+00
003bcabfaa.jpg 437f8ab445.jpg,-5.61171495e-08 1.04902847e-06 -4.27082290e-04 2.26597783e-06 8.99015026e-06 -6.51363611e-04 -9.52432342e-04 -1.04070286e-02 2.58393245e+00
