samples,fundamental_matrix
029e0b4648.jpg 06b2db9613.jpg,-1.05566017e-06 -1.47677191e-05 6.16583043e-03 -1.54433861e-06 2.00447654e-08 7.84185899e-03 7.27776502e-04 2.57289878e-03 -3.83621421e+00
029e0b4648.jpg 07b5c268c0.jpg,2.32978803e-07 -8.89546485e-06 1.82730559e-03 5.76941591e-07 8.73948283e-07 2.67173201e-03 -5.12861593e-05 -1.28542307e-03 -1.39764075e-01
029e0b4648.jpg 095548f9da.jpg,-3.25334826e-07 -9.10638540e-07 7.99599202e-04 -3.33769178e-06 8.88769413e-07 5.32672273e-03 1.16849060e-03 -5.96099226e-03 -2.76346196e-01
029e0b4648.jpg 0a7e78abc5.jpg,-4.26295795e-08 6.00892331e-06 -1.40470862e-03 -6.42504941e-06 -5.96077192e-06 8.94139406e-03 1.87164788e-03 -5.17505699e-03 -9.31751341e-01
029e0b4648.jpg 0b81406633.jpg,2.12599442e-07 1.80118652e-06 -6.79477920e-04 -4.81222258e-06 2.96631003e-06 3.99826288e-03 2.30082589e-03 -9.53352491e-03 2.00236013e-01
029e0b4648.jpg 0c3c5532ec.jpg,-1.16361647e-06 -6.67716688e-06 3.14912281e-03 -8.81815926e-06 -2.08736548e-05 1.40302266e-02 2.94313270e-03 2.08863658e-03 -3.06890471e+00
029e0b4648.jpg 0ceb671066.jpg,3.34769650e-07 4.90729079e-06 -1.58648833e-03 -5.53103023e-06 3.17366528e-06 4.54284759e-03 2.16943769e-03 -8.86684680e-03 1.78499355e-01
029e0b4648.jpg 0fbdb17ab7.jpg,4.01122456e-06 8.05925471e-06 -5.07570503e-03 -1.26160468e-05 -6.08027985e-07 9.59123857e-03 -4.16616646e-05 -1.22602156e-02 3.18929704e+00
029e0b4648.jpg 1037cf13d3.jpg,4.59914765e-07 3.92796490e-06 -1.39774268e-03 -2.14022631e-06 -4.35728919e-06 5.85317408e-03 -1.70951396e-04 -7.41947163e-03 7.98330196e-01
029e0b4648.jpg 11369bd45e.jpg,2.92027940e-08 -1.13341518e-06 2.29234399e-04 1.77619740e-05 -4.07086036e-07 -1.44850257e-02 -2.70006537e-03 6.31547522e-03 8.04904143e-01
029e0b4648.jpg 11c206b2ab.jpg,-5.90959046e-08 5.48315794e-06 -1.91858321e-03 -4.02535007e-06 2.33084931e-06 6.45732099e-03 1.17856857e-03 -8.62591143e-03 1.04449480e+00
029e0b4648.jpg 12a3eb48f7.jpg,6.30962667e-07 -5.82462404e-06 1.05428531e-03 -8.08052698e-06 -1.57570408e-06 7.20592231e-03 2.55414118e-03 -2.89623078e-03 -1.35490607e+00
029e0b4648.jpg 13d17a3bcb.jpg,-2.15345951e-06 -8.41495876e-06 4.23342936e-03 -1.01890697e-05 -2.23409747e-05 1.49722982e-02 2.84651331e-03 2.41114900e-03 -3.07409845e+00
029e0b4648.jpg 158a364cd6.jpg,-1.80001527e-06 -1.35762149e-05 4.44931198e-03 8.70559756e-06 -1.17438941e-05 -4.27567933e-03 -1.19692168e-03 1.61471007e-02 -2.64948094e+00
029e0b4648.jpg 1689a705c3.jpg,-2.94341215e-07 -1.54369944e-06 8.66396204e-04 -1.80140928e-06 2.83884108e-06 2.01763057e-03 9.95161230e-04 -5.81196943e-03 1.99562188e-02
029e0b4648.jpg 17ab602359.jpg,5.57865162e-06 9.34259351e-06 -2.21256827e-03 8.84393389e-06 -1.44639590e-05 -2.31337630e-03 -6.57860550e-05 7.38668166e-03 -2.79736330e-01
029e0b4648.jpg 1823d54cc3.jpg,1.15725215e-08 -4.07803813e-06 1.13508915e-03 -2.69307789e-06 -1.97188820e-06 6.38591051e-03 1.23625545e-03 -4.07106625e-03 -1.51580178e+00
029e0b4648.jpg 1886c9cf58.jpg,5.29609577e-07 1.15704147e-05 -4.91590206e-03 -8.36125131e-06 -2.81320924e-06 7.54202241e-03 5.08625144e-03 -7.40322678e-03 -1.03706272e+00
029e0b4648.jpg 1897f5583d.jpg,-6.10885842e-08 -1.85109603e-06 7.28222907e-04 -3.30824459e-06 -8.28675890e-06 7.04482338e-03 1.35711603e-03 -3.52454762e-03 -4.51024085e-01
029e0b4648.jpg 19149f3474.jpg,-1.74937759e-06 2.32466014e-05 -4.33626562e-03 -7.03443557e-06 -3.68996900e-05 2.50867358e-02 4.53656547e-03 -2.88729080e-02 1.00000000e+00
029e0b4648.jpg 19606a4e73.jpg,-5.52273047e-07 -1.11567835e-07 -9.07796842e-04 5.08271477e-06 -9.00549349e-06 4.89587774e-03 8.00787480e-04 -3.99789245e-03 -1.17830314e-01
029e0b4648.jpg 1a55cfcf74.jpg,4.66596087e-07 -6.70935161e-06 3.04186568e-03 8.34723058e-06 -2.37078643e-10 2.13776225e-03 -4.62906642e-03 -4.45667527e-03 7.55715126e-01
029e0b4648.jpg 1af2e3157f.jpg,3.17120367e-06 -1.90457454e-05 8.03796105e-04 -2.30316561e-06 1.71902424e-05 -8.50605585e-04 2.67185106e-03 -8.87036465e-03 1.06955035e-01
029e0b4648.jpg 1cd8e44424.jpg,7.95981375e-06 -3.79296335e-05 3.04748980e-03 1.52786566e-05 6.02493111e-05 -4.05821087e-03 -2.29074429e-03 -1.42914442e-02 1.00000000e+00
029e0b4648.jpg 1e27200d70.jpg,-2.04248591e-07 -3.21841833e-06 1.35713636e-03 -1.76185310e-06 -4.26638827e-06 5.76187451e-03 5.84172327e-04 -2.56229933e-03 -9.04227959e-01
029e0b4648.jpg 203c69b868.jpg,7.91057742e-06 5.50175275e-06 -7.07608072e-03 2.16765350e-05 1.25670040e-05 -1.95636767e-02 9.85698651e-04 5.57583408e-03 -5.42894840e-01
029e0b4648.jpg 212ae82e01.jpg,-7.00136711e-07 -3.61206785e-06 2.36687497e-03 -2.49993347e-06 2.62113583e-06 4.24626117e-03 9.00337045e-04 -6.33550517e-03 -6.83498671e-02
029e0b4648.jpg 221232b9cb.jpg,-3.39003759e-08 1.77416950e-06 -5.11202976e-04 -9.83011167e-06 -3.86549475e-06 1.05900407e-02 3.50397847e-03 -6.22994262e-03 -1.44367949e+00
029e0b4648.jpg 22aede3995.jpg,7.16609265e-08 -1.56764616e-06 3.07495152e-04 1.35000915e-05 7.07755231e-06 -1.16293962e-02 -1.70445702e-03 6.63973621e-03 -2.64515209e-01
029e0b4648.jpg 26596e447c.jpg,-2.68766592e-06 2.30100930e-06 1.79496733e-03 -6.31452593e-06 5.46825916e-06 4.19376658e-03 4.35304458e-03 -8.00209085e-03 -1.29698546e+00
029e0b4648.jpg 26b0fc2e3d.jpg,-1.04875041e-07 6.72291703e-07 -8.73480182e-05 -1.21398652e-05 4.84961311e-06 9.35203832e-03 2.67702740e-03 -6.70983873e-03 -5.57854775e-01
029e0b4648.jpg 28691512ac.jpg,-2.51173300e-06 -1.20723200e-05 6.39312356e-03 -6.08240774e-07 -1.42647677e-05 8.12849731e-03 -1.37814757e-03 1.06449042e-03 -9.53058065e-01
029e0b4648.jpg 288fbd05f4.jpg,-1.28813213e-06 -7.61481337e-06 3.64088460e-03 -3.92840554e-06 -4.66420284e-06 6.23222464e-03 1.56962886e-03 -3.91177842e-04 -1.89828995e+00
029e0b4648.jpg 28c75b21f1.jpg,1.46390380e-06 1.37422483e-06 -1.61453693e-03 -4.61781564e-06 -6.21385260e-06 5.62589729e-03 1.67607240e-03 -6.46909609e-03 4.32541949e-01
