samples,fundamental_matrix
005317ae1d.jpg 0091dee42c.jpg,3.99129950e-07 6.42498487e-07 1.69827027e-04 2.25244167e-06 -6.44596723e-06 7.37501885e-03 -1.23804687e-03 -2.43341849e-03 -2.46159646e-01
005317ae1d.jpg 02ec5c7f79.jpg,-7.72892455e-08 -6.71125569e-06 2.96498039e-03 4.33857470e-06 -2.33102218e-06 2.37920493e-03 -2.58558303e-03 -1.77737973e-03 -7.65974054e-03
005317ae1d.jpg 055a5f45aa.jpg,-4.88654681e-08 1.31811487e-06 -5.52690529e-04 2.07664785e-07 1.91965637e-06 3.35831769e-03 7.51267012e-05 -5.05280523e-03 4.43514026e-01
005317ae1d.jpg 0962e37047.jpg,2.17895449e-07 -4.66614035e-07 -1.02424312e-04 -3.55532791e-06 3.61805074e-06 3.47774054e-03 1.53994090e-03 -4.54340323e-03 -1.60651477e-01
005317ae1d.jpg 0bb391ee3d.jpg,-2.99186622e-10 -1.04410783e-08 3.42004287e-05 -9.71201701e-09 -6.45813729e-07 -3.66980791e-03 8.80418296e-05 3.72358584e-03 7.71200296e-02
005317ae1d.jpg 0f0288bba3.jpg,3.16071725e-07 -6.13602945e-06 2.27153234e-03 5.25034180e-06 -5.46683675e-06 4.59587143e-03 -1.65831882e-03 -7.12604224e-04 -6.13627877e-01
005317ae1d.jpg 110a10f4db.jpg,2.54096494e-08 -1.09432910e-06 2.29121437e-04 -1.38844190e-07 -8.37921363e-07 7.67675168e-03 1.41196447e-04 -4.11682043e-03 -1.29918896e+00
005317ae1d.jpg 112f546db5.jpg,2.74767293e-07 -4.56988879e-06 1.22538880e-03 7.05674675e-08 1.87919053e-05 -2.08438119e-03 -5.98412318e-05 -9.35744290e-03 9.77121680e-01
005317ae1d.jpg 11af0499b7.jpg,4.13572899e-08 3.78908711e-06 -1.60025524e-03 -5.76898503e-07 6.16083683e-06 -6.18541792e-03 1.78806649e-04 -2.78644664e-04 1.12933720e+00
005317ae1d.jpg 132784aeb6.jpg,-6.19018495e-10 -7.42400627e-07 4.24492211e-04 1.02134718e-06 -5.58052939e-06 7.25552782e-03 -5.05950276e-04 -1.75582845e-03 -9.94655019e-01
005317ae1d.jpg 14f782a2d9.jpg,1.28165407e-08 1.23957479e-06 -2.30306486e-04 -1.44877768e-06 4.52906347e-07 -4.00868969e-03 6.92855409e-04 2.88344789e-03 1.25457485e+00
005317ae1d.jpg 15eb86c8ed.jpg,-3.60059958e-07 5.73045613e-06 -2.01615361e-03 -3.87707112e-06 5.54293247e-06 4.19039761e-03 1.75975777e-03 -9.56702195e-03 1.34979522e+00
005317ae1d.jpg 16b66413cd.jpg,2.56912756e-07 -2.84382465e-06 1.11635396e-03 4.59113513e-06 3.49595280e-06 3.90940353e-04 -2.49890078e-03 -5.46148775e-03 1.06866270e+00
005317ae1d.jpg 17ebb76bad.jpg,2.13311923e-07 1.14017046e-06 -1.41582969e-04 1.23414088e-06 2.52859898e-06 3.36489863e-03 -1.16156664e-03 -5.75875015e-03 3.08216032e-01
005317ae1d.jpg 191b0b5263.jpg,6.15673458e-07 1.77537553e-06 -2.66169042e-04 3.22694472e-06 -1.56432645e-06 2.13931159e-03 -1.12190312e-03 -3.89284372e-03 6.98878015e-01
005317ae1d.jpg 1942db2223.jpg,-4.18989870e-07 4.22616680e-06 -3.00647992e-03 -3.83907453e-06 -1.19868382e-06 7.05854799e-03 2.58379755e-03 -4.46600045e-03 -1.79929848e-01
005317ae1d.jpg 194b17594a.jpg,-7.29821842e-07 -2.74127216e-06 2.05473169e-03 6.80594421e-06 5.37278786e-06 -1.09783040e-02 -6.41691955e-04 4.76339546e-03 -1.10075749e+00
005317ae1d.jpg 1b1f64d594.jpg,1.76706319e-07 1.46623497e-06 -9.66877766e-04 1.42734200e-06 5.71273186e-07 -4.34614130e-03 -4.73644287e-04 3.69574538e-03 2.48304899e-01
005317ae1d.jpg 1f35c48f6a.jpg,-1.34294488e-07 -5.04653700e-07 4.17248862e-05 1.85480423e-06 7.01294531e-07 1.92294990e-03 -7.15812822e-04 -3.69133124e-03 6.21658195e-01
005317ae1d.jpg 216a28f1cc.jpg,-3.23364243e-07 -2.90637221e-06 7.23915656e-04 5.59310191e-06 1.13354101e-06 2.79863668e-03 -1.33606894e-03 -2.96303786e-03 1.70862245e-01
005317ae1d.jpg 217d9de585.jpg,-1.95285602e-08 3.76909031e-06 -1.97212459e-03 -7.73452409e-07 -1.99776361e-05 1.74432093e-02 4.03331504e-04 1.79560029e-03 -4.22860218e+00
005317ae1d.jpg 22ab539023.jpg,9.60635123e-08 1.03657390e-06 -2.60049477e-04 -2.46047359e-06 2.84878739e-07 -2.19456496e-03 9.89676706e-04 3.02687627e-03 -1.53936832e-01
005317ae1d.jpg 22ee8af1d7.jpg,5.96532108e-09 -7.92284054e-07 2.25077809e-04 5.22143376e-07 -2.74129815e-06 6.21766841e-03 -6.24123001e-05 -5.19132113e-03 3.74010346e-01
005317ae1d.jpg 23d228cd2f.jpg,-1.67617131e-07 -7.98490163e-06 2.66850494e-03 7.93711091e-06 6.46603914e-06 1.75758956e-03 -1.19359950e-03 -2.33230144e-03 2.04507253e-01
005317ae1d.jpg 25c5dbb6f9.jpg,-3.69644212e-07 -3.54677604e-07 -3.77999199e-04 3.80512590e-06 -3.08904253e-06 5.31953686e-03 -1.20904672e-04 -4.12232720e-03 7.25406477e-01
005317ae1d.jpg 26a8a15ee3.jpg,-2.11369265e-09 1.24679867e-06 -6.53764643e-04 4.06755989e-07 7.61371837e-06 1.43051847e-03 -1.84875216e-04 -8.41591474e-03 1.83964229e+00
005317ae1d.jpg 298478e897.jpg,1.36910837e-07 3.68538196e-06 -2.09673692e-03 -6.30572549e-07 -1.51011556e-06 5.03655291e-03 2.85498541e-04 -4.26472917e-03 -8.01799396e-01
005317ae1d.jpg 2a4a8b4007.jpg,7.67006430e-08 4.76749450e-06 -2.07233264e-03 -1.59714597e-06 6.90426824e-07 8.13715200e-03 7.17915948e-04 -7.87488535e-03 -1.00796006e+00
005317ae1d.jpg 2c992f735d.jpg,9.88529387e-09 -5.53353691e-07 1.56098513e-04 -4.67728174e-07 -1.85261531e-07 4.94514935e-03 2.30525823e-04 -5.60987335e-03 2.28937239e-01
005317ae1d.jpg 2fe982f784.jpg,-1.94332756e-07 -4.18256324e-06 1.63240723e-03 -2.09551841e-06 -8.44903049e-06 -7.32616195e-04 1.08175465e-03 9.15880557e-03 -2.02159873e+00
005317ae1d.jpg 33b107dc61.jpg,3.12533614e-08 -1.61925973e-06 8.90555221e-04 -4.19123734e-07 -5.65148068e-07 5.27006709e-03 3.40158274e-04 -5.11359331e-03 2.77630985e-02
005317ae1d.jpg 37c9a0fb36.jpg,-5.64526986e-08 1.36118202e-07 2.06485450e-04 -2.08561228e-06 -2.88542603e-06 9.79614772e-03 5.44382650e-04 -4.51582738e-03 -1.11383075e+00
005317ae1d.jpg 3fcf789305.jpg,-1.99666423e-07 -2.53877857e-06 -3.74611817e-04 2.84564724e-06 -8.13344121e-07 3.01180812e-03 5.90990087e-04 -2.63921163e-03 4.70109755e-01
005317ae1d.jpg 3fff90279b.jpg,2.25912860e-07 3.53658972e-06 -2.13561451e-03 -4.72104647e-06 3.02820019e-06 6.24796280e-03 2.77940018e-03 -7.52143505e-03 -8.15417354e-01
005317ae1d.jpg 4288a51d6e.jpg,-8.10324723e-10 -1.85372660e-06 3.34926368e-04 1.22150580e-06 8.35511162e-06 3.71321579e-03 -2.14763560e-04 -6.66730821e-03 2.96111472e-01
005317ae1d.jpg 43a86be7c9.jpg,1.43936578e-08 -8.33992058e-07 4.27591469e-04 8.44906872e-07 -3.63138446e-07 3.00772049e-03 -3.31252863e-04 -2.87486103e-03 1.92548704e-01
005317ae1d.jpg 44386b7388.jpg,3.12321408e-09 5.76064962e-07 -9.63601603e-05 -1.42377036e-06 -1.32675238e-06 5.52049990e-03 1.95598904e-04 -4.60501468e-03 -5.47093508e-02
005317ae1d.jpg 4577194c9d.jpg,-1.66489460e-08 9.76653319e-07 1.35255608e-04 -7.74578016e-07 6.69650217e-06 4.39296243e-03 -1.06778258e-04 -6.86143623e-03 2.23868188e-01
005317ae1d.jpg 458d75a3d8.jpg,-9.84830615e-07 1.19976246e-05 -3.54469676e-03 -1.02047422e-05 -3.76102814e-06 1.30885196e-02 2.26989540e-03 -1.09910025e-02 1.68916395e+00
005317ae1d.jpg 45973f7a40.jpg,-2.10791308e-10 -4.73675567e-07 7.09732880e-05 3.86213718e-07 -1.95972891e-06 -6.20508839e-03 -1.48223778e-05 6.75883239e-03 -7.13363723e-01
005317ae1d.jpg 45ba557384.jpg,-7.33775558e-07 6.71933298e-05 -3.23587271e-02 -6.00811274e-05 5.25163820e-05 -6.38166732e-03 1.72060680e-02 -1.33334735e-02 1.00000000e+00
005317ae1d.jpg 47103b22a1.jpg,1.69213956e-06 -6.72917817e-06 4.60454795e-04 -1.21867728e-06 3.95241869e-06 2.64212693e-03 8.23426846e-04 -3.22354939e-03 5.44261328e-02
005317ae1d.jpg 47314a8fa0.jpg,-6.52266892e-08 -9.35781987e-07 2.20902257e-04 2.79017131e-06 3.45016016e-06 5.11570092e-03 -6.13527607e-04 -3.55111351e-03 -1.29856278e-02
