samples,fundamental_matrix
001192bda6.jpg 006dabcb5b.jpg,1.94537383e-06 -2.33408690e-05 -1.00370134e-03 1.76235230e-05 2.46534686e-06 -2.01041828e-03 7.30335995e-04 1.38211055e-03 -4.09372091e-02
001192bda6.jpg 00c04003b2.jpg,-4.01569178e-08 9.22155427e-07 -5.86928725e-04 -5.91181440e-07 7.01967115e-07 6.42227289e-03 6.97668953e-04 -6.44055585e-03 -1.01264126e+00
001192bda6.jpg 00fe0afe6b.jpg,5.66092894e-08 3.50967122e-06 -5.62942360e-04 -6.38940579e-06 -4.29308062e-06 8.74691506e-03 1.58161360e-03 -6.95193525e-03 -1.04448181e+00
001192bda6.jpg 012548824d.jpg,-9.56151012e-07 -3.40183348e-06 2.21858069e-03 9.53665017e-06 -7.85406683e-06 -7.80441239e-03 -4.80518374e-03 9.33367061e-03 2.08935838e+00
001192bda6.jpg 0218f62e18.jpg,1.26933255e-06 3.10829351e-06 -4.25233928e-03 -4.29225908e-06 -7.17083863e-07 7.25730952e-03 3.34189842e-03 -7.54699326e-03 2.43794952e-01
001192bda6.jpg 0408ba409e.jpg,4.07059275e-08 -1.11867063e-06 2.96843071e-04 7.35198305e-07 -6.98607506e-07 4.21074727e-03 -1.36990087e-04 -4.11466914e-03 -5.34201231e-01
001192bda6.jpg 044836d41e.jpg,-2.53280154e-07 9.19005436e-06 -6.67904240e-03 -9.13574868e-06 2.74656144e-06 1.12332370e-02 7.16291957e-03 -1.20843421e-02 -1.19035590e+00
001192bda6.jpg 07092ba2c2.jpg,2.26665642e-07 9.50728829e-06 -1.46463058e-03 -6.58707034e-06 -4.06779869e-06 -4.96701929e-03 1.74314642e-03 4.68123220e-03 6.85031679e-01
001192bda6.jpg 0847dd324c.jpg,2.60793351e-07 4.00600135e-08 -1.92002807e-03 -1.73276504e-06 2.58234979e-06 5.54244595e-03 2.53128391e-03 -6.63826097e-03 -8.38019780e-01
001192bda6.jpg 08cd52b9b2.jpg,5.81087829e-07 1.47888347e-05 -4.90885512e-03 -1.83027841e-05 9.92502458e-06 1.13830311e-02 1.09967241e-02 -1.90071847e-02 -2.91192126e+00
001192bda6.jpg 09f1436586.jpg,-6.25285214e-07 1.35623303e-05 -2.43103439e-03 -1.31645995e-05 -2.01250948e-06 1.10801229e-02 2.61855752e-03 -1.08705129e-02 2.36503557e-01
001192bda6.jpg 0a504e3eb0.jpg,1.21058187e-08 4.15978125e-06 -7.27208035e-04 -3.92738961e-06 -4.22506590e-07 -2.58081733e-03 1.53394723e-03 4.59919543e-03 2.24104967e-01
001192bda6.jpg 0b3cece99b.jpg,8.40587377e-07 -1.64023085e-05 2.94141688e-03 1.72487359e-05 -2.09235676e-06 1.18145392e-03 -5.06796895e-03 -2.70239938e-03 2.39739320e-01
001192bda6.jpg 0bf6b5904b.jpg,-6.12541879e-07 -8.81022209e-06 6.03352791e-03 8.44333459e-06 3.17676988e-06 -1.29541726e-02 -4.90809469e-03 8.21594360e-03 1.55614997e+00
001192bda6.jpg 0cf615802c.jpg,2.53605064e-07 6.93569518e-06 -6.40990527e-03 -8.80357545e-06 2.20420816e-06 9.25778234e-03 6.53135404e-03 -8.52803599e-03 -8.18547767e-01
001192bda6.jpg 0da5c8e409.jpg,-2.36469449e-07 -7.35996018e-06 -5.87473633e-04 7.38062508e-06 2.86812158e-06 3.51985027e-03 -1.19469658e-04 -5.55774127e-03 -4.16936911e-01
001192bda6.jpg 0f565a3e31.jpg,1.44224369e-06 -1.20494471e-05 3.01614218e-03 6.29901238e-06 4.42394605e-06 -9.70526168e-03 -4.46302140e-03 9.32905254e-03 1.87829308e+00
001192bda6.jpg 1001d56a2f.jpg,-1.30530852e-06 7.67609344e-06 -5.86373342e-03 -6.13769921e-06 1.42620490e-06 1.46874640e-02 5.29475271e-03 -1.03925138e-02 -1.50171683e+00
001192bda6.jpg 101c42ec7c.jpg,-9.32515757e-07 6.98279835e-06 -3.89653536e-03 -4.40115690e-06 -9.15015755e-07 7.23204552e-03 4.41401975e-03 -7.70533045e-03 -7.30219226e-01
001192bda6.jpg 103e8946df.jpg,1.42564429e-07 2.50549264e-06 5.84132127e-05 -2.31647160e-06 -8.60230306e-07 6.75177493e-03 -5.15710091e-04 -7.07029559e-03 1.73839989e-01
001192bda6.jpg 114e2bcc75.jpg,3.48686355e-07 -2.19459060e-05 5.20668512e-03 1.97732628e-05 -9.36091845e-07 -1.38111730e-02 -5.30155605e-03 1.92392455e-02 -1.01624191e+00
001192bda6.jpg 124eddce09.jpg,-6.27460274e-07 4.99017047e-06 -7.98281970e-04 -5.78147673e-07 -9.37489966e-07 4.90660653e-03 1.16167336e-03 -8.26071179e-03 4.81046089e-01
001192bda6.jpg 12573746e1.jpg,7.70459232e-08 1.33957233e-06 -1.82497689e-03 -1.81163797e-06 1.10693658e-06 5.61488645e-03 1.72339118e-03 -5.40999777e-03 -3.57434924e-01
001192bda6.jpg 127364fcf8.jpg,-1.89140750e-10 -1.53938837e-06 3.30328612e-04 1.50757978e-06 -2.52470427e-07 -7.89239561e-03 -5.13919171e-04 8.22945401e-03 9.48270522e-01
001192bda6.jpg 1308a0d261.jpg,-1.85672783e-06 4.17426168e-06 -1.42877174e-03 -4.00527871e-06 9.23651694e-06 -3.11884794e-03 1.48531514e-03 4.48495925e-03 -9.66276559e-02
001192bda6.jpg 14396d917d.jpg,-7.56699096e-07 -8.76131797e-06 -3.35040574e-05 9.30738493e-06 2.14016058e-07 2.18886420e-03 -6.17007703e-04 -1.63550578e-03 -1.18320029e-01
001192bda6.jpg 15cd9795d2.jpg,3.86048943e-06 1.43952650e-06 -1.07882616e-02 -1.07182276e-05 5.12754846e-06 1.14887829e-02 6.83977293e-03 -7.00423475e-03 2.20756181e-01
001192bda6.jpg 17542fa73f.jpg,6.05382617e-07 2.24457518e-05 -5.21662492e-03 -1.88125353e-05 -1.27326014e-05 1.52516919e-02 3.30542131e-03 -1.17397590e-02 3.17709763e-01
001192bda6.jpg 19c7b591c5.jpg,1.17280087e-06 3.57310115e-05 -8.87618286e-03 -3.07438859e-05 -7.31157199e-06 2.07656509e-02 4.04340509e-03 -1.92567710e-02 1.87925455e+00
001192bda6.jpg 19e9322c2b.jpg,2.14216904e-08 1.79971975e-05 -5.03014645e-03 -2.16865598e-05 -2.75971625e-06 1.62223982e-02 5.74120662e-03 -1.16178281e-02 -8.53785331e-01
001192bda6.jpg 1acbe2ae95.jpg,4.57205967e-08 -1.73502898e-06 1.42580169e-04 2.65609684e-06 4.91573798e-07 2.46012686e-03 1.51646292e-05 -4.05627095e-03 2.47401234e-01
001192bda6.jpg 1af4b8b814.jpg,6.25842641e-07 3.32806645e-06 -7.92311034e-04 -7.48212011e-07 -2.15668910e-06 5.27386618e-03 -9.45841757e-04 -5.42685626e-03 2.54458240e-01
001192bda6.jpg 1b00062994.jpg,-1.71781294e-06 4.08753547e-06 6.95540200e-04 -1.06217539e-05 -4.64822645e-06 1.10485248e-02 3.59519246e-03 -5.18735437e-03 -2.21506385e+00
001192bda6.jpg 1bdfb6d6e4.jpg,4.45328501e-07 -5.23941282e-06 3.56905027e-04 3.15547333e-06 7.08762251e-06 4.83639251e-03 -9.73628275e-05 -4.62929433e-03 -3.79417955e-01
001192bda6.jpg 1d97aec03e.jpg,1.35652760e-06 8.83708734e-06 -3.17467561e-03 -9.55941524e-06 -4.62816903e-06 9.73692211e-03 1.90883627e-03 -8.10722636e-03 3.52120824e-02
001192bda6.jpg 1dcae8377a.jpg,6.51706691e-08 4.73807937e-06 -4.00114582e-03 -5.44243102e-06 1.21516349e-06 7.72375287e-03 3.76828166e-03 -6.86224072e-03 -3.96158466e-01
001192bda6.jpg 1fda85f359.jpg,-2.62387349e-07 5.67820512e-06 -1.29113111e-03 -3.65335667e-06 -4.01457132e-06 6.02806178e-03 2.41246185e-03 -6.06622621e-03 -1.46167804e+00
001192bda6.jpg 2135fa3cab.jpg,-7.58812718e-09 -8.93869422e-08 -8.53635207e-05 5.51738241e-07 1.38090238e-06 3.83194155e-03 4.44574865e-04 -5.37474559e-03 7.75941293e-02
001192bda6.jpg 2178603b85.jpg,-1.48199500e-08 1.77882406e-05 -3.26575351e-03 -1.79863699e-05 5.49319707e-06 1.13445395e-02 5.92524753e-03 -1.43532301e-02 -1.42716283e+00
001192bda6.jpg 21cc2cb794.jpg,-6.21209488e-08 -3.43482668e-06 9.93784856e-04 -1.62317639e-06 -1.88353597e-06 5.46759513e-03 4.71992489e-04 -4.03479282e-03 -5.20781508e-01
001192bda6.jpg 230dfcc018.jpg,8.35291655e-08 -1.87962471e-05 1.48176107e-03 1.47849509e-05 7.67355645e-06 1.15605946e-04 -9.74433936e-04 1.68159544e-04 -6.05992186e-02
001192bda6.jpg 23f74260f2.jpg,-3.82906566e-07 1.51254570e-05 -4.51885767e-03 -1.52121890e-05 -2.74316088e-06 1.42990889e-03 8.15719472e-03 1.83606985e-03 -8.76205822e-01
001192bda6.jpg 24ccefea85.jpg,-5.05158169e-01 -9.92652381e+00 2.75136975e+03 9.74487600e+00 -2.89757975e-05 -3.12962898e+03 -3.66060558e+03 4.36501746e+03 3.71023961e+04
001192bda6.jpg 25e19a8cf6.jpg,-7.48862037e-07 -1.01485617e-06 -6.75466994e-04 1.60815776e-06 7.91248556e-06 1.79080429e-03 1.04265607e-03 -6.45780937e-03 4.73334093e-01
001192bda6.jpg 2600857eb3.jpg,1.15500099e-06 -2.73844606e-05 -3.61113171e-03 2.21203331e-05 7.08908504e-07 -9.55639820e-03 1.29663580e-03 7.14903095e-03 2.46478949e-01
001192bda6.jpg 29ecd6027d.jpg,2.00057316e-08 -7.94300048e-06 2.27596371e-03 7.99885680e-06 -7.54973138e-06 -7.96494111e-03 -3.24938401e-03 1.18251777e-02 6.98047799e-01
001192bda6.jpg 2a05ce4d1b.jpg,-1.85150099e-08 -2.88252942e-06 3.13355970e-04 3.62578088e-06 3.41428604e-06 4.55051804e-03 -8.50744272e-04 -6.26033214e-03 -4.26370511e-01
001192bda6.jpg 2b6c20dd95.jpg,1.49221021e-07 -8.22829177e-06 2.52305744e-03 6.55389451e-06 1.48467796e-06 -9.76396790e-03 -2.66721186e-03 8.09849652e-03 1.08182665e+00
001192bda6.jpg 2b85c74088.jpg,-4.66572071e-08 6.70777907e-06 -1.34150612e-03 -4.75422463e-06 2.49092069e-06 5.27926852e-03 1.70612447e-03 -9.71095024e-03 -5.63999744e-02
001192bda6.jpg 2c4106f72b.jpg,2.37142415e-07 -6.87824253e-06 1.38445261e-03 4.86650216e-06 2.90927966e-06 2.49952991e-03 -1.56019249e-03 -3.55311976e-03 -3.30026099e-01
001192bda6.jpg 2d25454579.jpg,4.01295083e-08 1.04458269e-05 -1.95325480e-03 -1.37495677e-05 6.30653834e-06 1.03915472e-02 4.37280288e-03 -1.18440186e-02 -1.49693453e+00
001192bda6.jpg 2de39d7b95.jpg,-3.71681266e-07 1.53090308e-05 -3.79758415e-03 -1.87620170e-05 2.44563923e-05 1.23498569e-02 4.74896881e-03 -1.47376372e-02 -7.95329553e-01
001192bda6.jpg 2f009c1697.jpg,3.55646533e-07 3.06116281e-06 -2.33347375e-03 -5.16087277e-06 1.79277360e-06 1.07110244e-02 3.06243040e-03 -1.08643915e-02 -1.44633487e+00
001192bda6.jpg 3426f8f94e.jpg,7.94011580e-08 2.77744339e-06 -1.47799851e-03 -3.31982024e-06 7.77273821e-07 6.78338376e-03 2.48703797e-03 -6.63976826e-03 -2.23123296e+00
001192bda6.jpg 351d2d2051.jpg,5.58748985e-08 -4.11945217e-06 8.49893384e-04 4.94871679e-06 5.90589988e-07 3.08155589e-03 -1.57343101e-03 -4.15649635e-03 -1.95766005e-01
