samples,fundamental_matrix
00f96fcafd.jpg 01741ed148.jpg,1.75509433e-07 -1.74359209e-06 1.53436142e-03 -2.32683174e-07 1.27792122e-06 -7.11881118e-03 -5.68159078e-04 6.65716848e-03 1.50289772e-02
00f96fcafd.jpg 047357d96f.jpg,1.70919437e-06 1.16973606e-05 1.27661404e-03 -2.07113828e-05 -1.03204141e-05 1.17758076e-02 -2.25537508e-03 -7.58881350e-03 -5.79139271e-02
00f96fcafd.jpg 05823c7384.jpg,-4.24136326e-07 7.37862589e-06 -2.64690540e-03 -1.00710364e-05 -3.00312577e-06 1.31558553e-02 3.97389450e-03 -8.22088234e-03 -1.17947684e+00
00f96fcafd.jpg 0754479cc1.jpg,-1.17756958e-06 -2.19847796e-06 6.84524668e-04 3.40822350e-06 -1.95098738e-06 2.47466596e-03 -2.45608151e-03 -4.83277438e-03 1.56030103e+00
00f96fcafd.jpg 07a0193811.jpg,3.54077841e-06 1.91414369e-05 -8.15754638e-03 -1.79174710e-06 -2.12463054e-06 4.76070429e-03 -1.98301311e-03 -1.36599279e-02 4.32264454e+00
00f96fcafd.jpg 0cc25a5eec.jpg,-6.05212166e-07 -3.21825253e-06 3.15026357e-04 6.46331219e-06 -8.08570341e-07 3.03337818e-03 -1.38610987e-03 -3.84950202e-03 8.11043054e-02
00f96fcafd.jpg 0cd465a15a.jpg,2.33408725e-07 3.68730139e-06 -1.53811786e-03 -6.91323288e-06 3.97712081e-06 -5.92735022e-03 2.48895821e-03 3.14197853e-03 5.36009816e-02
00f96fcafd.jpg 0dbb7c2e22.jpg,-3.24976338e-06 -9.34827125e-06 5.22308931e-03 2.86993639e-06 1.83094378e-05 -1.19227033e-02 2.41720369e-03 1.50286695e-03 7.80382466e-02
00f96fcafd.jpg 0dde538ec6.jpg,2.81106551e-07 2.42941253e-08 1.79018188e-04 1.63417644e-06 -6.53291529e-06 3.43217702e-03 -1.16886256e-03 -3.04948057e-03 3.12121324e-01
00f96fcafd.jpg 0f4e35924a.jpg,-5.91772503e-06 2.58086482e-05 -3.78858939e-03 -2.36016962e-05 -4.23729797e-06 2.00187216e-02 1.38556620e-02 -1.97696193e-02 -4.45665832e+00
00f96fcafd.jpg 10aa70d192.jpg,3.01179766e-07 6.12410928e-06 -3.50225913e-03 -5.68014948e-06 2.87935952e-06 7.89730998e-03 2.72640310e-03 -8.53016428e-03 -2.79050047e-01
00f96fcafd.jpg 110c9a8b2d.jpg,-2.55603713e-10 -4.81771907e-07 7.99307545e-03 4.69166350e-07 7.61868087e-11 -9.47405782e-05 -8.00152044e-03 8.06693397e-05 2.55844569e-01
00f96fcafd.jpg 118eb5e93c.jpg,2.68618526e-07 8.60636392e-06 -2.76411567e-03 2.16530008e-06 -7.43097290e-06 5.69609187e-03 -7.84698181e-04 -6.95712393e-03 1.45089435e+00
00f96fcafd.jpg 138cd5d972.jpg,-1.31117015e-06 5.00458832e-05 -2.25110698e-02 -4.22813763e-05 3.67872478e-07 1.41373146e-02 1.28873982e-02 -2.51420772e-02 7.17150349e+00
00f96fcafd.jpg 13b3f4b6a7.jpg,1.06623127e-06 -5.25633315e-06 -1.05265961e-02 4.19534048e-06 -2.85172230e-07 -5.24526986e-03 4.01024063e-03 4.02531396e-03 2.60845119e+00
00f96fcafd.jpg 13c15d23cc.jpg,3.05674474e-07 -1.50823883e-06 -1.54740665e-05 -4.94348020e-07 1.01292507e-06 3.59554861e-03 8.86375164e-04 -4.26810802e-03 -3.08696494e-01
00f96fcafd.jpg 15885edc2d.jpg,-1.38715278e-08 1.45526105e-05 -1.37181470e-02 -1.30711744e-05 2.05740080e-08 6.59763681e-03 1.27525144e-02 -6.09889700e-03 -7.03603059e-01
00f96fcafd.jpg 186f4505c5.jpg,4.07573049e-07 2.34640374e-06 -4.52427256e-04 4.41016709e-06 1.18792304e-05 -1.96314937e-03 -1.26909061e-03 -1.26491841e-02 2.56845096e+00
00f96fcafd.jpg 188cfb45ee.jpg,-3.65978541e+00 -2.60337347e+01 3.25741027e+03 1.64949484e+01 8.46739400e-01 -2.44401381e+04 1.93685190e+03 2.90662274e+04 -4.43132466e+05
00f96fcafd.jpg 1a58eb3893.jpg,-9.51392389e-06 6.78128633e-05 -1.08704820e-02 -3.66445133e-05 4.88862767e-06 1.84103160e-02 2.64208798e-02 -2.82128469e-02 -7.46756607e+00
00f96fcafd.jpg 1b8e39d8cb.jpg,-4.01559233e-08 1.06330505e-06 -5.83853931e-04 -1.36727563e-06 -2.92516922e-06 6.59103681e-03 1.09133152e-03 -3.68353744e-03 -1.18950284e+00
00f96fcafd.jpg 1c76d92aef.jpg,-2.42994943e-06 -1.23035871e-05 3.14066395e-03 1.76473940e-05 2.18525291e-05 -6.64023133e-03 -1.26039294e-02 -1.77532024e-02 5.25652798e+00
00f96fcafd.jpg 1f22abef2d.jpg,-2.49873569e-07 1.62072736e-05 7.67772176e-04 -1.50718560e-05 -5.26472302e-08 9.85577726e-03 2.67691929e-04 -9.41875256e-03 -5.26293519e-01
00f96fcafd.jpg 2441e7b368.jpg,-3.60122401e-08 -2.62534842e-05 1.18979450e-02 2.25762038e-05 2.26790227e-06 -1.50185145e-02 -9.28752563e-03 1.41164630e-02 -6.29136153e-01
00f96fcafd.jpg 25353c2701.jpg,1.07756810e-06 2.88255263e-07 -4.98771098e-03 -3.82117723e-07 1.70021157e-10 4.89101870e-05 9.50172269e-03 2.22897495e-05 -1.66160435e+00
00f96fcafd.jpg 2969e2824a.jpg,-1.80309357e-07 1.24789820e-06 -9.60932103e-04 1.44954945e-07 6.73718409e-07 -5.50472208e-03 -7.15598201e-04 3.87817988e-03 2.08052056e-01
00f96fcafd.jpg 2afd0b46e2.jpg,4.04358668e-07 8.26181193e-06 -1.15374343e-02 -6.91958847e-06 -1.65939321e-07 6.20293852e-03 6.85272365e-03 -5.51686914e-03 1.55044790e+00
