samples,fundamental_matrix
01180b1180.jpg 01e8916f36.jpg,-9.94149404e-07 9.43882408e-06 -2.14049384e-03 -6.39272318e-06 7.10319464e-06 5.10326934e-03 2.75213782e-03 -1.22641563e-02 1.04408545e+00
01180b1180.jpg 021410e636.jpg,-2.65746383e-08 1.11178614e-05 1.68966678e-03 -1.04276049e-05 5.86122416e-07 2.28625998e-03 -5.42281881e-04 -1.73751136e-03 -1.48909110e-01
01180b1180.jpg 025ff2961a.jpg,-3.15660527e-06 1.57621160e-05 1.38612715e-03 -2.09680517e-05 4.49013479e-06 5.04035292e-03 2.99213775e-03 -4.59150886e-03 -8.83544140e-01
01180b1180.jpg 02b7755c0e.jpg,-8.06835190e-08 -3.39425352e-06 5.76023190e-04 2.29873245e-06 2.33513678e-07 -4.91224411e-03 -6.35421225e-04 5.69347732e-03 6.71515448e-01
01180b1180.jpg 02baf60054.jpg,6.64712345e-07 7.50579137e-06 -3.55396635e-03 -7.33074775e-06 1.15639937e-05 5.02553830e-03 3.98025911e-03 -1.31716702e-02 -2.32095905e-01
01180b1180.jpg 066854d1ed.jpg,5.57314578e-07 -1.22749302e-05 -1.98757539e-03 1.06447602e-05 1.08577886e-06 -2.30011313e-03 2.17933850e-03 1.92110289e-03 -2.13694072e-01
01180b1180.jpg 0753114045.jpg,2.66316064e-07 1.14615447e-05 -3.24347879e-03 -7.87615738e-06 6.34423259e-06 6.44976590e-03 2.21429985e-03 -1.21599117e-02 8.75325338e-01
01180b1180.jpg 08d74dd2a3.jpg,-9.75298073e-07 1.05808505e-05 -8.42131057e-04 -4.82895163e-06 3.81738267e-05 2.13463609e-03 2.37602084e-03 -2.13586064e-02 9.20037699e-02
01180b1180.jpg 08e086e1f3.jpg,-5.36191880e-07 1.88386586e-05 -1.72401509e-03 -3.69861557e-05 5.14652525e-06 9.52363785e-03 9.96499398e-03 -7.56873376e-03 -1.95241224e+00
01180b1180.jpg 095e72668b.jpg,5.81483934e-07 -7.84964669e-06 2.46148188e-04 2.59563738e-06 5.07421106e-06 8.24412927e-03 3.23367731e-04 -9.31861216e-03 -7.45449563e-01
01180b1180.jpg 0a3eae5038.jpg,-9.00485192e-07 7.10439933e-06 4.83521295e-03 -4.83762469e-06 -5.11682576e-08 2.42167713e-03 -4.08994741e-03 -2.86623670e-03 3.07545247e-01
01180b1180.jpg 0abe4e37f5.jpg,-3.06916294e-07 -5.40490420e-06 2.19386849e-04 7.17027253e-06 2.79996751e-05 -1.33665300e-02 -1.33633930e-03 -1.64173571e-03 2.79108912e+00
01180b1180.jpg 0b879eb76b.jpg,1.06786361e-05 7.04557975e-06 -1.62565995e-02 -2.22214434e-05 -1.06781271e-07 1.18769400e-02 1.37438866e-02 -2.39080077e-03 -3.64032125e+00
01180b1180.jpg 0d778f6b73.jpg,3.02411807e-07 -1.63267186e-05 7.50370178e-04 9.83008856e-07 -4.66866348e-05 2.14796142e-03 -8.47478755e-04 2.79553407e-02 -1.29111883e+00
01180b1180.jpg 0d9a2bc8b2.jpg,-1.86389686e-06 2.51708030e-05 -4.23765216e-03 -8.05769891e-06 1.44671246e-05 -5.03026915e-03 4.68651063e-03 -9.11344181e-03 3.02416989e+00
01180b1180.jpg 0de6930bd5.jpg,1.04444734e-05 -5.64341356e-05 2.05088116e-03 4.54171038e-05 1.11734958e-06 -2.39402633e-02 -1.16963841e-02 2.39582200e-02 2.93364496e+00
01180b1180.jpg 0ee55a9560.jpg,1.15037121e-08 3.85340023e-06 -4.68542000e-04 -5.49091162e-06 2.91939902e-06 8.95407637e-03 5.06523959e-04 -9.03678750e-03 1.95757207e-01
01180b1180.jpg 0f93e617cd.jpg,-6.05074853e-06 2.68392464e-05 -7.85068176e-03 -3.13531879e-05 2.75368947e-05 1.42282228e-02 8.57673452e-03 -1.79684962e-02 1.24523784e+00
01180b1180.jpg 0ffd0951ff.jpg,7.44550292e-10 -1.68391038e-06 3.75230618e-04 2.04245932e-06 -7.11817330e-08 4.33569041e-03 -6.63619969e-04 -4.44915489e-03 -4.16329445e-01
01180b1180.jpg 113b30892b.jpg,3.76835192e-08 6.02083855e-06 2.41659612e-03 -6.20014057e-06 9.29466942e-08 1.06585163e-04 -1.42404983e-03 4.91195815e-05 3.56291766e-02
01180b1180.jpg 12753d1308.jpg,9.73184975e-08 4.05221491e-06 -6.05081964e-04 -4.04920371e-06 2.46626481e-05 4.00054518e-03 1.51605597e-03 -1.95481913e-02 -3.67734509e-01
01180b1180.jpg 13a4a718de.jpg,1.65513806e-06 -4.19140737e-06 -2.77811420e-04 9.83115659e-06 -3.60342150e-07 -9.13314806e-03 -4.57729951e-03 7.02299105e-03 2.16157686e+00
01180b1180.jpg 16f7456817.jpg,2.33387093e-07 3.00893572e-06 -2.90855851e-04 -1.14947107e-05 -2.33017861e-06 -8.58701486e-04 2.01739003e-03 1.68363972e-03 1.80192091e-02
01180b1180.jpg 17324d2263.jpg,1.45385439e-07 6.20817158e-06 -9.47768964e-04 1.03989818e-06 4.53906530e-06 5.67159054e-03 -4.94983472e-04 -1.01307350e-02 -2.10445699e-01
01180b1180.jpg 18b01e7f0c.jpg,-3.73227050e-06 -4.30984952e-06 -3.95257920e-03 1.50355799e-06 8.05603801e-08 -6.02686618e-04 8.90769295e-03 2.31165044e-03 -1.13865522e+00
01180b1180.jpg 1bc83e39cb.jpg,-2.14737203e-07 -8.14182742e-07 6.54106220e-04 -2.71167398e-06 1.48303937e-05 7.39757862e-03 4.27708327e-04 -1.53500339e-02 -7.19989141e-01
01180b1180.jpg 1bf91098ff.jpg,-1.37997115e-08 2.36946268e-05 -3.60896909e-03 -3.03165201e-05 -3.49610748e-06 1.63376861e-02 1.35606574e-02 -1.00704135e-02 -5.53232714e+00
01180b1180.jpg 1c13de0eaf.jpg,-2.06241900e-07 -1.94171896e-06 -1.32118491e-03 1.57937737e-06 3.90449074e-06 -5.70981920e-03 9.60696416e-04 5.18044309e-03 5.76343278e-01
01180b1180.jpg 1d28c36e7a.jpg,-5.25600975e-07 -9.67053429e-06 2.81892937e-03 8.58108559e-06 -2.63293756e-06 8.31941555e-04 -2.19098983e-03 -5.32476782e-04 1.39243397e-01
01180b1180.jpg 1d83cac810.jpg,-8.55140283e-06 3.00961316e-05 -3.41311245e-03 -3.18623464e-05 -1.15711552e-05 1.74085498e-02 1.66447123e-02 -1.67944060e-02 -3.53231348e+00
01180b1180.jpg 1e120bbe57.jpg,5.62808522e-07 -6.99785481e-06 3.03154054e-03 7.16928573e-06 -2.78726756e-06 -5.83194655e-03 -3.84846350e-03 5.63544038e-03 1.00000000e+00
01180b1180.jpg 1e61f2057a.jpg,2.34077502e-07 5.79595485e-07 -5.54356475e-04 3.46827199e-06 4.49283273e-06 -6.56285784e-03 -1.59290910e-03 2.93249864e-03 1.00000000e+00
01180b1180.jpg 1e72427541.jpg,-1.14778332e-07 2.07163633e-06 -2.01708780e-04 -1.02644580e-06 -1.30547323e-05 9.94984372e-03 3.44719434e-04 -9.90630962e-04 -1.34112784e+00
01180b1180.jpg 1ecdfe97ef.jpg,4.35265594e-07 -6.09856195e-07 -1.02333110e-03 3.95591443e-06 1.23615504e-05 -1.06193387e-02 -7.54889702e-04 7.78020088e-04 1.79538286e+00
01180b1180.jpg 1fe8a42c77.jpg,-1.21907196e-10 -9.86489696e-07 2.03261665e-04 1.31364084e-06 3.41825976e-06 3.36812261e-03 -6.92292087e-04 -6.86869870e-03 -7.28980254e-01
01180b1180.jpg 20ad016155.jpg,-3.74680399e-06 -2.70891567e-08 9.23104694e-03 -2.57585011e-07 3.34427496e-08 -2.79401126e-04 -5.61754585e-03 5.10941142e-04 -4.39261220e-01
01180b1180.jpg 23b2cb1de3.jpg,-2.56603420e-07 2.53400714e-06 -5.73614673e-04 -6.03754415e-06 -6.52084876e-07 -2.04474808e-03 1.75776372e-03 3.62149588e-03 -5.66850271e-02
01180b1180.jpg 262bcf2d33.jpg,1.50672382e-06 5.66708288e-07 1.09816897e-04 1.10420663e-05 1.14292262e-05 -7.06934938e-04 -2.87326192e-03 -8.55060032e-03 1.34258426e+00
01180b1180.jpg 26787d6d14.jpg,6.19770374e-06 -2.87938857e-05 5.80251886e-03 2.10727054e-05 -1.41184923e-07 -1.06899585e-02 -1.09484102e-02 1.07778703e-02 2.22320791e+00
01180b1180.jpg 276f06f2b4.jpg,2.03731471e-07 1.86411638e-06 -2.76859575e-04 1.94365971e-06 3.01309299e-06 3.83909525e-03 -1.11362395e-03 -6.60959899e-03 -5.72340968e-02
01180b1180.jpg 27c8f076f6.jpg,1.15549130e-06 -3.13292791e-06 -1.54540758e-04 4.67152838e-06 -4.80956756e-06 -2.39240344e-03 -3.28133393e-03 6.40270380e-03 1.00000000e+00
01180b1180.jpg 2af0fbcada.jpg,-4.68174109e-08 3.72680925e-06 -5.34283125e-04 7.26077783e-06 -4.56205147e-06 -7.00996051e-03 -2.62934801e-03 3.14017448e-03 2.30529053e+00
01180b1180.jpg 2b68f3ca56.jpg,1.61578480e-07 -4.91961677e-06 5.78982650e-04 1.64411530e-06 -6.71680327e-06 6.89341974e-03 -3.92114086e-04 -2.57113533e-03 -1.74053179e+00
01180b1180.jpg 2b966678c0.jpg,1.72611193e-06 -1.79102967e-05 1.33622888e-04 9.25241848e-06 9.33912655e-06 -7.22923359e-04 1.38752476e-03 -6.62718917e-03 1.26108571e-03
01180b1180.jpg 2c3b756ec3.jpg,-3.15304971e-07 4.61128415e-07 -5.43818666e-04 2.61359240e-06 -1.45664590e-06 4.21728031e-03 8.95837565e-05 -4.25640644e-03 6.61065964e-01
01180b1180.jpg 2c691d651f.jpg,3.42031057e-07 -2.62945190e-05 2.25443425e-03 2.78779474e-05 -3.63449411e-06 -8.46247446e-03 -5.15514320e-03 6.95964861e-03 1.00000000e+00
01180b1180.jpg 3037fa681b.jpg,-8.62493269e-06 2.36362893e-05 -4.15402808e-03 -1.59618767e-05 2.09268920e-07 8.24523950e-03 1.25423863e-02 -8.40457141e-03 -3.46304997e+00
01180b1180.jpg 3cc079377f.jpg,2.13408960e-06 -3.23027316e-05 2.01552474e-03 1.24389164e-06 -4.37438906e-07 -1.38820069e-04 -7.91814823e-04 7.70180946e-03 -4.41862601e-01
01180b1180.jpg 3d2b50ab66.jpg,-5.60827082e-07 9.02324487e-07 1.07445876e-03 -3.47932233e-06 1.12662367e-05 6.92102100e-03 1.62312940e-05 -1.30039383e-02 -6.15325982e-01
