samples,fundamental_matrix
00069501e1.jpg 00a8ac2af1.jpg,3.21876601e-07 -6.53085554e-05 1.29918693e-02 4.78428139e-05 3.13052437e-05 -1.75480526e-02 -1.16160164e-02 1.32727296e-02 8.39452452e-02
00069501e1.jpg 01687b0785.jpg,6.71337735e-07 2.29190223e-05 -5.62817123e-03 -2.46581620e-05 4.86919321e-06 1.89300310e-02 9.01670381e-03 -1.45017892e-02 -4.10055996e+00
00069501e1.jpg 02bf37aab5.jpg,2.73881867e-06 2.11841112e-05 -7.92821282e-03 -2.85660128e-05 -5.76714100e-06 2.25232149e-02 6.16293065e-03 -1.41794166e-02 -5.46576316e-01
00069501e1.jpg 03552ab279.jpg,-1.04709108e-05 3.10698341e-05 2.22874911e-03 -1.66789408e-06 -9.50345709e-06 -9.48531079e-03 2.64108270e-03 -5.54241106e-03 1.00000000e+00
00069501e1.jpg 04396640f2.jpg,6.02480444e-07 -1.19760061e-05 2.41641390e-03 1.47187229e-05 1.52414443e-05 2.93852927e-03 -2.49186574e-03 -6.20594505e-03 1.63215513e-01
00069501e1.jpg 050f8aacd9.jpg,-2.36322798e-06 1.31596385e-05 -3.67780396e-03 3.98800274e-06 8.23741372e-06 5.29535922e-03 6.30276833e-04 -1.24585617e-02 1.24866131e+00
00069501e1.jpg 07db752e8d.jpg,9.47219223e-06 7.65171995e-05 -3.29526258e-02 -8.12766580e-05 4.72283491e-06 4.56996887e-02 9.28395639e-03 -4.17683117e-02 9.55930955e+00
00069501e1.jpg 095e11392d.jpg,-1.11569811e-05 -4.11153472e-05 1.42391596e-02 4.82841943e-05 1.09522270e-06 -2.31043904e-02 -6.50427627e-03 1.60679476e-02 -4.19638608e-01
00069501e1.jpg 09f8e96632.jpg,6.59700083e-06 7.53776764e-05 -2.08880768e-02 -6.29218182e-05 1.06997589e-05 2.67532371e-02 1.23934173e-02 -4.08162677e-02 3.88062405e+00
00069501e1.jpg 0a8e122ed3.jpg,8.09336397e-07 7.71062216e-05 -3.20526960e-02 -6.70352267e-05 2.67234830e-07 2.27301958e-02 2.45089815e-02 -2.80270074e-02 3.19973029e+00
