samples,fundamental_matrix
0034d9c00c.jpg 0118f7835c.jpg,3.21766491e-07 -6.51608515e-06 2.04227663e-03 3.93944619e-06 -5.30280488e-06 4.30559499e-03 -1.23301887e-03 -1.25100367e-03 -5.38653933e-01
0034d9c00c.jpg 01c7bd47e3.jpg,7.49254684e-07 -3.65567194e-05 3.70599472e-03 1.89313215e-05 -1.99679577e-07 -5.54977610e-03 -3.19090061e-03 1.28503995e-02 -4.41200301e-01
0034d9c00c.jpg 06738c6636.jpg,2.25074069e-07 -3.21197583e-05 1.12316821e-02 3.13617172e-05 -3.23941732e-05 -2.58447847e-02 -1.07867265e-02 3.31757802e-02 1.00000000e+00
0034d9c00c.jpg 06cf8e1d9d.jpg,-1.99176818e-07 -3.28594303e-06 1.39032121e-03 4.80885087e-06 -2.06184206e-06 -3.39024857e-03 -2.29603228e-03 2.65327644e-03 1.00000000e+00
0034d9c00c.jpg 09ad806837.jpg,6.91799591e-07 -2.13502505e-05 4.97770681e-03 1.55809028e-05 1.68643123e-05 4.68172372e-04 -1.89699405e-03 -4.08011274e-03 3.97634342e-01
0034d9c00c.jpg 0a86b39f62.jpg,-5.40777552e-07 7.19287081e-06 -2.32687055e-03 1.88760249e-07 -8.33423020e-06 6.34205585e-03 7.69474047e-04 -6.81494846e-03 6.35623900e-02
0034d9c00c.jpg 1268b41c23.jpg,-1.50626714e-05 -3.47458248e-05 2.97454039e-02 2.55335669e-05 1.08091859e-05 -6.44528994e-03 -1.01802854e-02 3.73397320e-03 -4.78599328e+00
0034d9c00c.jpg 12ec2610dc.jpg,-6.32473551e-07 9.79453364e-07 -9.92415558e-04 -2.73405804e-06 1.02386342e-05 -6.54237185e-03 1.59658503e-03 3.11342685e-05 1.56609312e+00
0034d9c00c.jpg 133c6f25ff.jpg,6.75757586e-07 4.72372905e-06 -1.64049412e-03 1.29400414e-05 5.28662030e-07 -1.55933657e-02 -3.55436340e-03 1.12079636e-03 4.06045199e+00
0034d9c00c.jpg 13f454830f.jpg,-6.69455985e-06 2.74097806e-05 -7.43357998e-03 -1.01740206e-05 1.99950331e-05 6.32062072e-03 5.70905888e-03 -1.79099449e-02 1.89446051e+00
0034d9c00c.jpg 14ff2726ab.jpg,2.60862308e-09 -3.81190011e-06 3.19620301e-04 1.78826636e-06 -5.98215203e-06 3.64932654e-03 -1.43386799e-04 -1.26303595e-03 -1.48592688e-01
0034d9c00c.jpg 15ab9a2962.jpg,6.14997011e-07 1.82420802e-06 -9.54137184e-04 -5.33677219e-06 3.30507483e-06 4.40903627e-03 2.80439818e-03 -1.12216365e-02 -3.98255970e-01
0034d9c00c.jpg 15f4dfe89c.jpg,-1.80455943e-07 -3.07278136e-06 9.90273050e-04 5.22376515e-06 -1.18615788e-07 1.65209971e-03 -2.53070711e-03 -5.42170149e-03 1.06468779e+00
0034d9c00c.jpg 168eb9f21b.jpg,1.39339698e-05 -3.80603308e-05 -7.22656736e-03 2.05896490e-05 -1.50803956e-06 -9.74009627e-03 -4.69076143e-03 1.78232011e-02 2.51866463e+00
0034d9c00c.jpg 179bbce00d.jpg,-1.67665852e-07 1.23605094e-05 -8.44172720e-03 -1.04996580e-05 -1.55364296e-07 4.62333910e-03 8.71361438e-03 -5.36677780e-03 -5.14705558e-02
0034d9c00c.jpg 1868c93678.jpg,-3.49686543e-07 6.30216921e-06 -9.86140315e-04 -5.10718470e-06 -2.88940655e-06 5.55298508e-03 2.89365889e-03 -3.99855504e-03 -1.96158617e+00
0034d9c00c.jpg 19815b407f.jpg,-9.84772653e-06 7.14499000e-06 -9.72944411e-05 -3.10121836e-06 1.14700060e-05 4.42159979e-03 1.34847013e-02 -1.72386235e-02 -3.46666269e+00
0034d9c00c.jpg 1b7303c79a.jpg,-4.96917900e-07 8.24510379e-07 2.12959449e-04 6.59717794e-06 -1.34287008e-06 -6.27738636e-03 -2.28340542e-03 3.72910751e-03 1.00000000e+00
0034d9c00c.jpg 1c339d9773.jpg,-1.94191115e-06 2.47247278e-06 3.15031350e-03 -2.39873550e-06 2.89151330e-06 3.83786258e-03 -1.25255851e-03 -5.75190585e-03 -3.87394801e-01
0034d9c00c.jpg 1c6436f3a3.jpg,1.72870239e-07 8.87077676e-06 -2.47178969e-03 -2.64618193e-06 9.45559833e-06 6.49760098e-03 5.18398219e-04 -9.42262511e-03 3.60506610e-01
0034d9c00c.jpg 1d5ca50f34.jpg,7.87003307e-07 1.69457470e-05 -4.26719919e-03 8.01444375e-06 2.82342731e-05 -1.45841035e-02 -2.92177877e-03 -9.47718649e-03 5.15361305e+00
0034d9c00c.jpg 1da5f73693.jpg,-1.72658612e-08 -3.56709479e-05 8.95059265e-03 3.28928783e-05 5.45492764e-07 -1.32994805e-02 -1.19703473e-02 1.43276290e-02 1.19783311e+00
0034d9c00c.jpg 1e01d0082f.jpg,1.52795675e-07 -7.83387580e-06 8.04989993e-03 9.82522880e-06 -4.18093739e-07 -5.04915520e-03 -1.55504872e-02 5.61195920e-03 2.85071976e+00
0034d9c00c.jpg 1ef0c73896.jpg,-1.87710924e-06 -1.68373661e-05 6.01822460e-03 -1.11591614e-06 -1.05931916e-05 1.56672062e-02 -4.67117542e-05 -2.95061117e-04 -2.41758480e+00
0034d9c00c.jpg 20696bdb00.jpg,-1.37169342e-07 5.33090877e-06 -2.13272206e-03 -4.36862701e-06 -6.61755727e-07 6.69435023e-03 2.34463530e-03 -7.03353296e-03 -3.58148506e-01
0034d9c00c.jpg 24918c6c88.jpg,-5.16009139e-08 2.69584233e-06 -6.73122106e-04 6.59092773e-06 4.51863985e-05 -1.99877408e-02 -2.34846075e-03 -1.51791673e-02 6.87128684e+00
0034d9c00c.jpg 258feca8a0.jpg,-1.22372703e-06 -7.13033153e-06 3.28197563e-03 9.74771899e-06 7.22792939e-06 -1.47747387e-02 -2.55747003e-03 3.86029760e-03 2.55616704e+00
