samples,fundamental_matrix
00b6c77646.jpg 00e0b7e9eb.jpg,-3.68847064e-08 -4.65290073e-06 1.56401448e-03 -9.16910004e-06 1.11348336e-06 9.47301571e-03 3.19477414e-03 -3.02521847e-03 -2.43661941e+00
00b6c77646.jpg 011f92b0d3.jpg,3.54798916e-07 6.50086732e-06 -8.26858157e-04 -3.02350793e-06 1.78550095e-05 4.90410040e-03 1.67725836e-04 -1.47351381e-02 1.29888607e-01
00b6c77646.jpg 031d828a32.jpg,-1.37017409e-06 5.52621551e-06 -5.18906386e-04 -1.27230145e-06 -9.49159093e-08 -1.09123496e-02 -1.13768452e-03 5.69804909e-03 1.78344440e+00
00b6c77646.jpg 054c752361.jpg,-4.09752584e-07 2.51244825e-06 -2.71325376e-04 -6.51480463e-06 3.06447103e-06 6.03119092e-03 4.31577862e-03 -8.27725174e-03 -2.24311925e+00
00b6c77646.jpg 06f8066340.jpg,3.84664735e-08 1.47689847e-06 -1.83629997e-03 -1.00872842e-06 1.27547673e-05 3.77869578e-04 9.99296390e-04 -1.44717731e-02 1.32968584e+00
00b6c77646.jpg 07c4bc68a9.jpg,9.30957684e-08 -2.40016390e-06 6.49654555e-04 3.58161653e-06 -2.75468000e-08 3.20887978e-03 -2.06675275e-03 -3.92894560e-03 -9.20721418e-01
00b6c77646.jpg 09e813d2cf.jpg,3.19992507e-07 -2.00266672e-06 6.52468468e-04 -9.31242460e-06 8.54991296e-06 1.44872546e-02 3.99866760e-03 -9.39643135e-03 -2.36695977e+00
00b6c77646.jpg 0c1c1757ce.jpg,-3.45828712e-08 2.67776853e-07 -4.84612568e-05 -8.06946104e-06 5.86499714e-07 9.58532085e-03 3.48675287e-03 -6.98224210e-03 -1.87040746e+00
00b6c77646.jpg 0e08ba078c.jpg,1.20504446e-06 -7.91774274e-06 6.14670309e-04 5.12769569e-07 -1.94065415e-06 -3.07977089e-03 -1.40931338e-03 8.94040432e-03 2.84317642e-02
00b6c77646.jpg 1132eb8dd3.jpg,-1.16206703e-05 1.51114977e-04 -1.34165564e-02 -1.28412587e-04 -5.00731045e-06 1.60877726e-03 4.70419363e-02 -1.59279493e-02 1.00000000e+00
00b6c77646.jpg 11cc2a3c60.jpg,3.89565799e-07 -5.36106997e-06 8.53990085e-04 2.69961752e-07 -2.16976317e-06 5.43031401e-03 1.85255286e-04 -2.83746654e-03 -4.95767324e-01
00b6c77646.jpg 11f75cb6d9.jpg,7.73418597e-07 -3.35035956e-06 3.39433230e-04 -9.84123980e-06 -1.96097878e-06 1.09347072e-02 4.53552868e-03 -6.07552919e-03 -2.65204636e+00
00b6c77646.jpg 16dc77d027.jpg,3.66463692e-07 -2.65423220e-06 5.71004349e-04 -3.30080015e-06 -1.54670529e-06 6.27874052e-03 2.64100398e-03 -5.30662882e-03 -2.08712729e+00
00b6c77646.jpg 16f5a1313f.jpg,-1.75476333e-06 3.90312724e-06 -3.69155565e-04 1.53968952e-05 3.22393743e-06 4.57096646e-03 -3.13756109e-03 -1.21535413e-02 -1.34009676e+00
00b6c77646.jpg 179171e6b1.jpg,-4.56949126e-07 2.42271084e-06 -2.51037868e-04 -7.05235848e-07 2.03773002e-06 4.46485721e-03 1.52400417e-03 -7.52419724e-03 -7.48336080e-01
00b6c77646.jpg 17cce4ad94.jpg,-8.72921243e-08 1.40654968e-06 -3.82517389e-04 1.47821401e-06 6.02360428e-06 -5.94717586e-03 -7.33510364e-04 8.90418122e-04 1.33588521e+00
00b6c77646.jpg 19e7f6527d.jpg,5.46047579e-07 -8.47077489e-06 1.62260005e-03 -1.81731375e-05 -8.46958508e-06 1.37820343e-02 6.61412093e-03 -1.72242181e-03 -3.89437818e+00
00b6c77646.jpg 1afe5ec50e.jpg,-2.38148718e-07 8.76699820e-06 -2.15407185e-03 -1.46512062e-05 -4.15045866e-06 1.33874805e-02 6.88378424e-03 -1.23477643e-02 -2.45166672e+00
00b6c77646.jpg 1b706a0824.jpg,-1.48024849e-05 3.92205952e-05 -1.26642333e-02 -3.04665588e-05 -4.35891821e-06 3.71713195e-03 3.90075567e-02 -1.73155602e-02 3.25556009e+00
00b6c77646.jpg 1f8ffe1c03.jpg,-1.56223475e-06 1.32235819e-05 -2.66648302e-03 -8.42442545e-06 -7.23692996e-06 1.27215668e-02 2.83828570e-03 -6.30613825e-03 -1.26897329e+00
00b6c77646.jpg 208beb2935.jpg,1.81008905e-07 -1.81649601e-07 -1.11906604e-04 1.14755952e-05 3.64437972e-06 -1.05381467e-02 -3.73589944e-03 4.52838675e-03 2.13267760e+00
00b6c77646.jpg 23d14d0d94.jpg,-4.39705283e-07 5.13173365e-06 -1.11466747e-03 -9.55284641e-06 -1.06937888e-06 9.31584969e-03 6.83232985e-03 -1.35542236e-02 -2.39702041e+00
00b6c77646.jpg 242bcd8ee1.jpg,1.70877702e-06 -9.57477608e-06 1.87051308e-03 -7.17988245e-06 -2.24290749e-06 1.12447353e-02 3.38542708e-03 -2.00948905e-03 -3.92254778e+00
00b6c77646.jpg 2755e57277.jpg,2.36158742e-07 2.32935321e-07 1.30124488e-05 7.09521334e-06 -1.08288667e-05 3.86398896e-03 -3.72794064e-03 -4.67834380e-03 -1.03438557e-02
00b6c77646.jpg 280b10d2a2.jpg,1.79923408e-07 -2.04148392e-06 7.57239949e-04 1.51869675e-07 3.80557788e-06 2.61239736e-03 2.13539011e-04 -5.13484691e-03 -6.91837592e-02
00b6c77646.jpg 2b41311d59.jpg,-4.01951908e-07 9.29497549e-06 -2.56039390e-03 9.84675437e-06 1.39345913e-05 -3.71708584e-03 -2.78080074e-03 -1.38394422e-02 3.77297292e+00
00b6c77646.jpg 2b615768f3.jpg,6.55768417e-08 -2.62715282e-06 9.51532028e-04 1.88608067e-06 -4.70497225e-07 -5.62863739e-03 -1.17885863e-03 6.02452988e-03 1.00000000e+00
00b6c77646.jpg 2ba01200c6.jpg,9.72223398e-07 -9.05327031e-06 2.18678804e-03 -8.20835138e-06 2.02359299e-06 1.12459224e-02 2.78689640e-03 -1.03738031e-03 -3.67834316e+00
00b6c77646.jpg 2bf0c84c57.jpg,1.48958920e-07 -5.64660588e-06 1.20978354e-03 2.13318543e-06 -3.01768454e-06 -5.94477020e-03 -9.38647753e-04 7.34559314e-03 8.16993025e-01
00b6c77646.jpg 2d11215e20.jpg,1.29794125e-07 -1.68749003e-06 -1.20384617e-03 -8.97119461e-07 6.79071194e-06 3.61962351e-03 1.57787815e-03 -5.22082630e-03 1.19562429e-01
00b6c77646.jpg 2e6e73d7b3.jpg,-2.56616776e-07 -1.02857776e-06 5.10105719e-04 -4.45107085e-06 3.16906297e-07 5.68482702e-03 1.07060922e-03 -4.63236053e-03 -5.73690623e-01
00b6c77646.jpg 386d312451.jpg,5.91197807e-07 -1.85324284e-06 8.85867693e-04 -5.14845417e-07 2.66770670e-07 -5.37932509e-03 -1.42109512e-03 5.50726804e-03 1.47076243e+00
00b6c77646.jpg 3b7257056d.jpg,9.96003739e-07 -3.87764522e-06 -1.11670691e-04 -3.95421551e-06 -3.46504287e-06 7.02495267e-03 1.71113513e-03 -2.30708546e-03 -1.71155413e+00
00b6c77646.jpg 3f13fd3560.jpg,-5.58624694e-07 2.71280695e-06 -3.73580321e-04 3.18546254e-06 7.72133257e-06 -8.01438283e-03 -1.41745757e-03 1.11540960e-03 1.57530039e+00
00b6c77646.jpg 40597f6d37.jpg,-7.24477406e-07 -6.50239304e-06 8.63889364e-04 1.69923620e-05 -7.61980997e-06 2.27383226e-03 -5.23485349e-03 5.32862757e-04 -4.45126915e-01
00b6c77646.jpg 42a08a5f65.jpg,-5.32067750e-07 3.59463886e-06 -9.56073179e-04 6.84893620e-06 -1.13871597e-06 2.54533998e-03 -2.03230624e-03 -7.32215250e-03 9.01471142e-01
00b6c77646.jpg 42a28744ed.jpg,-5.59786262e-07 2.59021564e-06 -2.81126896e-04 -7.24658064e-06 -2.15067401e-06 9.24427570e-03 3.32542578e-03 -4.82682714e-03 -2.14299319e+00
00b6c77646.jpg 43e9fb1190.jpg,5.20925162e-07 -6.30094516e-06 1.73710146e-03 -8.47702885e-06 1.01617242e-05 8.91650555e-03 3.07493516e-03 -5.10631065e-03 -2.66262850e+00
00b6c77646.jpg 443f2d166f.jpg,-2.78272372e-07 -2.22089787e-06 9.14545267e-04 1.28181171e-05 -4.20207173e-06 -9.65921115e-03 -5.47352446e-03 7.84584524e-03 2.27982531e+00
00b6c77646.jpg 450ce78845.jpg,-5.53851127e-06 1.06976117e-05 1.16770233e-03 -3.44622213e-05 -1.55968301e-05 1.93760015e-02 1.69399488e-02 -1.23774860e-02 -6.56985080e+00
00b6c77646.jpg 45e4259775.jpg,2.51230993e-07 -3.05429265e-06 -4.04908022e-05 1.66860890e-06 8.02931741e-06 5.37024967e-03 -6.40592000e-05 -6.79276940e-03 -1.49761118e+00
00b6c77646.jpg 489c2455b1.jpg,-1.74052593e-06 1.11058001e-05 -2.27869975e-03 -9.75858450e-06 1.65301767e-06 1.15510562e-02 4.07395046e-03 -9.20508633e-03 -1.40480976e+00
00b6c77646.jpg 4a6776a20b.jpg,3.42189723e-07 -4.20113843e-06 1.54138729e-03 3.75215270e-06 8.86922322e-07 -5.87929906e-03 -2.62588650e-03 4.99898350e-03 1.38795801e+00
00b6c77646.jpg 4bc9d46db0.jpg,-1.04668379e-06 9.28967542e-06 -2.35134691e-03 -8.12977272e-06 -1.43750130e-07 1.11704461e-02 3.39035172e-03 -7.75429963e-03 -1.47709735e+00
00b6c77646.jpg 4db3231121.jpg,-3.70407410e-06 1.27027398e-05 2.95686606e-03 -1.69857783e-05 -1.17489600e-06 1.33491553e-02 3.50729316e-03 -9.93479910e-03 -2.79237904e+00
00b6c77646.jpg 5087d52c36.jpg,-3.73469773e-08 -2.12275091e-06 6.08263253e-04 1.34073634e-06 2.37961497e-06 3.38318766e-03 -5.83518277e-04 -4.45986445e-03 -3.02705254e-01
00b6c77646.jpg 5343a4de45.jpg,4.16145466e-07 -3.84846680e-06 6.52744389e-04 4.73401387e-06 3.07313290e-06 1.25748019e-03 -9.11611778e-04 -4.02099106e-03 2.09298526e-01
00b6c77646.jpg 542081203d.jpg,-2.92368411e-07 1.74427462e-05 -4.81582581e-03 -1.40740182e-05 -1.43150671e-05 1.72206464e-02 6.43406030e-03 -1.44773269e-02 -1.74203299e+00
00b6c77646.jpg 54bbc1a8f6.jpg,-1.53957299e-06 1.10360988e-05 -2.53762378e-03 -1.63715448e-05 -1.70113184e-06 1.61014067e-03 6.17973213e-03 1.81336610e-03 -8.89082286e-01
00b6c77646.jpg 55eb726b56.jpg,-1.20665823e-06 1.17136118e-05 -3.39646143e-03 -4.16772379e-06 1.59602288e-05 2.03001135e-03 3.58804721e-03 -1.96051475e-02 1.54675844e+00
00b6c77646.jpg 5839110bf9.jpg,-1.82109095e-07 1.73520637e-06 -3.28188208e-04 9.01776413e-06 1.11811298e-06 -8.54923460e-03 -5.85319646e-03 8.25290977e-03 2.99085309e+00
00b6c77646.jpg 583a26f951.jpg,9.88586380e-07 -1.89416528e-05 4.08913454e-03 1.70649301e-05 1.49099833e-06 3.52847802e-03 -4.60701248e-03 -2.23206533e-03 -5.79066125e-01
00b6c77646.jpg 5911134bd9.jpg,-1.30255250e-06 2.42460015e-06 3.09676671e-04 -9.13093631e-06 3.71770816e-06 7.19708126e-03 4.60914220e-03 -5.75530969e-03 -2.16482728e+00
00b6c77646.jpg 5cf560b2d6.jpg,4.31974093e-08 7.44615080e-06 -8.58646899e-04 -3.00374657e-06 -2.37451012e-05 8.40113905e-03 5.62008256e-04 -4.10718637e-03 -6.83950282e-01
00b6c77646.jpg 5d07db3479.jpg,1.53145359e-05 -4.31170486e-05 1.25486893e-03 6.80507811e-05 -1.26145842e-04 -1.61864007e-02 -4.60557771e-02 1.15310640e-01 1.00000000e+00
00b6c77646.jpg 5d72761b62.jpg,-8.16860205e-07 1.92639770e-05 -3.52738959e-03 -2.02493837e-05 1.42683259e-05 2.71909564e-03 6.58809683e-03 -1.02208099e-02 2.01045182e-01
00b6c77646.jpg 5e78bc6057.jpg,-1.64455177e-07 5.88878725e-06 -1.84410899e-03 1.96443428e-06 4.58109671e-06 2.43710846e-03 -6.66792377e-04 -8.98527758e-03 1.11564582e+00
00b6c77646.jpg 5ee3fbc538.jpg,-1.23398901e-06 8.74265647e-06 -2.56464873e-03 -4.74561662e-06 2.16717922e-06 1.05063774e-02 2.50218864e-03 -9.40698829e-03 -1.87870993e-01
00b6c77646.jpg 5f8f72e386.jpg,-8.67222625e-07 2.54443429e-06 1.41632932e-04 2.53395609e-06 1.60755668e-05 -9.22148162e-03 -1.36162217e-03 -4.53196036e-04 1.88880915e+00
00b6c77646.jpg 5fea5f378d.jpg,4.24716213e-07 3.06029507e-07 -3.71335667e-04 3.03559220e-06 1.49895298e-05 -5.22822293e-03 -1.16656401e-03 -7.41378773e-04 1.00000000e+00
00b6c77646.jpg 5febf7e44b.jpg,5.76114768e-07 -4.26366533e-06 9.74058293e-04 -4.14643348e-06 1.55078216e-05 2.27481885e-03 2.00878783e-03 -9.34830548e-03 2.06867992e-02
00b6c77646.jpg 60394262b9.jpg,6.02447845e-07 -6.25068992e-07 -3.69028283e-04 -7.74735570e-06 1.02840664e-06 5.62684975e-03 2.73403447e-03 -5.99157141e-03 -1.27812205e+00
00b6c77646.jpg 60d30b8d34.jpg,-9.64569554e-07 5.97065617e-06 -1.11550087e-03 -5.61918511e-06 4.34545444e-06 6.32536097e-03 3.60917769e-03 -8.04155249e-03 -1.85060985e+00
00b6c77646.jpg 616aabd66b.jpg,8.12145874e-06 5.42239910e-05 -2.18507459e-02 -1.21518218e-04 -2.82976322e-04 -3.47901725e-03 4.77630668e-02 1.11812158e-01 1.00000000e+00
00b6c77646.jpg 61b3c768e5.jpg,4.66936168e-07 -5.72293777e-06 1.53548001e-03 8.56806964e-06 -1.94009650e-06 -1.10597988e-02 -3.63645096e-03 7.68542151e-03 2.08194227e+00
00b6c77646.jpg 61c7085b36.jpg,-2.18752489e-06 1.23118121e-05 -3.28674666e-03 -3.70142945e-06 1.66633960e-05 9.49442270e-03 2.22588841e-03 -1.11466503e-02 -1.64324521e+00
00b6c77646.jpg 62b9f0bfac.jpg,2.69311651e-06 1.86094102e-06 -4.49879259e-03 -2.46941577e-06 -1.84097710e-06 4.23903118e-03 2.70459419e-03 -3.68200775e-03 1.79857056e-01
00b6c77646.jpg 62c82e0f43.jpg,-7.91908845e-07 6.10906872e-06 -1.51428997e-03 4.23366598e-06 -3.27311428e-06 -8.07337757e-03 -2.25641452e-03 2.85264391e-03 3.69313359e+00
00b6c77646.jpg 663d5fec8c.jpg,1.58484807e-06 -5.42067696e-06 2.66043390e-04 -2.87359633e-06 -3.73399160e-06 5.25745633e-03 1.39417227e-03 -2.03179113e-03 -9.24172566e-01
00b6c77646.jpg 67678ec5c9.jpg,-9.76601049e-07 6.65536670e-06 -1.31359579e-03 8.86780376e-06 -1.07636578e-05 -6.29269743e-03 -4.09884718e-03 5.58847172e-03 2.68359669e+00
00b6c77646.jpg 68caf5ac44.jpg,-7.76754666e-07 9.27372128e-06 -1.89313009e-03 -8.76889388e-06 -2.83704947e-06 8.66802421e-03 3.70358985e-03 -7.40763476e-03 -1.25681502e+00
