samples,fundamental_matrix
00cd3179d3.jpg 02d755eab2.jpg,1.91924437e-08 -4.70898297e-06 1.23769368e-03 4.28653866e-06 -3.39075369e-07 -6.50544815e-03 -1.12575922e-03 9.27691676e-03 -7.64033366e-01
00cd3179d3.jpg 03697fda1b.jpg,1.49331901e-09 -3.72108246e-07 5.79693154e-05 3.77114409e-07 -4.75678933e-08 -8.31899502e-03 -8.68741675e-05 8.31111762e-03 -1.12464364e-01
00cd3179d3.jpg 050a82dcf2.jpg,-1.36435996e-07 1.04993751e-06 -1.57175135e-04 -9.51751325e-07 -3.73034524e-06 6.20672199e-03 6.83437340e-04 -3.91243166e-03 -1.02524545e-01
00cd3179d3.jpg 06f1bae4f9.jpg,-4.09526156e-08 4.00459282e-05 -1.24995434e-02 -4.02194488e-05 1.03989285e-07 1.95167470e-02 1.08513666e-02 -1.75886553e-02 2.24226258e-01
00cd3179d3.jpg 09e7ec6071.jpg,6.53703995e-07 -1.63927196e-05 9.60657635e-03 1.46937823e-05 1.17339344e-06 -1.07521481e-02 -1.11280149e-02 1.10437228e-02 8.25326476e-01
00cd3179d3.jpg 09ed6c57c9.jpg,-9.42921724e-07 -5.07663535e-06 3.17753711e-03 7.75366510e-07 6.05290609e-06 2.86985041e-03 -8.72128847e-04 -5.58053501e-03 3.55641952e-01
00cd3179d3.jpg 0dd736a68b.jpg,-1.32393120e-07 -1.23566542e-05 3.98744947e-03 1.50207284e-06 -1.25100308e-05 8.64400397e-03 -1.47392960e-04 -6.17649332e-04 -1.97090645e-01
00cd3179d3.jpg 0f1ddd0bb9.jpg,4.73869589e-02 1.78531733e+01 -6.37001192e+03 -1.84153963e+01 -7.44312007e-02 5.79274797e+03 5.36396739e+03 -3.86685737e+03 -3.03091553e+05
00cd3179d3.jpg 11ba1ade8c.jpg,-6.44441537e-08 -4.03960644e-06 1.71961292e-03 3.18836592e-06 3.77926777e-06 3.47523902e-03 -1.25298077e-03 -5.51598566e-03 4.54653665e-01
00cd3179d3.jpg 11cf4ea3c7.jpg,1.45234257e-07 -3.58471549e-05 1.08206384e-02 3.54075772e-05 1.94189510e-06 -1.59820846e-02 -1.79121466e-02 1.27106187e-02 3.92767596e+00
00cd3179d3.jpg 12608ecb12.jpg,-2.27499375e-06 -4.54691428e-05 2.17256075e-02 4.43751301e-05 1.26119975e-06 -7.51267999e-03 -2.24235362e-02 5.38165991e-03 9.67329819e-01
00cd3179d3.jpg 137e21e4ff.jpg,-1.71617633e-09 -2.59497887e-06 6.25024363e-04 2.88188795e-06 1.12087852e-07 3.56929782e-03 -4.18842421e-04 -5.54290249e-03 8.16948263e-01
00cd3179d3.jpg 16d19556f7.jpg,-3.05844062e-07 -3.61265425e-05 7.61690979e-03 3.90743939e-05 5.23811977e-08 -1.05764868e-02 -1.04590751e-02 5.73046190e-03 1.63300179e+00
00cd3179d3.jpg 17622ea05b.jpg,-8.49675386e-09 -3.83249497e-06 1.35723399e-03 3.99068201e-06 -5.43216995e-07 -8.97945476e-03 -1.36719601e-03 7.24474872e-03 6.12553320e-01
00cd3179d3.jpg 1841297d5c.jpg,-2.78013635e-08 3.79753045e-06 -1.20119453e-03 -1.97364827e-06 -1.02934622e-08 8.82015003e-03 6.51751938e-04 -9.54332611e-03 4.19278437e-01
00cd3179d3.jpg 1e819540e6.jpg,-8.97073810e-07 -2.97442029e-06 -4.25163296e-05 4.99731165e-06 -3.38428163e-06 3.13087146e-03 2.60049701e-04 -6.54963030e-03 1.08731485e+00
00cd3179d3.jpg 21620af952.jpg,1.13979425e-10 -2.01158741e-07 5.09803514e-05 1.53695086e-07 4.06714627e-06 7.27861649e-03 -2.45818940e-05 -9.07336957e-03 7.16290523e-01
