samples,fundamental_matrix
0004f05d01.jpg 02fea8e75d.jpg,-2.45310280e-06 1.02746936e-05 -5.78171387e-04 -8.53210314e-06 5.29078169e-06 4.86215447e-03 5.73508097e-03 -1.30292931e-02 -1.12970308e+00
0004f05d01.jpg 0551e9279a.jpg,1.00298604e-06 -2.75281626e-05 6.74847709e-03 1.25541700e-05 -5.39997452e-07 -1.09794457e-02 -6.45481727e-03 2.15435039e-02 -2.55001433e-01
0004f05d01.jpg 0d8a692551.jpg,3.28440373e-08 1.04952846e-06 -8.17434942e-04 -1.19654523e-06 5.32644557e-07 4.55787846e-03 8.16547532e-04 -4.75530011e-03 -2.53119461e-01
0004f05d01.jpg 0edaf23cb3.jpg,-1.35677190e-07 -2.38036067e-06 1.06684425e-03 4.10570973e-06 -1.20132837e-05 -6.24081067e-03 -1.15429949e-03 7.36382743e-03 5.19331408e-01
0004f05d01.jpg 0f63700f40.jpg,5.94690093e-07 -1.29343229e-06 -7.62540302e-04 -3.16926331e-06 7.65984387e-06 3.84849435e-03 1.14201807e-03 -7.87638351e-03 4.96722844e-02
0004f05d01.jpg 11bae14495.jpg,-4.12912335e-07 9.48479045e-06 -2.03184824e-03 -5.95418571e-06 6.74864758e-06 7.33704838e-03 2.08316750e-03 -1.03443810e-02 -3.17541034e-01
0004f05d01.jpg 12a071fe1f.jpg,8.61122280e-08 -2.84576224e-06 4.60435296e-04 3.14427745e-06 4.83021683e-07 -6.12916286e-03 -1.53229957e-03 5.30085418e-03 1.77027230e+00
0004f05d01.jpg 14457757cc.jpg,2.71011153e-09 5.28119441e-07 -1.93282427e-04 1.18274264e-06 7.58657335e-06 7.58471514e-04 -5.28549480e-04 -8.59684032e-03 1.64911801e+00
0004f05d01.jpg 154936f238.jpg,-6.87660888e-07 -9.80927987e-06 4.16997027e-03 2.42795986e-07 5.02815428e-06 4.84714754e-03 -1.45646782e-04 -2.65494064e-03 -1.44844877e+00
0004f05d01.jpg 1753fb4b0e.jpg,7.36935017e-09 -8.04288085e-07 3.57176749e-04 -3.16861777e-06 -1.28462067e-06 6.53828709e-03 1.05814795e-03 -3.09239811e-03 -5.59075906e-01
0004f05d01.jpg 1a1a392cff.jpg,1.00498852e-07 -5.65525155e-06 2.92727245e-03 5.84553640e-06 2.66792259e-06 1.09562028e-03 -2.21181886e-03 -2.16971380e-03 1.77336520e-01
0004f05d01.jpg 1a894b0d46.jpg,-1.05271096e-07 -2.16878547e-06 4.40198409e-04 5.96037769e-07 2.05366425e-06 3.30210154e-03 -4.23579787e-04 -4.31107462e-03 -7.30800302e-01
