samples,fundamental_matrix
01b964e005.jpg 01bc1eb2c2.jpg,-1.40990897e-06 8.52667157e-06 -1.89428745e-03 -9.35900376e-06 1.85095519e-05 3.99064375e-03 4.86421163e-03 -1.46269517e-02 1.03318661e-01
01b964e005.jpg 03144b1ef0.jpg,1.42901895e-06 1.02328194e-05 -1.50378469e-02 -1.62820617e-05 -8.91751876e-07 6.53445787e-03 1.20238288e-02 -1.79178958e-03 -1.33522082e+00
01b964e005.jpg 033f22f7c6.jpg,1.79536900e-07 -9.93613322e-07 2.08629856e-04 7.00419824e-07 6.71493558e-06 1.26167727e-03 -4.43741245e-05 -6.30492295e-03 -3.28494677e-01
01b964e005.jpg 05dae7dfe5.jpg,3.37127045e-08 1.04174892e-05 -1.74882158e-03 -9.46684462e-06 -3.52779238e-06 1.38289050e-02 1.45317452e-03 -6.82044192e-03 -9.20229826e-01
01b964e005.jpg 06a31e4949.jpg,2.36552994e-07 3.01826098e-06 -1.41489588e-03 -2.55605134e-06 1.82853562e-06 7.09714652e-03 2.89222060e-04 -5.06906825e-03 3.53316267e-01
01b964e005.jpg 06d0675b6b.jpg,-3.16246703e-06 1.33989867e-05 3.22684935e-03 -6.13975754e-06 5.23218512e-07 1.20245089e-03 2.68014356e-04 -9.51186894e-04 -2.36857676e-01
01b964e005.jpg 07900c9e58.jpg,6.10947109e-07 2.11917054e-06 -6.41019247e-04 -3.20545078e-06 4.07817197e-06 -4.94871667e-03 1.45925500e-03 1.77489285e-03 2.66629568e-01
01b964e005.jpg 096ba2af29.jpg,3.76688392e-06 3.20282975e-05 -2.12112193e-02 -6.11861152e-05 1.94750675e-05 2.39218827e-02 3.49105364e-02 -2.76590571e-02 -3.81910370e+00
01b964e005.jpg 0c34ddcd81.jpg,6.59723695e-07 1.29371934e-05 -3.11172092e-03 -1.18394295e-05 2.10687659e-06 8.60545586e-03 1.50008658e-03 -1.06341037e-02 1.00000000e+00
01b964e005.jpg 0d2c94f9a4.jpg,-7.87274436e-06 -1.55934382e-05 1.07931921e-02 8.17817362e-05 -7.03451875e-05 1.53567944e-04 -9.91937209e-03 6.42435248e-03 1.00000000e+00
01b964e005.jpg 0e90d5416e.jpg,-1.45741004e-05 -2.42249891e-05 1.68879354e-02 1.16513793e-05 4.81298975e-06 -2.76969187e-03 -8.97318166e-04 5.11740156e-03 -3.83340039e+00
01b964e005.jpg 0f53c3a3fc.jpg,-9.92165189e-07 5.99639272e-06 -2.51778537e-03 -3.62459792e-06 2.35719320e-06 5.62834321e-03 2.31833666e-03 -6.56875606e-03 2.38471607e-01
01b964e005.jpg 1020514598.jpg,2.35616861e-06 8.78865544e-06 -7.67140881e-03 -1.37075714e-05 1.46447652e-06 7.64963859e-03 6.14382759e-03 -6.13716134e-03 4.25053145e-01
01b964e005.jpg 14edd7f1a4.jpg,-2.07517588e-06 -4.05072223e-06 1.59440610e-03 7.58913719e-06 -1.47967503e-05 -1.51614435e-03 -3.63677304e-03 7.14553769e-03 7.18559744e-01
01b964e005.jpg 1767b545ce.jpg,1.76549704e-07 7.73931319e-07 -5.58735295e-04 4.95050502e-06 -1.43505227e-06 -1.01110315e-02 -1.10123765e-03 4.99793542e-03 1.12562620e+00
01b964e005.jpg 19d32b10fe.jpg,5.05916930e-06 -3.23341387e-05 1.44934566e-02 2.14659747e-05 -9.50692477e-06 -5.60622276e-03 -1.07166546e-02 1.67438244e-02 -3.50613233e+00
01b964e005.jpg 19e25dfbaf.jpg,3.27118834e-07 2.20217778e-06 -2.39802745e-04 5.98235740e-06 -1.42931389e-05 8.05608140e-03 -8.53115094e-04 -1.88903896e-03 -2.53381625e-01
01b964e005.jpg 1b859d95ec.jpg,5.60167977e-06 2.46559935e-05 -1.65001461e-02 -2.57205537e-05 -4.02046547e-06 1.39671787e-02 6.25305561e-03 -1.02110358e-02 2.93635620e+00
01b964e005.jpg 1c61ea05cc.jpg,3.63308675e-07 -8.05163226e-06 4.40887021e-03 5.42852390e-06 -8.47431211e-06 6.55501406e-03 -3.42618273e-03 3.99746111e-03 -3.42048931e+00
