samples,fundamental_matrix
0cc6a9a6a8.jpg 1135c5f731.jpg,-9.28672564e-06 -7.19634340e-06 1.38153488e-02 1.10227205e-05 5.32964125e-07 -1.85450630e-03 -4.41252740e-03 2.50247299e-03 -4.18947055e+00
0cc6a9a6a8.jpg 116e01a059.jpg,1.29879905e-06 -8.58049713e-06 6.29808610e-04 -7.55818920e-06 1.56453382e-06 6.82034837e-03 2.67729713e-03 -5.49471881e-03 -1.34491849e+00
0cc6a9a6a8.jpg 11a7a1d970.jpg,-8.32762006e-07 -1.09144356e-05 3.49001777e-03 5.46236422e-06 1.73499971e-06 5.12545384e-03 -1.77077469e-03 -6.07094898e-04 -1.64364907e+00
0cc6a9a6a8.jpg 12a7597c18.jpg,1.91328092e-06 2.15833675e-05 -8.54057857e-03 -1.29443003e-05 -5.52770040e-07 1.16979354e-02 4.61442182e-03 -1.54390807e-02 7.83263619e-01
0cc6a9a6a8.jpg 14e2d56232.jpg,1.51416969e-07 1.42434398e-05 -6.27833823e-03 -8.32750692e-06 4.41705877e-06 8.25423631e-03 5.12683575e-03 -1.14122742e-02 -1.36256558e+00
0cc6a9a6a8.jpg 17ae024b18.jpg,-2.46028675e-06 1.70290888e-05 -6.40948085e-03 -1.64844765e-05 -2.12053380e-07 9.91536662e-03 1.03018028e-02 -8.18914021e-03 -2.34834950e+00
0cc6a9a6a8.jpg 1bc17f0ed9.jpg,1.54399178e-07 2.56703092e-06 -1.44618187e-03 -3.08516373e-06 -5.05395271e-07 5.93769459e-03 1.57300876e-03 -5.45066701e-03 -4.46873299e-01
0cc6a9a6a8.jpg 1d6bf9011b.jpg,1.39709710e-06 -7.72576648e-06 3.49685259e-03 -4.02342339e-06 1.01711720e-05 -9.29717229e-03 2.35943881e-04 4.24425946e-03 2.35307534e-01
0cc6a9a6a8.jpg 1d8a0ba1a1.jpg,1.86109907e-06 6.72069921e-06 -3.65975819e-03 -1.23553431e-05 -8.76096336e-07 1.15885014e-02 5.81998686e-03 -7.01697100e-03 -3.30028982e+00
0cc6a9a6a8.jpg 1ed18b8b6d.jpg,2.54350471e-07 3.71504555e-06 4.84503332e-05 -8.61909349e-07 -2.68527403e-07 4.90387575e-03 -4.40708824e-04 -6.12963128e-03 4.24862200e-02
0cc6a9a6a8.jpg 1eeebcd182.jpg,-1.34418638e-06 1.11260702e-04 -2.53111068e-02 -2.47052385e-05 2.84727366e-05 1.76060598e-02 1.46569387e-02 -6.46924575e-02 1.00000000e+00
0cc6a9a6a8.jpg 1f8788cf3c.jpg,-6.80681207e-06 -1.55661757e-05 -3.18036584e-03 3.15713535e-05 5.64801671e-08 -5.38138708e-03 1.68115635e-03 4.11541285e-03 8.61078210e-01
0cc6a9a6a8.jpg 2112c8805d.jpg,2.10589869e-06 3.71335915e-05 -6.39383463e-03 -1.72705852e-05 -1.91160061e-05 1.57331548e-02 3.91750642e-03 -6.91245152e-03 -2.12227605e+00
0cc6a9a6a8.jpg 2242745552.jpg,-3.88654266e-07 -1.06436709e-05 4.64197502e-03 8.37049670e-06 -4.96243899e-06 2.58105271e-03 -6.27941110e-03 1.23883207e-03 -8.48547366e-01
0cc6a9a6a8.jpg 24739c6917.jpg,-5.11212179e-07 -3.63046579e-07 5.19554856e-03 3.45462499e-06 4.24194899e-06 -3.75279774e-02 -5.37863031e-03 3.58761194e-02 1.00000000e+00
0cc6a9a6a8.jpg 25ef4020cf.jpg,4.97010531e-07 -8.97253628e-06 2.52957310e-03 1.03308240e-05 1.46861815e-05 -1.47209964e-02 -3.76456379e-03 4.80711028e-03 1.96609161e+00
0cc6a9a6a8.jpg 263f8395bf.jpg,9.27417851e-06 6.25664165e-06 -2.92765680e-03 -7.10033355e-07 -5.64548974e-07 2.41135904e-04 -3.24189101e-03 -2.06932008e-03 1.00000000e+00
0cc6a9a6a8.jpg 2b39df43d9.jpg,-2.01757237e-05 1.48003286e-04 -1.94344326e-02 -1.16386040e-04 -6.86734550e-06 3.38536156e-02 3.17342196e-02 -6.79239382e-02 2.60671353e+00
0cc6a9a6a8.jpg 2b77ac59ba.jpg,-5.33665447e-06 3.06668876e-05 -4.77692569e-03 -1.89325416e-05 5.79556405e-06 1.94189887e-03 9.20386808e-03 -1.08832576e-02 5.35123299e-01
0cc6a9a6a8.jpg 30c7def94a.jpg,2.33015560e-06 2.09885258e-05 -7.39572890e-03 -8.26306097e-06 6.64987220e-06 4.65358891e-03 1.65500447e-03 -9.94141868e-03 1.35869592e+00
0cc6a9a6a8.jpg 37a16da4b4.jpg,-2.16602633e-07 2.40776927e-06 2.30669706e-04 -4.65532494e-06 1.09208918e-05 7.00105272e-03 1.40432150e-03 -1.76748392e-02 -1.39220789e+00
0cc6a9a6a8.jpg 393ddc12ba.jpg,-5.73381959e-08 -1.12315690e-06 5.67372023e-04 2.26775336e-06 4.13312496e-06 -6.02521345e-03 -9.64101033e-04 3.58677657e-03 3.84261810e-01
0cc6a9a6a8.jpg 3b75ca6382.jpg,-2.96265560e-05 -1.74744615e-05 7.28751752e-03 4.63291320e-05 6.50262936e-06 -1.29778573e-02 9.88976450e-04 5.59694084e-03 1.37592373e-01
0cc6a9a6a8.jpg 3cfba42f99.jpg,2.95382603e-07 3.97724610e-06 1.11298173e-03 -1.76126926e-06 3.05333783e-06 3.93080269e-03 -2.21459890e-03 -6.88047460e-03 7.10804024e-01
0cc6a9a6a8.jpg 3dec6740eb.jpg,-4.07082965e-08 -1.51868756e-06 4.22897391e-04 -1.77000924e-06 2.94179057e-05 -2.20618400e-03 8.31791831e-04 -1.44811509e-02 1.17843128e+00
0cc6a9a6a8.jpg 3e6d477bb8.jpg,-2.03148271e-06 -6.45843850e-06 4.86014129e-03 1.11285884e-05 2.63456934e-05 -7.27307412e-03 -4.05447462e-03 -9.10053815e-03 1.58311580e+00
0cc6a9a6a8.jpg 4093c47f38.jpg,5.90548535e-06 2.39316098e-05 -3.87250558e-03 -1.06989906e-05 -5.10644989e-06 6.60268605e-03 -1.62569711e-03 -1.18628553e-02 1.12302012e+00
0cc6a9a6a8.jpg 4186fe3f7e.jpg,6.05487352e-06 -7.26426151e-05 2.11522363e-02 8.65411835e-06 -2.92796937e-06 -2.12509875e-03 -5.65877888e-03 2.09021271e-02 -4.69963074e+00
0cc6a9a6a8.jpg 435e9806e0.jpg,1.39891090e-06 4.01983008e-06 -2.74586131e-03 -1.00942885e-06 2.11835031e-06 -6.48219411e-03 8.13015722e-04 5.51112607e-04 1.41443351e+00
0cc6a9a6a8.jpg 4382d9a9d4.jpg,-4.03251928e-07 -9.58596468e-06 1.67730074e-03 1.51355771e-05 2.19245347e-05 -4.95668700e-03 -4.67186670e-03 -7.45800459e-03 1.64851826e+00
0cc6a9a6a8.jpg 43b57b4a8b.jpg,1.44508158e-05 -1.46704184e-05 6.59099820e-03 1.21230810e-05 -1.16644293e-07 -2.17454294e-03 -1.61373419e-02 3.71091157e-03 6.47608481e-01
0cc6a9a6a8.jpg 44b0fdef77.jpg,1.65219867e-05 4.74816115e-05 -2.38103334e-02 -3.06772354e-05 2.14831607e-07 6.62658332e-03 4.94917797e-03 -1.46929577e-02 5.16457531e+00
0cc6a9a6a8.jpg 452f365982.jpg,-2.29056825e-06 1.85281799e-05 -3.00734727e-03 -4.61651349e-06 -1.27538256e-05 1.04781436e-02 1.63633454e-03 -8.07998539e-03 4.46081891e-01
0cc6a9a6a8.jpg 46a98086c3.jpg,-1.23069606e-07 -6.70304787e-07 5.26366310e-04 1.75625354e-06 -7.26347234e-06 -7.10697639e-03 -1.93332746e-04 6.82672965e-03 6.37490735e-01
0cc6a9a6a8.jpg 47937e3571.jpg,-2.46456951e-07 1.39299198e-05 -5.71070606e-03 -5.19177697e-06 -5.00868220e-06 2.24204826e-03 3.89050846e-03 1.69875881e-03 -8.36520643e-01
0cc6a9a6a8.jpg 48296ce73d.jpg,3.92275589e-06 -1.36943647e-05 5.17406925e-03 8.92943291e-06 -6.58299607e-07 -9.32679178e-04 -6.62000476e-03 3.21673279e-04 7.60759188e-01
0cc6a9a6a8.jpg 4dd31b4271.jpg,6.80595735e-07 1.05495211e-05 -6.39681256e-03 -1.14886878e-05 -5.64456697e-06 1.95295981e-02 3.18573516e-03 -6.09609008e-03 -1.48555409e+00
0cc6a9a6a8.jpg 52b9a6f9bf.jpg,-1.09909207e-05 8.94557126e-06 -7.27715264e-03 -2.49144363e-06 -4.25636507e-07 1.44708421e-03 9.23665023e-03 -3.21721454e-03 6.87567089e-01
0cc6a9a6a8.jpg 547525aada.jpg,-3.39210774e-06 -9.49269627e-06 3.28269916e-03 2.39178332e-05 -6.20680915e-06 -2.68574864e-03 -6.87657668e-03 2.90972195e-03 4.57401320e-01
0cc6a9a6a8.jpg 54aaab179e.jpg,2.02104859e-06 -3.66266294e-06 -2.24852947e-03 2.11019991e-05 -5.41165669e-07 -2.51788991e-02 -1.63464165e-03 2.10986306e-02 1.00000000e+00
0cc6a9a6a8.jpg 553d866fb3.jpg,-1.31380349e-08 2.51083421e-06 7.20562831e-05 -2.20835093e-06 -1.66058693e-06 7.46838182e-03 6.11249950e-05 -6.43729287e-03 -2.77768807e-01
0cc6a9a6a8.jpg 556336cfc7.jpg,-8.95642109e-07 1.65037998e-06 2.60148949e-04 1.31054340e-05 1.19539713e-05 -1.82490634e-02 -3.43951634e-03 -4.91977040e-04 3.73123512e+00
0cc6a9a6a8.jpg 57a1f4867c.jpg,3.53188232e-06 1.15864445e-05 -5.59325219e-03 -1.08074256e-05 -1.80468207e-06 8.78460457e-03 2.08422998e-03 -8.92980410e-03 6.02776345e-01
0cc6a9a6a8.jpg 6093b7c78f.jpg,3.65287330e-06 4.44946458e-05 -1.37680268e-02 -3.15777146e-05 -2.73526489e-06 1.44812412e-02 5.71005403e-03 -2.33263659e-02 3.90190850e+00
0cc6a9a6a8.jpg 632e610a75.jpg,1.00060185e-06 5.82881878e-06 -2.34406491e-05 -8.94416838e-06 1.99398591e-05 -7.71971992e-03 1.32956179e-03 -3.83234332e-04 8.63488255e-01
