samples,fundamental_matrix
0083ca216d.jpg 00a98e897c.jpg,-1.11368201e-07 2.23118404e-05 -4.58906579e-03 -4.01478107e-05 -2.20658449e-06 1.73102092e-02 7.07352671e-03 -9.00355820e-03 -1.09835736e+00
0083ca216d.jpg 0120a22ea2.jpg,-2.44937956e-09 1.95269627e-06 -7.84759211e-04 9.72274213e-06 -6.38344222e-06 -9.00710681e-03 -1.18618697e-03 2.85260497e-03 2.62344026e-01
0083ca216d.jpg 014c06af22.jpg,-2.34425815e-07 -5.27701228e-06 2.32617108e-03 6.09260942e-06 6.17653038e-06 1.98777789e-03 -5.26303366e-03 -1.07995243e-02 8.87993444e-01
0083ca216d.jpg 0387f3a9e2.jpg,1.50785577e-07 -4.92163656e-06 1.29421627e-03 6.03994399e-06 -1.79886280e-06 -9.42938431e-03 -1.18384412e-03 9.65434838e-03 -1.06937813e+00
0083ca216d.jpg 049dc621db.jpg,-3.75513784e-06 4.18949847e-06 -9.81526525e-03 -5.39866681e-06 -2.53879040e-07 1.42291574e-03 1.39439566e-02 -1.01135052e-03 4.50440128e-01
0083ca216d.jpg 06c0140138.jpg,2.66729366e-07 -3.05203804e-07 -1.18862534e-03 -2.64174767e-06 5.51836812e-06 9.88576108e-03 1.27020246e-03 -7.97815671e-03 -7.27680935e-01
0083ca216d.jpg 06d8bfb779.jpg,-2.29830423e-07 -5.21724486e-06 5.34115015e-04 2.38086427e-06 -3.67633316e-06 5.63637969e-03 -5.27627409e-04 -3.45346775e-03 -4.23193068e-01
0083ca216d.jpg 0723bef601.jpg,5.51167226e-07 -1.93480452e-06 1.86922239e-05 -2.51432972e-06 8.67105929e-06 1.61621929e-04 1.75483522e-03 -6.85615807e-03 1.16686074e+00
0083ca216d.jpg 07d48f7806.jpg,-9.68748788e-08 7.52553201e-06 -9.41878817e-04 -7.07189818e-06 3.63377303e-06 1.09297786e-02 2.90692218e-03 -1.33933457e-02 -2.75513722e+00
0083ca216d.jpg 091db88aef.jpg,-5.77956053e-07 -1.05386381e-05 6.63551380e-03 1.26794540e-05 -8.90608932e-07 -6.48514883e-03 -7.30582171e-03 5.84940703e-03 5.38806006e-01
0083ca216d.jpg 09b2a1e492.jpg,1.34027429e-07 2.88724803e-05 -7.28366987e-03 -2.81970144e-05 3.32270837e-07 1.80768179e-02 9.78370255e-03 -1.83069175e-02 -1.73740989e+00
0083ca216d.jpg 0a0453aabb.jpg,-2.36396654e-07 -3.35861959e-06 6.95692618e-04 1.39497934e-06 9.40784946e-06 3.99164746e-03 -6.41960673e-04 -7.45397027e-03 5.93018662e-01
