samples,fundamental_matrix
0304205f2c.jpg 03774c1e15.jpg,-2.01258732e-07 6.10352135e-07 2.14225550e-03 6.86297629e-06 -1.55413323e-05 -8.92041934e-03 -2.73416785e-03 5.91425716e-03 1.80351467e-01
0304205f2c.jpg 03ec1f036d.jpg,-5.88340691e-06 3.62066491e-05 -1.18411940e-02 -2.61193277e-05 -9.06196088e-06 2.59794015e-02 1.02913751e-02 -1.50210489e-02 -1.63595926e+00
0304205f2c.jpg 041201fdfe.jpg,-4.29052221e-06 -1.60891058e-05 1.15714696e-02 3.08387416e-05 2.76005648e-06 -2.44178204e-02 -8.60054372e-03 8.95521290e-03 1.74813112e+00
0304205f2c.jpg 057eab6059.jpg,8.78224604e-07 7.57254915e-07 -1.03393028e-04 1.98248714e-05 -4.35848648e-05 1.22057285e-02 -2.84375367e-03 2.39496934e-03 -8.26631922e-01
0304205f2c.jpg 06c339f25f.jpg,6.83072023e-07 9.63986864e-07 -2.80231357e-04 5.43340987e-06 -9.13861872e-06 7.27761525e-03 -3.21627704e-03 -1.59272164e-03 -3.47078838e-01
0304205f2c.jpg 0736ef79fb.jpg,-6.84565453e-06 1.53756193e-05 3.02703040e-03 -1.91394984e-05 1.86952330e-06 1.22470198e-02 1.29034879e-03 -4.81260460e-03 -3.94398089e-01
0304205f2c.jpg 08948fb1b8.jpg,-6.92782857e-07 6.20615311e-06 -1.57711904e-03 2.73855523e-07 -9.30082548e-07 -7.61871000e-03 -1.01865513e-04 6.83996450e-04 1.00477876e+00
0304205f2c.jpg 096b192622.jpg,-7.57311456e-07 -1.29701822e-05 8.12355624e-03 2.27353285e-05 -1.64218181e-05 -1.24631852e-02 -5.16922840e-03 1.46006668e-02 -3.36334438e+00
0304205f2c.jpg 09b2db3239.jpg,-3.20461279e-07 -6.91011518e-06 8.60957879e-04 8.36682410e-06 -5.05499236e-06 -6.49382671e-03 -9.61802853e-04 7.81240161e-03 1.23263125e-01
0304205f2c.jpg 0c949d7935.jpg,5.79928480e-08 -3.26187842e-06 1.41971876e-03 2.90018576e-06 -4.79160551e-06 5.24106026e-03 -9.84182334e-04 -8.79927357e-04 -7.37793842e-01
0304205f2c.jpg 0d720b271e.jpg,4.77930796e-06 -1.70577183e-05 -1.37419670e-03 1.71762066e-05 7.43725900e-07 -1.11465958e-02 -2.24990820e-03 1.17155239e-02 2.78183103e-01
0304205f2c.jpg 11b8aa8b59.jpg,-2.43289727e-07 1.87204821e-06 -6.68525788e-04 -1.02273924e-05 4.37220044e-06 -2.64596356e-03 2.23239880e-03 1.80012545e-03 -3.65901043e-01
0304205f2c.jpg 11e2180499.jpg,-2.57636912e-06 3.91623272e-06 -1.46199991e-03 7.40115619e-06 -5.16437961e-06 7.23461549e-03 7.18469785e-04 -4.14960638e-03 -1.11692371e+00
0304205f2c.jpg 137ea91404.jpg,-2.45094521e-07 1.11651297e-05 -5.91457728e-04 -6.95148253e-06 7.73196687e-06 6.05859787e-03 1.28715898e-03 -1.20887615e-02 -3.34159380e-01
0304205f2c.jpg 19c9769c4d.jpg,-3.75260820e-05 4.79503105e-05 -3.14494655e-03 7.25201296e-06 -1.89214557e-05 1.53702855e-02 1.74808271e-02 -1.88119942e-02 -3.92439706e+00
0304205f2c.jpg 1a42a271da.jpg,-2.78750826e-06 1.12878098e-05 -5.32149304e-03 -1.30041492e-05 -1.06779189e-05 2.03253316e-02 7.38337112e-03 -4.94298486e-03 -3.69462371e+00
0304205f2c.jpg 246ca23e1d.jpg,-4.14381577e-07 1.23429727e-06 -5.24905704e-04 -4.76344319e-06 -1.17553561e-05 -1.33294148e-03 8.93901304e-04 7.16024657e-03 -6.47565080e-01
0304205f2c.jpg 250aa8cd10.jpg,-1.38832271e-07 -3.77364115e-06 2.56213450e-03 4.29505528e-06 -5.46491992e-06 7.62760500e-03 -2.40875976e-03 -2.27084366e-03 -4.84006850e-01
0304205f2c.jpg 274ce93762.jpg,-3.62052575e-06 -3.92483219e-05 9.51464734e-03 1.64701969e-05 -2.62495021e-05 5.75158040e-03 -3.80676320e-03 1.04673327e-02 -2.38294064e+00
0304205f2c.jpg 274de640d3.jpg,1.76889599e-07 -4.82688137e-07 -4.98088567e-04 1.88515883e-06 1.21412847e-06 -4.89731255e-03 7.69821231e-05 3.12319956e-03 -1.33157951e-03
0304205f2c.jpg 2793be8e0d.jpg,4.52544408e-07 3.53725448e-06 -1.47162188e-03 -1.20576863e-05 -6.49172835e-06 1.72787271e-02 2.55217886e-03 -3.67984221e-03 -2.39423668e+00
0304205f2c.jpg 2a484f9451.jpg,8.85886931e-07 -2.14610124e-06 2.31361775e-03 6.40217187e-06 -1.20815859e-05 -7.97868668e-03 -3.52435858e-03 7.15714720e-03 7.44246633e-01
0304205f2c.jpg 2dc08308a3.jpg,1.66678994e-06 -4.91126797e-06 8.36536544e-04 -7.59826731e-06 4.52036188e-06 1.04778701e-02 2.60903592e-03 -2.36882878e-03 -2.94463356e+00
0304205f2c.jpg 2ed1528de4.jpg,1.09161264e-05 -4.01867177e-05 4.85919452e-03 2.86246164e-05 -1.14800196e-05 -1.20420009e-02 -1.48014413e-02 1.51763479e-02 3.78789588e+00
0304205f2c.jpg 2f91b8093b.jpg,3.49826843e-07 4.14542067e-06 -7.67352791e-04 -7.26039156e-06 6.34362438e-06 7.82369132e-03 5.13455670e-04 -6.91795444e-03 1.41048774e-02
0304205f2c.jpg 2f98a83668.jpg,2.49460764e-07 5.10052596e-07 -1.14291407e-03 2.62273230e-06 1.50474291e-05 -1.64537257e-02 -5.35684392e-04 1.82401082e-03 1.11666197e+00
0304205f2c.jpg 31d47ccbf0.jpg,-1.37162801e-06 -3.54937568e-06 1.89742892e-03 1.84442370e-05 8.46126877e-06 -1.53424247e-02 -2.19698003e-03 2.18650227e-03 1.00000000e+00
0304205f2c.jpg 3254fe77e2.jpg,-9.07502088e-08 -1.99483030e-06 7.59216640e-04 3.66451687e-06 3.88151549e-06 3.50184920e-03 -1.33897132e-03 -3.39675464e-03 -3.98047571e-01
0304205f2c.jpg 347c76a173.jpg,7.75119704e-07 1.94595699e-05 -3.43151853e-03 -2.36070136e-05 -1.03613296e-05 2.36695861e-02 1.28808459e-03 -1.59404182e-02 1.00000000e+00
0304205f2c.jpg 363bf1aca8.jpg,-8.33494371e-07 3.20462479e-06 -9.83426560e-04 -6.80923867e-06 -3.92730885e-07 1.13249764e-02 2.95920123e-03 -3.84017840e-03 -1.99966560e+00
0304205f2c.jpg 36b65ba323.jpg,-1.48916252e-06 5.10283430e-06 -3.90380452e-05 7.64615251e-06 -2.62445946e-05 -2.95258738e-05 -1.24190787e-03 4.18947431e-03 -3.78619189e-01
0304205f2c.jpg 3975f911db.jpg,5.02600328e-06 1.72673074e-06 -2.28393569e-03 2.79333960e-05 5.37836061e-05 -2.28173582e-02 -1.16596693e-02 -1.66153845e-02 8.18744847e+00
0304205f2c.jpg 39c1a31be0.jpg,-8.50074080e-09 3.33207637e-07 1.20766171e-04 -2.13854125e-06 1.69426644e-05 -1.06564877e-02 9.49456435e-05 -3.65012248e-04 7.10696127e-01
0304205f2c.jpg 3a0c78f6ec.jpg,1.09759033e-07 1.22969127e-06 -3.63828643e-04 -5.68807339e-06 1.25022838e-05 -6.51925507e-03 1.57654040e-03 -1.00067946e-03 9.86556961e-01
0304205f2c.jpg 3ccc5f51ed.jpg,-3.56474666e-06 -4.19556963e-05 8.69267191e-03 6.96011164e-05 -8.63246436e-07 -9.76684384e-03 -6.65458548e-03 -2.56792776e-04 1.00000000e+00
0304205f2c.jpg 3cd11cdf20.jpg,9.64224538e-07 -3.52537214e-06 1.36541770e-03 1.25530520e-05 1.07081042e-05 -1.66877781e-02 -4.41616403e-03 6.77871219e-04 3.16440213e+00
0304205f2c.jpg 3d559057db.jpg,-7.82758294e-09 2.64493086e-07 -1.93651981e-04 -1.14695235e-06 3.95928504e-06 -4.36279027e-03 6.02416182e-04 -2.08082564e-04 1.00000000e+00
0304205f2c.jpg 3eb61b6da6.jpg,2.28361326e-08 2.22345300e-06 2.70183694e-04 -5.74638973e-06 -2.18912191e-06 -5.30778206e-03 9.36217019e-04 3.42649864e-03 1.21001914e+00
0304205f2c.jpg 4022cd457c.jpg,-7.61626618e-06 8.96617741e-06 2.14848436e-03 -2.16460241e-05 1.34810393e-06 1.55363958e-02 1.19354472e-02 -1.01000042e-02 -4.91064764e+00
0304205f2c.jpg 40412d5908.jpg,3.08208501e-06 6.23664649e-05 -1.90778520e-02 -7.16512715e-05 3.52108094e-05 -4.94420077e-02 1.37896988e-02 1.88769953e-02 1.00000000e+00
0304205f2c.jpg 4072d97a2c.jpg,8.83019696e-07 -8.19660146e-06 3.36648141e-03 7.15150367e-06 -8.89607951e-07 6.91121176e-03 -1.77219103e-03 -3.49926626e-04 -1.53538819e+00
0304205f2c.jpg 423e690e1a.jpg,3.19496418e-07 -3.48754639e-06 8.42920611e-04 3.79588237e-06 -2.50226838e-06 5.68937383e-03 -4.86023344e-04 -1.88723722e-03 -4.83209182e-01
0304205f2c.jpg 45524bc6b5.jpg,1.05387867e-07 -5.60903925e-07 4.17000963e-04 3.23885911e-06 9.01428016e-06 2.00920857e-03 -6.23426547e-04 -3.38226961e-03 2.91291972e-01
0304205f2c.jpg 48c3128073.jpg,-3.36187592e-07 -4.17130525e-06 1.62464168e-03 6.18968075e-06 -4.46217978e-06 3.45266975e-03 -2.34396054e-03 -2.43352062e-04 -5.13778886e-01
0304205f2c.jpg 48e32db0f9.jpg,-7.32810696e-08 -7.46229794e-07 2.94175192e-04 2.85673326e-06 6.81718862e-06 -6.69814484e-03 -6.24713706e-04 6.79483283e-04 1.00000000e+00
0304205f2c.jpg 4c383170bc.jpg,-1.93109726e-06 -1.55675051e-05 8.63115239e-03 -8.73661541e-06 -7.06571055e-06 1.12307225e-02 3.54831328e-03 1.63702195e-03 -4.02011459e+00
0304205f2c.jpg 4c6decf4bf.jpg,3.46386880e-07 7.11755988e-06 -1.87241474e-03 -3.62209093e-06 -8.29756232e-06 -9.35854259e-04 9.59943869e-04 4.29011262e-03 -4.00683523e-01
0304205f2c.jpg 4ced15142f.jpg,1.34905734e-08 -1.33922294e-05 4.67417718e-03 2.25028294e-05 8.24691386e-06 -2.05504543e-02 -7.54194994e-03 8.29063823e-03 3.02055116e+00
