samples,fundamental_matrix
00cd258165.jpg 0127efad56.jpg,-2.40879961e-07 -2.81536328e-06 1.69854947e-03 2.77812870e-07 -6.64185071e-07 4.42446134e-03 -4.33515255e-04 -2.89620580e-03 -4.85777238e-01
00cd258165.jpg 019f524590.jpg,-4.25177392e-08 1.15865089e-06 -3.47322509e-04 -2.12868811e-06 9.09394187e-07 7.11209017e-03 1.01373707e-03 -8.24694346e-03 -3.40735830e-02
00cd258165.jpg 032639069f.jpg,2.17694160e-09 3.60524428e-07 -3.44141858e-05 2.48452827e-07 8.87248928e-07 5.46818724e-03 -7.27789485e-05 -6.10173780e-03 -2.38395552e-01
00cd258165.jpg 045847961e.jpg,-3.17621470e-07 6.53168667e-06 -1.77031871e-03 -6.52984561e-06 -2.27305482e-06 9.57615004e-03 3.37849247e-03 -7.44783567e-03 -2.05138837e+00
00cd258165.jpg 06aa7a164a.jpg,-2.54953584e-07 -1.64801082e-06 8.46138304e-04 1.04290116e-06 -1.93029806e-06 5.20924660e-03 -1.36775839e-03 -5.01354403e-03 7.12219697e-01
00cd258165.jpg 08d579336f.jpg,2.29437791e-07 -3.32314515e-07 -8.91773087e-05 -6.76859615e-06 -7.64214771e-06 9.98948925e-03 3.59394608e-03 -5.18323701e-03 -1.40624362e+00
00cd258165.jpg 0b8b3cdcf7.jpg,-1.45210160e-07 5.21840082e-06 -1.47805992e-03 -6.55626973e-06 -1.24377091e-07 1.13414495e-02 2.01442994e-03 -4.87174604e-03 -1.85850252e+00
00cd258165.jpg 0c62b58198.jpg,5.78530498e-09 -3.15075390e-06 5.10255531e-04 2.96748528e-06 -7.46519377e-08 5.80317483e-03 -4.71491527e-04 -5.91672971e-03 1.68307613e-02
00cd258165.jpg 0e2c405906.jpg,-2.55289704e-06 8.53628848e-06 -2.19344812e-03 -9.04760704e-06 -9.41537358e-07 8.08572988e-03 8.27502107e-03 -8.28612915e-03 -2.74478265e+00
00cd258165.jpg 0f6f367572.jpg,2.84750440e-06 4.75270204e-06 -7.21569985e-03 -7.36480992e-06 6.64938222e-07 6.04151229e-03 8.84952336e-03 -8.03557635e-03 -2.10592214e-01
00cd258165.jpg 10084a62db.jpg,-7.88046157e-09 -2.80156504e-08 9.91026487e-05 -5.79172068e-07 -3.69210273e-06 7.84277509e-03 2.24052913e-04 -3.21605342e-03 -1.44352077e+00
00cd258165.jpg 10dbf96f63.jpg,3.20202004e-07 6.35104271e-06 -3.10086218e-03 -1.08101089e-05 2.92545262e-06 8.47047521e-03 3.96770641e-03 -8.41452065e-03 1.40777266e-01
00cd258165.jpg 1162c0bde3.jpg,5.48288593e-07 -5.44702203e-06 1.70121877e-03 7.43103321e-06 5.44970185e-06 9.48991773e-04 -1.75969813e-03 -2.99433742e-03 2.50436902e-01
00cd258165.jpg 13d08540ef.jpg,-7.33799682e-08 3.07134361e-06 -7.55270259e-04 -3.91813952e-06 2.16163760e-06 5.84925320e-03 1.06580222e-03 -6.42349595e-03 7.39835772e-02
00cd258165.jpg 1447cd9375.jpg,-4.15132741e-07 5.62117166e-06 -6.16520229e-04 -3.15573657e-06 -2.75443629e-06 6.50867908e-03 8.17744729e-04 -8.01400163e-03 4.61579783e-01
00cd258165.jpg 159565a140.jpg,-2.66479933e-08 -9.32366875e-07 5.45988567e-04 -1.12291093e-06 -3.03490230e-07 4.84417065e-03 5.24303658e-04 -4.00310630e-03 -3.30763259e-01
00cd258165.jpg 159ad6b35d.jpg,7.61862300e-08 8.85024933e-07 -4.29474319e-04 3.05229768e-07 2.20588272e-06 2.15799886e-03 -6.52025685e-04 -6.65005959e-03 1.00000000e+00
00cd258165.jpg 15be19576d.jpg,8.01208694e-08 -1.67273082e-06 1.82378315e-04 8.49641333e-07 -9.30988084e-07 6.45781981e-03 3.03854600e-04 -6.90234386e-03 5.41314300e-01
00cd258165.jpg 171d3a4e57.jpg,1.63249796e-06 -3.93038644e-05 1.52373485e-02 4.78598576e-05 4.31811041e-06 -3.66546109e-02 -1.38927095e-02 2.83852883e-02 -1.74671928e+00
00cd258165.jpg 172b1cb892.jpg,5.13739434e-08 -6.20989943e-06 5.19717768e-06 7.50544156e-06 -5.73633288e-06 -8.83948302e-03 6.96051589e-04 9.34213643e-03 -9.24905812e-01
00cd258165.jpg 19a090f9cf.jpg,-1.90697395e-06 5.83516261e-05 -2.28684556e-02 -6.33148170e-05 4.93843968e-07 2.50499615e-02 3.11865938e-02 -1.37833648e-02 -6.85576136e+00
00cd258165.jpg 1a20982227.jpg,1.38577672e-06 -9.11998965e-06 7.22615440e-03 8.66505443e-06 1.87880149e-07 -3.43131109e-03 -9.56545203e-03 4.37820121e-03 -1.08588612e-01
00cd258165.jpg 1a79dc9033.jpg,2.25343234e-07 -4.02764435e-06 -6.78098105e-05 3.19780027e-06 1.30185572e-06 4.54007864e-03 5.80627029e-05 -5.27256939e-03 -4.16076086e-01
00cd258165.jpg 1a9dd8766d.jpg,2.55768187e-08 -3.28718417e-06 1.84233418e-03 9.57772018e-07 -2.85097479e-06 6.67491396e-03 -4.80469498e-04 -3.00972795e-03 -1.04755877e+00
00cd258165.jpg 1b625b62fb.jpg,-4.00881124e-07 -4.77220076e-06 1.83731585e-03 6.43900693e-06 -1.57500624e-06 -9.66394177e-03 -2.36661098e-03 7.57497138e-03 1.77690208e+00
00cd258165.jpg 1cc24a890b.jpg,1.39102252e-06 -4.01922856e-05 5.81084704e-03 3.69991361e-05 -1.78266247e-07 -7.54195747e-03 -8.78383939e-03 -9.03497404e-03 3.16713919e+00
00cd258165.jpg 1cca967378.jpg,-1.18646629e-08 4.19638151e-08 -2.28816065e-05 -6.93870243e-07 1.15641844e-05 -1.46544770e-03 4.83773976e-04 -6.50766473e-03 1.00000000e+00
00cd258165.jpg 1cef910abc.jpg,-9.51080032e-08 2.60308319e-06 -1.15798462e-03 3.34654136e-06 1.85068806e-06 5.27343385e-03 -9.22823929e-04 -6.56815659e-03 8.45418589e-01
00cd258165.jpg 1de5e77121.jpg,6.85010282e-07 8.17603255e-06 -2.68077388e-03 -8.49678442e-06 -1.81539693e-06 8.28520265e-03 1.76065004e-03 -7.55666768e-03 2.71740619e-01
00cd258165.jpg 1ed9808efe.jpg,5.86380473e-07 -2.18540364e-06 -9.76531392e-03 1.31362296e-06 -3.17046997e-08 -9.72159922e-04 9.46958239e-03 1.29723269e-03 -4.50718408e-01
00cd258165.jpg 1f5517997a.jpg,-2.44315572e-07 5.81148175e-06 -1.74216281e-03 2.54711517e-07 2.82759682e-05 -7.54423354e-03 1.39608338e-04 -1.52601798e-02 4.25048896e+00
00cd258165.jpg 208708401a.jpg,-6.78566471e-07 3.30689146e-06 -1.15284846e-03 1.87536743e-06 -9.74760042e-07 5.45634663e-03 1.12640605e-03 -9.77304287e-03 7.22607597e-01
00cd258165.jpg 2127331e1d.jpg,-2.35262670e-08 4.34845947e-07 -2.92186411e-04 -9.26605554e-07 -4.34783030e-07 -4.10694694e-03 3.21028025e-04 4.50889141e-03 -4.13852091e-01
00cd258165.jpg 256de3c68d.jpg,1.93849507e-06 -8.40458663e-06 4.63899104e-03 8.93486971e-06 -6.23938418e-07 -8.03447174e-03 -8.02869311e-03 7.73802325e-03 1.68016279e+00
00cd258165.jpg 26153aa2ff.jpg,1.81551029e-05 -8.16435276e-06 -9.83186923e-03 1.43683187e-05 -2.08308364e-05 4.64161627e-04 1.09240316e-03 -1.76942106e-04 -7.71944505e-01
00cd258165.jpg 26cd5ceb4a.jpg,-2.35622927e-07 3.95191561e-06 -2.21793519e-04 -3.51692374e-06 2.50833693e-06 4.73619693e-03 4.24962973e-04 -7.88303503e-03 5.07655744e-01
00cd258165.jpg 2700c088d0.jpg,8.24751313e-07 -8.08695169e-06 3.26249742e-03 5.91253879e-06 2.83443727e-06 7.51427117e-03 -7.65101564e-04 -7.92229933e-03 1.00000000e+00
00cd258165.jpg 27199656ca.jpg,1.98298597e-07 -1.31502193e-05 8.84282908e-04 1.81946962e-05 9.60687643e-06 -1.55609192e-02 -2.07789202e-05 1.25060439e-02 -9.77435969e-01
00cd258165.jpg 2797e7eb23.jpg,3.35596124e-07 2.78774385e-06 -2.18895288e-03 -5.44017847e-06 4.49219150e-06 7.27755706e-03 2.58872317e-03 -7.19540538e-03 -5.91590857e-01
00cd258165.jpg 2acbe12fd8.jpg,-1.24753997e-07 -6.25296355e-06 2.10906555e-03 1.90999526e-06 4.60752796e-08 3.89764434e-03 -8.89149286e-04 -2.77696124e-03 -7.72352012e-01
00cd258165.jpg 2d307070b5.jpg,-1.45680062e-08 1.36549474e-06 -2.87689211e-04 1.49124294e-07 4.34657782e-06 3.62277863e-03 1.57944106e-05 -6.15185352e-03 1.39099837e-01
00cd258165.jpg 33b307d601.jpg,3.94383701e-06 2.22476353e-05 -1.21236736e-02 -3.94045690e-05 3.87187256e-06 1.91123165e-02 1.38910180e-02 -1.50907217e-02 -5.45773384e-01
00cd258165.jpg 344ec0f55a.jpg,2.06210793e-08 3.35597927e-06 -1.07723662e-03 -3.46244997e-06 2.12723334e-06 6.06143870e-03 8.43402741e-04 -6.81350423e-03 4.69201283e-01
00cd258165.jpg 34ff00bb05.jpg,-1.94702299e-06 -1.72205697e-05 7.58800573e-03 2.22776924e-05 -4.81624791e-06 1.37407114e-03 -7.61063079e-03 -1.25597822e-03 7.98260432e-01
00cd258165.jpg 3760e26e73.jpg,3.56028895e-07 -1.27557535e-06 8.62489844e-04 1.77652075e-06 -2.61283067e-06 2.54918359e-03 -9.98171807e-04 -3.37037267e-03 8.30176835e-01
00cd258165.jpg 39d2c3d0dc.jpg,-1.15085284e-08 -1.28713377e-06 3.70646277e-04 -2.67482243e-06 -4.38028432e-06 7.37221932e-03 6.31677673e-04 -2.16726628e-03 -8.85403287e-01
00cd258165.jpg 3a8e21ecf4.jpg,4.89832403e-07 -5.10210355e-06 1.46634723e-03 4.36707326e-06 9.69762733e-07 -8.09689402e-03 -3.02636069e-03 5.78382840e-03 2.66924558e+00
00cd258165.jpg 3c09a654a9.jpg,6.97177695e-09 -8.00522393e-10 1.67181243e-04 1.34492702e-07 2.14000861e-06 3.31559564e-03 1.66766569e-05 -4.61061426e-03 2.06401011e-01
00cd258165.jpg 3c86490be1.jpg,1.04252134e-06 8.14396460e-06 -2.40504154e-03 -1.33991685e-05 9.01892006e-07 2.80485490e-05 3.97711671e-03 4.14983855e-03 -1.30057541e+00
00cd258165.jpg 3cfe082c91.jpg,1.35600580e-06 1.51958041e-05 -7.71001345e-03 -1.64220683e-05 -2.98170628e-06 1.59279305e-02 4.32854464e-03 -1.06776174e-02 7.05320547e-01
00cd258165.jpg 3d6d1b4631.jpg,5.42353245e-08 -8.02211266e-07 -1.78582915e-04 5.61625309e-08 2.03677668e-06 3.72423393e-03 3.47913732e-04 -4.52377578e-03 -2.97197571e-01
00cd258165.jpg 3e1f33aec0.jpg,1.57573354e-06 -6.35698123e-06 3.37115872e-03 9.09751766e-06 -3.05708015e-06 2.68616087e-03 -6.84448831e-03 -2.92278275e-03 5.83435008e-01
00cd258165.jpg 3e2b21240f.jpg,-2.41296222e-07 5.59389096e-06 -1.53000603e-05 -5.97337330e-06 -3.35640191e-06 7.42312586e-03 4.43043993e-04 -5.21436543e-03 -2.50053239e-01
00cd258165.jpg 3edccd3146.jpg,-5.46294999e-06 1.77640327e-05 -3.74403459e-03 -1.97943995e-05 3.24279680e-06 4.21520860e-03 8.32522815e-03 -3.17530975e-03 -1.24588974e+00
00cd258165.jpg 3f6acecbde.jpg,4.20734499e-08 -4.40408288e-06 1.18609261e-03 5.35671311e-06 1.24435269e-08 -6.87921079e-03 -1.42327063e-03 6.50563154e-03 -4.98347965e-03
00cd258165.jpg 40e0cc34bb.jpg,4.94766143e-07 9.70868441e-06 -4.55886091e-03 -4.57892911e-06 1.46882700e-05 -9.01021292e-03 1.89656703e-03 -4.17154138e-03 2.79539656e+00
00cd258165.jpg 4900447087.jpg,3.84228589e-07 -6.79903278e-06 1.93353457e-03 7.43485808e-06 -3.59990590e-06 3.07454803e-03 -2.46885335e-03 -3.11193980e-04 -6.16642935e-01
00cd258165.jpg 4b243da6d8.jpg,3.41783770e-07 -2.76288384e-06 1.02635735e-03 6.02397517e-06 -5.54480625e-06 5.36114307e-03 -1.32878384e-03 -1.79247619e-03 -2.93061872e-01
00cd258165.jpg 4b4e9e53be.jpg,-2.61274362e-07 6.57359935e-06 -3.46196701e-03 -8.76340966e-06 4.49762792e-06 6.04449468e-03 5.30760889e-03 -1.00542105e-02 4.85070243e-01
00cd258165.jpg 4f123bcf1c.jpg,-5.35007553e-07 1.11709622e-05 -2.25910880e-03 -1.27290595e-05 7.98664229e-06 1.07160034e-02 3.24097906e-03 -1.09063672e-02 -5.09650428e-01
00cd258165.jpg 5131837588.jpg,-3.48865005e-07 -1.86773034e-05 1.91822255e-03 1.87674721e-05 -4.39201430e-06 -5.40678309e-04 -3.10006950e-03 4.92337849e-04 1.13026967e-01
00cd258165.jpg 51c1a5d3df.jpg,1.51909651e-07 2.98067821e-06 -1.58267997e-03 -3.03942203e-06 -5.69543154e-06 6.74401467e-03 1.88271621e-03 -3.67808471e-03 -8.48136719e-01
00cd258165.jpg 52a2306853.jpg,-1.23575586e-05 4.28700021e-05 -1.48641920e-02 -5.82704372e-05 -6.51799098e-08 2.45075525e-02 4.20840507e-02 -1.72955903e-02 -9.58672668e+00
00cd258165.jpg 536321853c.jpg,-5.72064360e-08 -1.72590979e-06 5.83740355e-04 1.59248963e-06 -1.37379056e-06 4.32475020e-03 -4.62918974e-04 -3.47223940e-03 3.54706491e-01
00cd258165.jpg 537a544a23.jpg,-3.98330093e-07 -9.79921947e-06 2.87410456e-03 9.12282690e-06 -7.36170676e-06 2.28853468e-03 -2.77626866e-03 -2.42877465e-03 6.75599358e-01
00cd258165.jpg 54daea6414.jpg,-1.03181934e-06 1.24639147e-05 -2.51100419e-03 -9.92898020e-06 8.06712267e-07 9.06389474e-03 3.25032705e-03 -1.02008686e-02 -1.95669674e-01
00cd258165.jpg 5967c45f30.jpg,1.72806921e-06 -1.11969251e-05 1.90399763e-03 1.43591478e-05 -1.54455016e-06 -1.33867133e-02 -3.33911252e-03 7.54168680e-03 8.20117965e-01
00cd258165.jpg 598c7db437.jpg,2.12526430e-08 3.06077338e-06 -1.27538833e-03 -3.08876054e-06 -1.81348812e-06 9.52103294e-03 1.54636420e-03 -5.01184611e-03 -2.41706347e+00
00cd258165.jpg 5b1fe46566.jpg,-8.89029327e-07 7.39761531e-06 -6.87733982e-04 -9.39425587e-06 1.15547733e-06 7.93073345e-03 1.62227183e-03 -7.03026496e-03 -2.15676187e-02
00cd258165.jpg 5d103f1f8f.jpg,-2.07205447e-07 -5.27766626e-06 2.55196660e-03 5.72362812e-06 1.84840107e-06 1.96773109e-03 -3.12927362e-03 -3.30927647e-03 8.13993713e-02
00cd258165.jpg 5f4408f1f3.jpg,1.08368641e-08 -2.55813259e-07 7.61572481e-05 9.66826103e-06 -1.21185223e-06 5.49378752e-03 -2.71319610e-03 -5.56519056e-03 8.27970648e-02
