samples,fundamental_matrix
02480e4090.jpg 026e5f0db2.jpg,-1.14646190e-06 1.51287884e-05 -2.66018851e-03 -2.01481029e-05 2.01787263e-05 8.41490988e-03 5.37472905e-03 -1.79104730e-02 5.68002191e-01
02480e4090.jpg 0295de764a.jpg,-1.62538506e-06 1.00496711e-05 -1.33978106e-03 -4.01455214e-06 3.43786318e-06 -4.88241194e-03 5.08313045e-04 1.79662161e-03 7.82407867e-01
02480e4090.jpg 03840e88a1.jpg,2.42674408e-07 -9.04996009e-06 3.13415425e-03 8.29178017e-07 -1.12449129e-06 4.60274340e-03 -2.79035082e-04 -1.64444319e-03 -1.13439241e+00
02480e4090.jpg 05ff3f059e.jpg,-2.17837604e-06 1.51052774e-05 -2.71828669e-03 -2.02061738e-06 -6.49273750e-07 5.62791145e-03 2.41404233e-03 -1.20584430e-02 4.10360688e-01
02480e4090.jpg 065dd25538.jpg,2.28510066e-06 -1.28614029e-05 3.76845764e-03 9.00548887e-06 4.60876043e-07 -6.79521458e-03 -7.05055049e-03 1.21332981e-02 3.23107021e-02
02480e4090.jpg 07bb1e2d89.jpg,1.21662693e-06 6.87504408e-08 -1.15714795e-03 -1.09490067e-05 -2.83134730e-06 1.11980496e-02 3.63333941e-03 -3.97778283e-03 -1.97290529e+00
02480e4090.jpg 088a4c6f5e.jpg,-3.89805276e-06 -3.81748168e-05 1.78626283e-02 -2.39519203e-08 8.50824046e-07 -6.65287671e-04 -6.37840293e-06 -4.03195078e-04 2.72533348e-01
02480e4090.jpg 09878de62e.jpg,5.06095300e-08 -7.62601106e-07 2.46877677e-04 1.92442306e-06 4.55018605e-06 -3.52623677e-03 -8.10974463e-04 -6.54950391e-04 1.00000000e+00
02480e4090.jpg 0a3ef47f80.jpg,-1.22057664e-07 5.44147226e-07 -1.37347149e-04 2.84299153e-06 1.34224996e-05 3.64836358e-03 1.66462129e-05 -8.18407030e-03 -1.20876244e-01
02480e4090.jpg 0bceb13b56.jpg,7.67463629e-07 1.97016405e-06 -1.60376191e-03 -9.10127110e-06 -8.70933281e-06 1.38201714e-02 3.57487355e-03 -4.27335005e-03 -2.69888965e+00
02480e4090.jpg 0c7a687dd0.jpg,3.45696404e-06 -2.28860821e-05 -5.08618016e-04 9.41943671e-06 6.45896253e-06 2.42631457e-03 -3.69005587e-03 2.71335449e-03 -6.60035290e-01
02480e4090.jpg 0ec9d93665.jpg,9.44047583e-07 7.84230229e-06 -4.05282559e-03 -1.00284872e-05 -6.14960649e-06 1.39615138e-02 2.92630241e-03 -8.03558089e-03 -3.67716609e-01
02480e4090.jpg 10a1fda952.jpg,-2.76377673e-06 1.24440258e-05 -2.35445528e-03 -1.39654862e-05 7.62550410e-06 7.86815392e-03 5.43122638e-03 -1.24899515e-02 3.47035882e-01
02480e4090.jpg 10b2e0b484.jpg,4.33122724e-07 1.38328180e-05 -5.87379762e-03 -1.23795907e-05 -4.22786899e-06 1.09417514e-02 5.28679207e-03 -1.21663189e-02 9.33369516e-01
02480e4090.jpg 10e1a6e916.jpg,1.72205613e-05 -5.87625225e-06 -8.60530113e-03 -4.38954082e-05 1.55717305e-05 2.17155781e-02 7.16612899e-03 -6.35949266e-03 -2.13283462e+00
02480e4090.jpg 11fe2c2983.jpg,2.97968074e-06 -1.95491440e-05 3.57643511e-03 2.18812968e-05 -1.66165339e-06 -2.19302940e-03 -6.80517213e-03 6.74245176e-03 -5.66475056e-01
02480e4090.jpg 121df715e0.jpg,5.93854500e-06 -9.06684209e-06 2.73958400e-04 6.87009058e-07 2.69431518e-06 -2.76802998e-03 -5.29712394e-03 6.42381588e-03 1.00000000e+00
02480e4090.jpg 1317fff278.jpg,6.70332952e-07 -8.17720113e-06 -3.48944870e-03 7.21795818e-06 2.42790338e-07 5.05416780e-03 4.60945351e-03 -6.66457503e-03 -6.48693854e-02
02480e4090.jpg 131a423ca2.jpg,-6.18970821e-07 4.64059026e-06 -9.08518646e-04 -5.09089016e-06 -1.80754862e-06 6.93690445e-03 2.34771945e-03 -6.48075915e-03 -5.62550572e-01
02480e4090.jpg 136fc3c1b2.jpg,-6.30924364e-07 1.54964929e-05 -5.26992737e-03 -2.05541797e-05 2.96343737e-06 1.22238074e-02 1.18292829e-02 -1.22090565e-02 -3.18612934e+00
02480e4090.jpg 141e5ab296.jpg,6.12334899e-07 8.16396338e-06 -2.49474061e-03 -1.13388421e-05 1.66076495e-05 7.72458065e-03 1.84620676e-03 -1.02894220e-02 4.81540141e-01
02480e4090.jpg 155bb335e2.jpg,-8.61964050e-07 8.90552426e-06 -2.85021114e-03 -7.41896502e-06 -1.39655662e-05 1.33115038e-02 4.23936521e-03 -4.54027124e-03 -2.37762086e+00
02480e4090.jpg 171a6e7271.jpg,-3.77431046e-07 2.88406888e-06 -3.76442282e-04 3.99084332e-06 -4.35757017e-06 -5.82635661e-03 -1.71131107e-03 5.78714343e-03 1.02816530e+00
02480e4090.jpg 19915dcffe.jpg,5.53399774e-08 -3.01563211e-05 1.04612359e-02 4.12039952e-05 -1.43705031e-05 -2.21629399e-02 -1.75593981e-02 3.03833952e-02 1.00000000e+00
02480e4090.jpg 19ac6cfb83.jpg,7.36051609e-07 -3.03378040e-06 4.26688187e-04 -1.21074399e-05 2.49415703e-06 1.02365533e-02 5.12643158e-03 -5.01716117e-03 -2.89257267e+00
02480e4090.jpg 1cbc570afd.jpg,-6.53504175e-07 -4.03195369e-06 1.72312144e-03 5.42321738e-06 1.81361656e-06 -4.31133072e-03 -3.06672644e-03 3.53042256e-03 1.00000000e+00
02480e4090.jpg 1cca3266a1.jpg,1.95381961e-07 6.78113865e-06 -3.66302244e-03 -4.82757585e-06 1.18741264e-06 5.91546603e-03 2.70699557e-03 -9.11010936e-03 9.16272547e-01
02480e4090.jpg 1dcae08391.jpg,8.97771100e-07 -7.95614460e-07 -3.40330346e-04 2.26716467e-05 -1.38406151e-06 -1.49285565e-02 -7.90171038e-03 4.09854186e-03 3.97866196e+00
02480e4090.jpg 1f90d7bed3.jpg,-1.33473723e-06 1.74059846e-05 -5.18925546e-03 -1.43256663e-05 -4.06412202e-06 1.19003545e-02 5.71550416e-03 -1.12954341e-02 -1.73656298e-01
02480e4090.jpg 2119968a6a.jpg,4.22187643e-09 -5.17151698e-06 8.90002499e-04 1.09557318e-05 2.34413100e-07 3.43321245e-04 -4.27094895e-03 -1.93163424e-03 1.82809803e-01
02480e4090.jpg 26a52ce554.jpg,1.78653881e-06 -8.07816267e-06 7.06810713e-04 -7.49530098e-06 8.59267730e-06 4.56461020e-03 3.83999862e-03 -6.47098612e-03 -1.72278682e+00
02480e4090.jpg 2704ff6ec2.jpg,-7.42165509e-07 3.29745864e-06 -6.29804657e-04 -1.34385718e-05 -6.35598660e-06 1.37756782e-02 4.75375516e-03 -4.82748979e-03 -2.17609922e+00
02480e4090.jpg 275262fdbe.jpg,-2.71788611e-06 -2.48137657e-05 1.03588920e-02 3.06471207e-06 -1.05114048e-05 5.30623194e-03 -2.10358738e-03 5.97992943e-03 -3.09712070e+00
02480e4090.jpg 2a621096b5.jpg,5.91641329e-07 5.27269986e-06 -1.92886115e-03 -1.28813260e-05 -2.40818687e-06 1.45425644e-02 4.16708149e-03 -9.81446259e-03 -2.11686459e+00
02480e4090.jpg 2a84681c79.jpg,-1.53596617e-07 1.47694977e-06 -6.19793544e-04 -2.08309078e-06 -2.98412525e-06 1.00505584e-02 1.48362145e-03 -3.88197387e-03 -2.34073141e+00
02480e4090.jpg 2b77325290.jpg,-3.01574799e-06 2.11426393e-05 -5.48791332e-03 -1.08011705e-05 1.63491187e-05 3.17315734e-03 1.08684800e-02 -3.11685124e-02 2.46567175e+00
02480e4090.jpg 2bf9b97de6.jpg,-1.62688906e-06 7.82787216e-06 -1.83916597e-03 -2.75008983e-06 6.64880620e-06 3.51306697e-03 3.63194822e-03 -1.36987601e-02 3.07144310e-01
02480e4090.jpg 2c02696e54.jpg,-1.68793357e-07 1.69933589e-06 -4.43725911e-04 -8.52281154e-06 8.61980326e-06 5.17794962e-03 6.50066764e-03 -1.05936749e-02 -2.51315941e+00
02480e4090.jpg 2c3671ae0a.jpg,-1.24808694e-07 6.65802715e-06 -3.56935218e-03 -7.02316515e-06 -8.64751769e-07 1.16819993e-02 3.19579131e-03 -9.11217012e-03 6.42095820e-02
02480e4090.jpg 2c97cbe226.jpg,-1.57308493e-06 4.80744807e-06 -2.72790112e-03 1.46993209e-06 -2.87029544e-06 5.96663810e-03 2.10435945e-03 -7.88957159e-03 5.75874940e-01
02480e4090.jpg 2e38f36371.jpg,-1.40730766e-06 2.95182770e-06 5.38762053e-05 -7.90545349e-06 6.98372032e-06 4.33720297e-03 4.39081412e-03 -7.78768987e-03 -7.65857425e-01
02480e4090.jpg 2fb512cf25.jpg,-2.03633593e-07 1.06142660e-06 -2.78256958e-04 8.47407632e-06 8.41265363e-06 3.96274233e-03 -1.20946075e-03 -1.05073543e-02 7.82498248e-01
02480e4090.jpg 319d7c5d63.jpg,-1.84961273e-07 1.75827111e-06 -2.56291597e-04 -3.54086854e-06 3.90330170e-06 5.98842715e-03 1.88270001e-03 -7.44084102e-03 -1.21963640e+00
02480e4090.jpg 32e40e87b4.jpg,2.48624757e-06 -2.84902841e-05 8.98339487e-03 3.33051350e-05 -2.62046113e-05 -1.51192347e-02 -1.65534695e-02 3.39374360e-02 -4.55281970e-01
02480e4090.jpg 3377f1254f.jpg,2.53586175e-06 1.96302381e-06 -2.01736654e-03 -1.84215133e-05 1.22970515e-06 1.06420805e-02 8.88668757e-03 -8.10330841e-03 -3.18823138e+00
02480e4090.jpg 35e33ae763.jpg,1.42533554e-06 1.73561637e-05 -7.13405814e-03 -1.74164144e-05 -3.69638741e-06 1.34260379e-02 1.08777221e-02 -1.40705775e-02 -2.58885708e+00
02480e4090.jpg 3602735ee7.jpg,-1.41524791e-06 1.74383508e-05 -4.45105871e-03 -1.54344798e-05 5.12430986e-07 1.29551903e-02 6.46565249e-03 -1.52773881e-02 -5.43120331e-01
02480e4090.jpg 382878641c.jpg,3.05748450e-10 7.53310099e-07 -2.42922845e-04 -1.09848404e-06 -2.92280896e-06 -5.19400566e-03 5.25459326e-04 6.48405763e-03 8.32925318e-01
02480e4090.jpg 38cbf44889.jpg,2.55133024e-07 5.65298334e-06 -2.85415400e-03 -6.84307243e-06 2.93852174e-06 6.92323749e-03 3.51176009e-03 -9.61384461e-03 9.87916172e-02
