samples,fundamental_matrix
0024c89a98.jpg 010e07f90f.jpg,-1.87383179e-07 2.70216233e-06 -1.08921284e-03 -6.13056453e-06 -1.13269214e-05 1.14505311e-02 2.91303790e-03 -4.24886481e-03 -8.93887743e-01
0024c89a98.jpg 029325e63f.jpg,1.82357803e-06 5.09335191e-06 -3.32527991e-03 -8.69452251e-06 -3.93148669e-06 7.86019709e-03 2.35991011e-03 -5.87536108e-03 5.93417514e-01
0024c89a98.jpg 02afe3d4fe.jpg,8.34012954e-07 -1.78486107e-05 -9.03982641e-04 2.26992718e-05 3.07360415e-06 -1.25012791e-02 1.84752953e-03 1.10216342e-02 -7.50836278e-01
0024c89a98.jpg 035b8ff79c.jpg,1.81298421e-07 -2.70397802e-06 2.26497682e-03 9.97509943e-07 -6.12784204e-06 6.44210422e-03 -1.45304959e-03 -5.21723061e-03 3.46988072e-01
0024c89a98.jpg 0560148806.jpg,3.06213120e-07 4.75818253e-05 -3.22131871e-02 -5.09064974e-05 6.31404409e-06 2.15721253e-02 2.44665862e-02 -2.47629838e-02 4.27132347e+00
0024c89a98.jpg 058769dbf4.jpg,-1.07538750e-05 -3.53794000e-05 1.57377932e-02 1.96301806e-05 8.86659820e-06 -6.14907145e-03 -7.16269332e-03 2.56596020e-03 -1.07283227e-01
0024c89a98.jpg 0652db02f8.jpg,-2.98709165e-06 -2.50264973e-05 1.00838020e-02 4.04577956e-06 3.40384936e-06 2.10021212e-03 -5.91948119e-04 3.39203093e-03 -2.31758796e+00
0024c89a98.jpg 06ac750280.jpg,1.14666353e-06 5.66756090e-06 -3.43086510e-03 -1.88188791e-05 1.44483886e-05 6.63825295e-03 1.20028725e-02 -2.31797134e-02 2.22025599e+00
0024c89a98.jpg 07242dedaa.jpg,1.32059551e-06 8.28348982e-06 -5.18592526e-03 -3.59275231e-05 2.76214269e-06 1.32822125e-02 1.45002829e-02 -8.47070532e-03 -1.23952702e+00
0024c89a98.jpg 09a31c7731.jpg,-1.95230343e-06 -6.10816835e-05 3.33200823e-02 6.08682704e-05 -2.33258525e-06 -2.20512968e-02 -2.45242096e-02 2.27923865e-02 -2.76867151e+00
0024c89a98.jpg 0db8b4f9a6.jpg,-8.94552494e-06 5.06079619e-05 -1.74967466e-02 -6.14773981e-05 -6.15373612e-06 2.36742662e-02 2.70330608e-02 -2.93938058e-02 2.64180712e+00
0024c89a98.jpg 0e802a03cf.jpg,1.13269275e-06 6.70589203e-05 -3.15161993e-02 -6.29978114e-05 -1.46564958e-06 2.39883772e-02 2.70107371e-02 -3.62841251e-02 6.83220291e+00
0024c89a98.jpg 11aca1aeb5.jpg,1.25146892e-06 -1.14330021e-05 4.30625238e-03 2.18050816e-05 9.94879571e-06 -4.59507542e-03 -5.54016810e-03 -3.30193861e-03 1.46223637e+00
0024c89a98.jpg 11bdaeb5d8.jpg,1.91616729e-06 -2.48910258e-05 8.66449042e-03 1.31799117e-05 -4.62534239e-06 1.61355795e-03 -6.41083627e-03 -2.48959069e-03 8.64821918e-01
0024c89a98.jpg 13dd1b84ad.jpg,8.73361126e-07 1.57340948e-06 -1.31569383e-03 -7.76521722e-06 -1.41445763e-06 7.21124513e-03 1.55184384e-03 -7.40631350e-03 1.30233674e+00
0024c89a98.jpg 18e14e5a31.jpg,-3.22579988e-08 5.26378795e-06 -2.02593260e-03 -4.67879609e-06 6.50499786e-07 1.60557251e-03 2.00290135e-03 -4.63491567e-03 1.00000000e+00
0024c89a98.jpg 1a93a6e362.jpg,-1.61737964e-06 9.17522443e-05 -4.26638918e-02 -9.14574400e-05 8.71161608e-07 3.05271974e-02 4.53289643e-02 -4.09794221e-02 3.96587601e+00
0024c89a98.jpg 1b0000cf37.jpg,2.15645812e-06 -3.86472392e-05 1.97472095e-02 3.99891092e-05 -2.96831441e-07 -1.32816246e-02 -3.12868872e-02 1.26160113e-02 3.83150956e+00
0024c89a98.jpg 1b74f1327b.jpg,-2.71607394e-06 1.39628785e-05 -6.33153947e-03 -3.56837832e-06 1.20372852e-05 2.32706111e-03 4.40133990e-03 -1.91336161e-02 4.36462520e+00
0024c89a98.jpg 1def794e12.jpg,-1.01579272e-05 -6.73069946e-06 -1.65457791e-03 -1.45571807e-06 -4.22420798e-09 2.84604096e-04 9.69943044e-03 1.59376341e-03 -1.04577025e+00
0024c89a98.jpg 1ef8d9926c.jpg,8.80566064e-07 9.68926551e-06 -3.74836516e-03 -2.62070971e-06 1.62948843e-05 -8.36415543e-04 1.90223913e-04 -1.70499558e-02 4.27685855e+00
0024c89a98.jpg 214aba8098.jpg,-3.52332354e-06 4.29308778e-05 -2.12035358e-02 -4.38536092e-05 8.54458877e-07 1.50634041e-02 2.48010141e-02 -1.49656583e-02 -9.45735484e-01
0024c89a98.jpg 21629c2d5b.jpg,-5.06741488e-07 4.53937007e-05 -2.65124043e-02 -2.78845093e-05 6.91134282e-06 -2.58966463e-03 1.42948097e-02 -1.41086700e-02 7.50460930e+00
