samples,fundamental_matrix
00c41d29f4.jpg 0276f5cb01.jpg,1.74041657e-06 -2.21047661e-05 1.02307404e-02 1.52348872e-05 -3.10772967e-06 -9.78577870e-03 -8.32462867e-03 1.89479541e-02 -3.65354453e+00
00c41d29f4.jpg 033cef5172.jpg,-6.78897650e-07 -4.54487130e-06 1.17903374e-03 1.15664599e-05 -2.52225277e-07 -4.54554485e-03 -3.50257444e-03 1.95821506e-03 1.00000000e+00
00c41d29f4.jpg 04dde67228.jpg,5.54823602e-07 -1.10918985e-05 5.05183590e-03 1.51315605e-05 5.14061865e-06 1.46423518e-03 -6.09102269e-03 -3.51333250e-03 5.04197006e-02
00c41d29f4.jpg 057b7cc1f4.jpg,-8.04479128e-08 -2.68620843e-06 1.23482005e-03 -2.28664627e-06 4.86439562e-06 7.13533905e-03 1.26694106e-03 -7.38368805e-03 -2.33915004e+00
00c41d29f4.jpg 0611945bf7.jpg,-2.45049363e-05 1.00217336e-05 -1.11087003e-02 -3.31970617e-07 -4.65246757e-07 1.23370891e-03 1.73542396e-02 -4.69249433e-03 2.32850457e+00
00c41d29f4.jpg 0655a79a4f.jpg,1.71243121e-06 3.13963696e-05 -1.27643112e-02 -2.88621890e-05 -2.47267582e-07 1.02973308e-02 1.07162094e-02 -8.79970855e-03 -3.79819577e-01
00c41d29f4.jpg 0664f6d5c6.jpg,1.67425073e-06 -3.76287177e-05 1.61426617e-02 3.22453813e-05 3.25789439e-06 -2.04853079e-02 -1.37812266e-02 2.01334747e-02 -1.04383828e+00
00c41d29f4.jpg 067e88d5ba.jpg,-1.48566834e-09 1.05042958e-06 -2.37649347e-04 2.66458112e-07 8.94513742e-07 1.48907412e-02 -2.95509384e-05 -1.60149739e-02 6.80321775e-01
00c41d29f4.jpg 07e8b5aaed.jpg,9.41267518e-07 1.13267675e-05 -5.34179401e-03 -8.10069037e-06 4.34577813e-06 1.49582727e-02 1.48767479e-03 -1.40169413e-02 1.27913580e+00
00c41d29f4.jpg 094f6ee467.jpg,-1.17788643e-06 -1.21913855e-05 5.01451261e-03 1.73819855e-05 8.42717084e-07 -1.64498098e-02 -4.41791498e-03 1.69108196e-02 -1.32276168e+00
00c41d29f4.jpg 09832218e7.jpg,-8.88837383e-07 -1.78144286e-05 5.16966240e-03 1.79612259e-05 -2.58391066e-06 -8.28904971e-04 -5.12611511e-03 1.51949647e-03 1.30264113e-02
00c41d29f4.jpg 0b5d45cf6e.jpg,2.42378064e-08 6.87765199e-07 -2.69093913e-04 -3.21609914e-08 1.34236741e-06 6.34689651e-03 -2.63389021e-04 -8.23516162e-03 9.01946838e-01
00c41d29f4.jpg 0ca8df980d.jpg,-2.81890415e-06 -2.11376056e-05 8.27695984e-03 2.26021109e-05 5.60431260e-07 -4.18957268e-04 -5.99659251e-03 1.27376236e-03 -4.44162354e-01
00c41d29f4.jpg 0d11b1365c.jpg,-3.82819420e-07 -3.12193201e-06 1.78943256e-03 7.19791687e-06 -1.34441060e-06 -6.40002078e-03 -4.64521178e-03 8.02613287e-03 8.82047858e-01
