samples,fundamental_matrix
0036b3f6fa.jpg 02cb0ce91d.jpg,-1.16490461e-05 -2.14153275e-05 9.29275313e-03 2.26047594e-05 -4.55196506e-08 -1.38031996e-02 8.77587263e-04 1.75667335e-02 -2.32189753e+00
0036b3f6fa.jpg 02d4c67a5f.jpg,1.94209469e-06 -1.72773141e-06 -3.66717384e-03 -5.59666159e-06 7.08064806e-06 9.43216094e-03 1.14580220e-03 -5.98360717e-03 5.19122698e-01
0036b3f6fa.jpg 02fdd4d10f.jpg,-6.28545602e-06 2.95792676e-05 -3.73187348e-03 -1.19418200e-05 -1.11677737e-05 3.88413654e-03 4.39876711e-03 2.54343152e-03 -1.17492158e+00
0036b3f6fa.jpg 04c8b49b5e.jpg,-4.56472209e-06 3.08018975e-05 1.09682090e-03 4.82368744e-06 -1.84916262e-05 -7.72849648e-04 1.28495604e-03 -8.56534519e-03 -3.05859094e-01
0036b3f6fa.jpg 08b13d94c4.jpg,-4.73604840e-07 4.80326218e-06 -5.55089712e-05 -4.49757530e-06 -3.32119810e-06 6.60682466e-03 7.72226384e-04 -4.96372281e-03 -3.27618533e-01
0036b3f6fa.jpg 1008ebda33.jpg,-3.03696831e-06 -5.16967375e-06 8.65971469e-04 8.58023078e-06 6.55210965e-06 2.03273336e-03 6.86611536e-05 -5.10285369e-05 7.38101136e-02
0036b3f6fa.jpg 10dfe1628d.jpg,-5.46373939e-06 1.65257941e-05 3.87480267e-04 1.14204657e-05 -5.53581822e-05 9.07736743e-03 -2.51156506e-03 1.58927549e-02 -3.76255039e+00
0036b3f6fa.jpg 11d0e7c26e.jpg,-3.20421854e-05 -1.84888610e-05 2.83826096e-02 -4.08644638e-06 -2.79958725e-06 3.69710929e-03 9.89348391e-03 4.72971921e-03 -8.59200830e+00
0036b3f6fa.jpg 13fe3f4461.jpg,-1.39654946e-06 -5.55999144e-06 1.34527388e-03 1.85823579e-05 -6.86813906e-05 -7.05912666e-03 -7.40288046e-03 3.38113555e-02 2.32209839e+00
0036b3f6fa.jpg 141dfb459f.jpg,-2.15907744e-07 1.48031653e-05 -5.09459388e-03 3.13724347e-06 1.17120972e-05 -1.24912229e-02 -8.66052348e-04 -5.91759439e-03 4.47225550e+00
0036b3f6fa.jpg 14980b2c9c.jpg,-1.29306574e-05 7.97487628e-06 7.17603014e-04 -1.86446780e-05 1.69337866e-05 1.30675592e-04 1.24731023e-02 -6.17248913e-03 -9.45080475e-01
0036b3f6fa.jpg 17a9f63c42.jpg,-8.22578613e-06 -2.25800612e-04 3.59063775e-02 2.47629528e-04 5.91319268e-06 1.40815062e-03 -1.12782174e-01 -1.29924600e-02 1.00000000e+00
0036b3f6fa.jpg 193b988b45.jpg,5.61582280e-08 -3.66676929e-06 7.12922980e-04 6.83869114e-06 -1.38244764e-06 -5.09477858e-03 -8.88619533e-04 5.71520441e-03 -4.80953655e-01
0036b3f6fa.jpg 1b02367494.jpg,2.17971005e-06 -4.21078599e-06 -1.47326387e-03 1.27532317e-06 -1.90623523e-05 6.83243043e-03 -9.10827134e-04 6.19757470e-03 -1.44164996e+00
0036b3f6fa.jpg 1f1ee08b34.jpg,-1.52788558e-05 -3.15334184e-05 1.13701282e-02 4.72016050e-06 7.65610669e-07 -1.43475110e-03 3.05124197e-03 7.05987722e-03 -2.44717437e+00
