samples,fundamental_matrix
004bbe8982.jpg 0580206bc0.jpg,4.95108708e-07 2.25629372e-07 2.18241169e-04 5.21339872e-06 -3.20193050e-08 3.02469919e-03 -1.90324137e-03 -8.38493984e-03 1.42978625e+00
004bbe8982.jpg 061193232b.jpg,2.11043847e-08 7.19392111e-06 -1.45057085e-03 -6.63828872e-06 -7.67285840e-06 -1.34540163e-03 -1.17897277e-04 8.77813717e-03 -1.83281582e+00
004bbe8982.jpg 088cb6c309.jpg,3.34877920e-07 -1.42859942e-06 7.66177217e-05 -2.40821050e-06 -2.31350030e-06 4.42583568e-03 1.17299939e-03 -6.07149024e-03 6.90432469e-01
004bbe8982.jpg 0b24b00621.jpg,4.28173170e-08 -3.38787078e-06 8.32229809e-04 1.49089260e-06 1.40441379e-05 1.79014668e-03 -2.67838699e-04 -1.28138895e-02 1.79785453e+00
004bbe8982.jpg 0bdc73897a.jpg,-8.08018137e-10 -7.51415296e-07 1.49147314e-04 7.93240682e-07 -2.81536674e-06 -4.11311369e-03 -4.52097877e-06 8.76783167e-03 -1.65846961e+00
004bbe8982.jpg 0db8f8272b.jpg,-1.89869121e-08 -1.32550965e-05 4.16545473e-03 1.17002919e-05 1.12358622e-05 -1.63200862e-02 -5.34717613e-03 1.64615067e-02 7.05594045e-01
004bbe8982.jpg 0e0e6cdf53.jpg,1.43307685e-08 -4.76341317e-07 9.80092109e-05 -2.47677015e-06 3.33249423e-06 4.85444270e-03 7.51358886e-04 -1.08715682e-02 1.24777421e+00
004bbe8982.jpg 11e71869ef.jpg,3.70164463e-07 4.43048506e-05 -1.39040330e-02 -4.87119829e-05 -4.72384075e-06 1.98039085e-02 3.03298652e-02 -1.27566636e-02 -7.45359286e+00
004bbe8982.jpg 13c0bd2446.jpg,2.13544334e-07 -2.71911608e-06 -4.62858263e-05 1.42561102e-06 -2.62007768e-06 5.13798981e-03 8.41716646e-04 -7.77827938e-03 8.48391888e-01
004bbe8982.jpg 14211b618f.jpg,-3.62138815e-08 -5.04992088e-06 1.29003304e-03 6.54014862e-06 4.70118056e-07 3.09158945e-03 -1.98632783e-03 -7.80274457e-03 1.04481757e+00
004bbe8982.jpg 14bba981a8.jpg,-1.57651086e-07 -3.66814749e-05 1.67816488e-02 3.51992186e-05 -1.61092120e-06 -7.80912403e-03 -2.13061199e-02 5.86287455e-03 2.49582571e+00
004bbe8982.jpg 17dd23c6f6.jpg,3.49133432e-07 8.01081803e-06 -2.77405685e-03 -7.50697851e-06 -1.16701151e-05 1.20396831e-02 1.28417972e-03 -1.06972033e-02 1.70379181e+00
004bbe8982.jpg 18a64a9fd1.jpg,-6.16306551e-09 -2.35987031e-06 6.71470285e-04 2.20646470e-06 6.13321510e-06 1.71714783e-03 -1.04092318e-03 -1.02695315e-02 1.31914494e+00
004bbe8982.jpg 192a4d2bcb.jpg,2.40389608e-06 1.35927718e-05 -5.12219149e-03 -1.62967457e-05 1.13571428e-05 8.54079625e-03 5.28052593e-03 -2.38954882e-02 2.34650307e+00
004bbe8982.jpg 1bc69c7934.jpg,4.61364604e-07 9.80956449e-05 -3.11230279e-02 -9.91708608e-05 1.02934274e-06 4.08712498e-02 4.05688054e-02 -4.33843431e-02 -3.17249411e+00
004bbe8982.jpg 1d7b9987eb.jpg,7.79064310e-09 -1.20866700e-06 5.31776411e-04 1.27366104e-06 -4.14484127e-06 7.25268519e-03 -6.58513311e-04 -1.02506034e-02 1.35517480e+00
004bbe8982.jpg 202020a826.jpg,3.52961453e-08 8.84541032e-06 -3.21342298e-03 -8.28217043e-06 -2.22768193e-06 9.56468736e-03 4.07232541e-03 -1.33689982e-02 4.90691779e-01
004bbe8982.jpg 20d7652c14.jpg,-5.75469257e-06 -1.19011837e-05 4.17989245e-03 2.62549471e-05 -1.08612932e-05 -3.92320492e-03 -1.10730925e-03 -2.67420950e-03 8.93601013e-01
004bbe8982.jpg 20dcf5f03a.jpg,1.40085588e-08 -9.84557154e-06 2.25104536e-03 9.55619183e-06 5.03747011e-06 -1.12987669e-02 -1.81456194e-03 1.62054135e-02 -1.80428761e+00
004bbe8982.jpg 21877474b7.jpg,-5.49785102e-07 2.22509496e-05 -4.97474250e-03 -3.30496141e-05 -1.70642693e-05 1.38218233e-02 7.23111729e-03 4.45386474e-03 -3.19051252e+00
004bbe8982.jpg 27a226c867.jpg,-2.65573960e-08 -1.44663053e-05 3.54635926e-03 1.25835746e-05 -4.15526543e-06 1.44994424e-03 -2.94832231e-03 -4.08754842e-03 9.01312541e-01
004bbe8982.jpg 27ba8e278e.jpg,1.22921181e-07 2.62762352e-06 -5.58354215e-04 -5.24455373e-06 -1.20345600e-05 -2.51011375e-04 1.33783484e-03 1.32008025e-02 -2.37301497e+00
004bbe8982.jpg 28bad343a5.jpg,1.42423437e-09 -3.32580190e-07 1.53875917e-04 4.34561233e-07 -7.30135075e-07 5.05510116e-03 -2.13293492e-04 -8.34393817e-03 1.13768254e+00
004bbe8982.jpg 305bcebf34.jpg,-5.82363926e-11 -3.62884112e-07 8.85284109e-05 8.98388303e-07 -1.08034554e-06 4.91818991e-03 -2.10333608e-04 -9.59870686e-03 1.26011175e+00
004bbe8982.jpg 30688e0507.jpg,3.58799296e-08 -9.21075219e-08 -6.46862827e-05 -2.60047469e-06 -2.60280959e-06 7.80617470e-03 8.02515343e-04 -5.07406742e-03 -4.34034122e-01
004bbe8982.jpg 30b3578997.jpg,2.24525113e-07 1.34684914e-05 -2.07810944e-03 -1.13728556e-05 1.23652993e-05 1.04023678e-02 1.12861544e-03 -1.61080627e-02 1.00000000e+00
004bbe8982.jpg 3300b41c58.jpg,1.01371945e-07 -1.56543770e-06 4.78884395e-04 3.33026271e-06 2.84469639e-06 9.64364694e-04 -1.86168473e-03 -1.30083616e-02 2.56785585e+00
004bbe8982.jpg 3544f51373.jpg,-7.06819221e-07 2.75552076e-05 -5.76373822e-03 -2.47381556e-05 5.10420754e-07 5.41055926e-03 2.21454949e-03 5.01986865e-03 -1.57291235e+00
004bbe8982.jpg 362f0ff070.jpg,7.91845881e-08 1.65852140e-05 -5.42947709e-03 -1.61701385e-05 2.72782409e-06 2.02247313e-04 6.27834295e-03 3.33546282e-03 -1.51575620e+00
004bbe8982.jpg 37669d8663.jpg,3.58788250e-09 -2.74508292e-06 7.24807504e-04 2.86767906e-06 -4.04289038e-07 3.32377016e-03 -6.62241023e-04 -7.73434480e-03 1.28776933e+00
004bbe8982.jpg 389d7f92c2.jpg,1.08055407e-10 -1.77496774e-06 3.77739441e-04 1.55314525e-06 -5.83487022e-06 7.14456395e-03 -5.52948583e-04 -3.41934926e-03 -1.37509647e+00
004bbe8982.jpg 3a2136db7e.jpg,-5.12873121e-07 3.74033292e-06 -6.64383155e-04 -9.60029051e-06 8.93063439e-06 7.09952696e-03 3.19342278e-03 -1.43195308e-02 1.26805802e+00
004bbe8982.jpg 3c621edb8e.jpg,-2.93445076e-09 3.55505063e-06 -8.60845231e-04 -3.01137269e-06 1.01564289e-06 6.07785781e-03 1.30725912e-03 -2.19013906e-02 2.59536283e+00
004bbe8982.jpg 3ec773d76d.jpg,3.98747513e-08 -7.06354956e-06 1.95651565e-03 -1.97395851e-06 -4.17555130e-06 5.53403630e-03 5.53595088e-04 -7.26711520e-03 8.89633619e-01
004bbe8982.jpg 41398c8f26.jpg,8.57221000e-08 6.24517779e-06 -1.71695921e-03 -9.14690155e-06 3.67617658e-06 7.69359312e-03 2.61127850e-03 -1.26907484e-02 8.52874262e-01
004bbe8982.jpg 44700587aa.jpg,1.71528116e-08 -2.45508531e-06 3.34251287e-04 1.12481625e-06 -2.28491412e-07 4.29103601e-03 1.00447232e-04 -8.41726323e-03 1.30390042e+00
004bbe8982.jpg 467ae5d187.jpg,1.36406089e-07 1.35814631e-06 -5.85136357e-04 -5.32362477e-06 -1.02536722e-05 9.87069443e-03 2.30007453e-03 -5.81475442e-03 -1.15754841e+00
004bbe8982.jpg 485830f815.jpg,2.09283354e-09 3.28316645e-06 -1.17561278e-03 -3.35498051e-06 4.30734367e-06 6.45128993e-03 1.37201029e-03 -1.43967201e-02 1.86692542e+00
004bbe8982.jpg 489cc5972b.jpg,-5.05547578e-07 1.84597228e-05 -4.83228263e-03 -1.62735673e-05 1.47357798e-05 6.95681118e-03 6.70917560e-03 -2.15429301e-02 1.46960216e+00
004bbe8982.jpg 49437691d6.jpg,3.24492854e-06 6.07945276e-05 -2.17507879e-02 -6.36281338e-05 -6.39546784e-07 2.43165988e-02 2.79087930e-02 -1.98187105e-02 -3.88117071e+00
004bbe8982.jpg 4a3cb59d0c.jpg,-3.35832752e-08 -5.79458604e-06 1.34455358e-03 7.05835540e-06 2.31881117e-05 -2.97874414e-03 -1.88311107e-03 -1.52961527e-02 2.92681100e+00
004bbe8982.jpg 4b75f7c139.jpg,2.36037867e-10 -3.28461061e-06 9.75623741e-04 3.77422308e-06 3.60221556e-06 2.41772088e-03 -1.21995042e-03 -9.76850331e-03 1.77362362e+00
004bbe8982.jpg 4bace1b998.jpg,7.51919945e-11 -1.18222398e-06 3.35912037e-04 1.18048167e-06 3.84033170e-06 3.09015584e-03 -5.76360242e-04 -1.43094369e-02 2.02152140e+00
004bbe8982.jpg 4e56fb65a2.jpg,-6.49388526e-07 4.41451296e-06 -4.77392737e-04 -1.07109199e-05 -3.30059801e-06 1.00259175e-02 2.36437927e-03 -1.04658224e-02 4.19492686e-01
004bbe8982.jpg 5286b66fee.jpg,1.84609945e-09 3.57829214e-06 -8.00759985e-04 -3.65588993e-06 4.21477914e-06 7.19498643e-03 7.54537278e-04 -1.56824408e-02 1.81282289e+00
004bbe8982.jpg 5f7f8e1894.jpg,1.22332592e-06 -2.93475577e-05 7.36647458e-03 2.68706061e-05 1.72672504e-05 -9.85407603e-03 -1.05877514e-02 -2.78327178e-03 2.84006871e+00
004bbe8982.jpg 6098b0fb0d.jpg,-5.30801755e-06 -4.73811436e-05 1.57696627e-02 3.98898120e-05 -1.24911345e-06 -1.31616860e-02 -9.47196726e-03 9.96877212e-03 2.73663624e-01
004bbe8982.jpg 618f7b83e9.jpg,7.21012133e-08 -4.67043762e-06 1.47582639e-03 5.80454816e-06 -8.17317321e-07 -8.30656794e-03 -1.45629227e-03 1.05401840e-02 -1.41774800e+00
004bbe8982.jpg 61e6f17b63.jpg,4.09499637e-08 9.05214710e-06 -2.51119721e-03 -1.61988749e-05 -1.15498802e-06 1.27358946e-02 4.40687679e-03 -1.53852998e-02 8.36043057e-01
004bbe8982.jpg 62f4f2e99e.jpg,4.91771499e-06 3.89477080e-05 -1.74454394e-02 -3.07157101e-05 3.40739136e-06 9.64745980e-03 1.98600512e-02 -1.10009955e-02 -2.69561050e+00
004bbe8982.jpg 6343181a52.jpg,4.76655848e-09 2.00536743e-06 -6.90517787e-04 -2.99363237e-06 3.08437792e-06 6.24983958e-03 1.25792544e-03 -1.37449854e-02 1.58831821e+00
004bbe8982.jpg 643d222b23.jpg,-3.40452728e-09 -1.00104090e-07 -5.74204588e-05 5.37359139e-07 4.24783258e-06 9.65539123e-03 -6.62715323e-05 -1.26044603e-02 -5.71353297e-01
004bbe8982.jpg 69f7b6f93b.jpg,1.50512883e-08 1.70945279e-05 -4.11504470e-03 -1.69127606e-05 -3.44166716e-06 1.49041085e-02 5.68214092e-03 -1.67454383e-02 -7.11062906e-01
004bbe8982.jpg 6b9e0dd462.jpg,3.75907855e-07 1.10671201e-05 -3.25063038e-03 -1.38212664e-05 7.01723470e-06 8.98483316e-03 4.35164590e-03 -1.63467529e-02 9.46271095e-01
